"",BBFN1.M.DE.N.1.L.IE.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.IE.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1999-02,5.478,
1999-03,5.340,
1999-04,5.664,
1999-05,5.798,
1999-06,6.113,
1999-07,6.325,
1999-08,6.806,
1999-09,6.604,
1999-10,6.817,
1999-11,6.088,
1999-12,6.939,
2000-01,6.953,
2000-02,6.956,
2000-03,6.736,
2000-04,6.677,
2000-05,6.870,
2000-06,6.866,
2000-07,6.819,
2000-08,7.225,
2000-09,7.181,
2000-10,7.462,
2000-11,7.427,
2000-12,7.182,
2001-01,7.256,
2001-02,7.408,
2001-03,7.398,
2001-04,7.511,
2001-05,7.336,
2001-06,7.000,
2001-07,6.704,
2001-08,6.778,
2001-09,6.845,
2001-10,6.777,
2001-11,6.465,
2001-12,6.867,
2002-01,6.951,
2002-02,7.210,
2002-03,7.596,
2002-04,7.713,
2002-05,7.585,
2002-06,7.916,
2002-07,7.943,
2002-08,7.587,
2002-09,7.645,
2002-10,7.761,
2002-11,7.608,
2002-12,6.659,
2003-01,6.771,
2003-02,6.914,
2003-03,7.131,
2003-04,6.723,
2003-05,6.782,
2003-06,7.048,
2003-07,6.566,
2003-08,6.584,
2003-09,7.648,
2003-10,7.254,
2003-11,7.278,
2003-12,7.075,
2004-01,7.058,
2004-02,6.978,
2004-03,7.263,
2004-04,6.987,
2004-05,7.062,
2004-06,6.080,
2004-07,7.188,
2004-08,7.385,
2004-09,8.615,
2004-10,8.464,
2004-11,8.360,
2004-12,8.877,
2005-01,7.663,
2005-02,7.431,
2005-03,7.993,
2005-04,8.187,
2005-05,7.844,
2005-06,7.553,
2005-07,7.554,
2005-08,8.482,
2005-09,9.108,
2005-10,12.041,
2005-11,12.526,
2005-12,12.035,
2006-01,11.945,
2006-02,14.862,
2006-03,16.390,
2006-04,16.675,
2006-05,16.872,
2006-06,16.928,
2006-07,17.377,
2006-08,17.370,
2006-09,15.572,
2006-10,15.491,
2006-11,16.538,
2006-12,16.590,
2007-01,16.583,
2007-02,18.028,
2007-03,17.276,
2007-04,16.888,
2007-05,17.197,
2007-06,17.324,
2007-07,17.064,
2007-08,17.695,
2007-09,17.900,
2007-10,18.921,
2007-11,19.522,
2007-12,20.508,
2008-01,20.274,
2008-02,19.520,
2008-03,20.009,
2008-04,20.622,
2008-05,20.941,
2008-06,21.038,
2008-07,20.907,
2008-08,19.951,
2008-09,20.840,
2008-10,20.803,
2008-11,21.369,
2008-12,21.397,
2009-01,20.910,
2009-02,20.726,
2009-03,20.378,
2009-04,19.978,
2009-05,20.415,
2009-06,18.380,
2009-07,17.717,
2009-08,17.070,
2009-09,16.773,
2009-10,16.735,
2009-11,16.617,
2009-12,15.176,
2010-01,14.911,
2010-02,15.568,
2010-03,14.852,
2010-04,14.819,
2010-05,14.758,
2010-06,14.422,
2010-07,14.820,
2010-08,14.840,
2010-09,15.229,
2010-10,14.900,
2010-11,14.984,
2010-12,14.897,
2011-01,15.250,
2011-02,14.227,
2011-03,14.162,
2011-04,15.886,
2011-05,15.629,
2011-06,15.761,
2011-07,15.797,
2011-08,16.052,
2011-09,15.437,
2011-10,15.307,
2011-11,15.722,
2011-12,15.514,
2012-01,16.132,
2012-02,16.006,
2012-03,15.904,
2012-04,16.209,
2012-05,16.436,
2012-06,16.584,
2012-07,16.779,
2012-08,14.812,
2012-09,15.708,
2012-10,16.157,
2012-11,16.750,
2012-12,16.235,
2013-01,16.143,
2013-02,16.177,
2013-03,16.239,
2013-04,16.087,
2013-05,16.389,
2013-06,16.898,
2013-07,16.567,
2013-08,16.677,
2013-09,14.475,
2013-10,15.317,
2013-11,15.738,
2013-12,15.607,
2014-01,15.456,
2014-02,15.539,
2014-03,15.517,
2014-04,17.132,
2014-05,15.726,
2014-06,16.384,
2014-07,15.986,
2014-08,16.252,
2014-09,14.554,
2014-10,14.494,
2014-11,14.298,
2014-12,14.489,
