"",BBDE1.M.DE.Y.FG30.A2P200000.F.N.I10.A,BBDE1.M.DE.Y.FG30.A2P200000.F.N.I10.A_FLAGS
2008-11,101.0,
2008-12,107.9,
2009-01,116.1,
2009-02,118.8,
2009-03,114.2,
2009-04,115.9,
2009-05,112.9,
2009-06,110.3,
2009-07,111.1,
2009-08,110.1,
2009-09,108.5,
2009-10,109.1,
2009-11,107.4,
2009-12,107.9,
2010-01,107.9,
2010-02,107.5,
2010-03,104.9,
2010-04,101.1,
2010-05,97.7,
2010-06,100.5,
2010-07,99.8,
2010-08,99.5,
2010-09,99.9,
2010-10,96.8,
2010-11,97.2,
2010-12,97.5,
2011-01,98.2,
2011-02,97.6,
2011-03,97.9,
2011-04,97.7,
2011-05,97.1,
2011-06,97.8,
2011-07,94.8,
2011-08,96.1,
2011-09,97.4,
2011-10,96.9,
2011-11,99.6,
2011-12,100.2,
2012-01,99.5,
2012-02,99.2,
2012-03,99.6,
2012-04,101.5,
2012-05,100.8,
2012-06,102.4,
2012-07,99.9,
2012-08,100.4,
2012-09,102.0,
2012-10,103.7,
2012-11,105.8,
2012-12,103.2,
2013-01,105.8,
2013-02,105.8,
2013-03,103.1,
2013-04,105.0,
2013-05,107.5,
2013-06,104.0,
2013-07,107.1,
2013-08,105.3,
2013-09,105.1,
2013-10,105.7,
2013-11,104.6,
2013-12,104.0,
2014-01,103.8,
2014-02,105.4,
2014-03,105.5,
2014-04,106.3,
2014-05,109.0,
2014-06,107.2,
2014-07,107.3,
2014-08,107.0,
2014-09,108.3,
2014-10,107.0,
2014-11,107.0,
2014-12,107.3,Provisional value
