"",BBDA1.M.DE.N.IM.S.A.BR.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.BR.A.V.ABA.A_FLAGS
2010-06,803655,
2010-07,924004,
2010-08,789435,
2010-09,860438,
2010-10,928662,
2010-11,867966,
2010-12,840697,
2011-01,797717,
2011-02,854946,
2011-03,991101,
2011-04,983278,
2011-05,1160812,
2011-06,1028327,
2011-07,1051924,
2011-08,907766,
2011-09,933944,
2011-10,877306,
2011-11,935257,
2011-12,737524,
2012-01,849187,
2012-02,808090,
2012-03,1090497,
2012-04,887727,
2012-05,990545,
2012-06,825590,
2012-07,1031654,
2012-08,870303,
2012-09,728847,
2012-10,908812,
2012-11,806970,
2012-12,816430,
2013-01,884313,
2013-02,529313,
2013-03,701720,
2013-04,789552,
2013-05,701459,
2013-06,765604,
2013-07,775633,
2013-08,564588,
2013-09,737189,
2013-10,888442,
2013-11,767301,
2013-12,780155,
2014-01,801297,
2014-02,598092,
2014-03,706982,
2014-04,818506,
2014-05,822282,
2014-06,813684,
2014-07,874867,
2014-08,788075,
2014-09,834075,
2014-10,751232,
2014-11,752331,
2014-12,697606,
