"",BBEX3.M.KRW.USD.CA.AA.A01,BBEX3.M.KRW.USD.CA.AA.A01_FLAGS
1976-02,483.00,
1976-03,483.00,
1976-04,483.00,
1976-05,483.00,
1976-06,483.00,
1976-07,483.00,
1976-08,483.00,
1976-09,483.00,
1976-10,483.00,
1976-11,483.00,
1976-12,483.00,
1977-01,483.00,
1977-02,483.00,
1977-03,483.00,
1977-04,483.00,
1977-05,483.00,
1977-06,483.00,
1977-07,483.00,
1977-08,483.00,
1977-09,483.00,
1977-10,483.00,
1977-11,483.00,
1977-12,483.00,
1978-01,483.00,
1978-02,483.00,
1978-03,483.00,
1978-04,483.00,
1978-05,483.00,
1978-06,483.00,
1978-07,483.00,
1978-08,483.00,
1978-09,483.00,
1978-10,483.00,
1978-11,483.00,
1978-12,483.00,
1979-01,483.00,
1979-02,483.00,
1979-03,483.00,
1979-04,483.00,
1979-05,483.00,
1979-06,483.00,
1979-07,483.00,
1979-08,483.00,
1979-09,483.00,
1979-10,483.00,
1979-11,483.00,
1979-12,483.00,
1980-01,577.10,comment
1980-02,577.80,
1980-03,583.20,
1980-04,588.40,
1980-05,594.10,
1980-06,600.80,
1980-07,609.90,
1980-08,614.10,
1980-09,622.80,
1980-10,649.30,
1980-11,656.40,
1980-12,657.50,
1981-01,663.30,
1981-02,668.10,
1981-03,670.40,
1981-04,676.50,
1981-05,681.40,
1981-06,682.70,
1981-07,684.40,
1981-08,683.40,
1981-09,683.40,
1981-10,685.10,
1981-11,687.80,
1981-12,698.30,
1982-01,706.10,
1982-02,709.80,
1982-03,716.10,
1982-04,719.40,
1982-05,731.20,
1982-06,738.90,
1982-07,739.40,
1982-08,740.00,
1982-09,741.00,
1982-10,743.00,
1982-11,743.00,
1982-12,746.90,
1983-01,749.60,
1983-02,751.20,
1983-03,761.40,
1983-04,765.90,
1983-05,769.10,
1983-06,774.70,
1983-07,781.10,
1983-08,788.10,
1983-09,787.30,
1983-10,790.90,
1983-11,794.90,
1983-12,793.50,
1984-01,797.30,
1984-02,791.30,
1984-03,789.80,
1984-04,795.60,
1984-05,796.30,
1984-06,801.30,
1984-07,808.60,
1984-08,806.60,
1984-09,813.10,
1984-10,815.30,
1984-11,819.10,
1984-12,825.30,
1985-01,828.50,
1985-02,840.60,
1985-03,848.60,
1985-04,863.70,
1985-05,868.80,
1985-06,871.60,
1985-07,874.10,
1985-08,884.50,
1985-09,889.80,
1985-10,889.90,
1985-11,886.80,
1985-12,887.90,
1986-01,886.40,
1986-02,881.50,
1986-03,882.80,
1986-04,882.80,
1986-05,887.50,
1986-06,884.30,
1986-07,881.00,
1986-08,877.10,
1986-09,873.00,
1986-10,869.20,
1986-11,862.50,
1986-12,857.50,
1987-01,853.30,
1987-02,850.90,
1987-03,843.00,
1987-04,830.30,
1987-05,818.90,
1987-06,805.20,
1987-07,804.30,
1987-08,804.00,
1987-09,802.10,
1987-10,797.70,
1987-11,792.80,
1987-12,788.70,
1988-01,778.00,
1988-02,757.30,
1988-03,742.80,
1988-04,736.50,
1988-05,729.60,
1988-06,725.00,
1988-07,720.90,
1988-08,719.10,
1988-09,716.10,
1988-10,698.50,
1988-11,684.70,
1988-12,681.30,
1989-01,677.80,
1989-02,670.40,
1989-03,669.20,
1989-04,663.50,
1989-05,664.00,
1989-06,664.50,
1989-07,664.70,
1989-08,666.50,
1989-09,667.40,
1989-10,669.00,
1989-11,670.10,
1989-12,676.90,
1990-01,683.60,
1990-02,691.30,
1990-03,698.10,
1990-04,704.20,
1990-05,709.50,
1990-06,713.40,
1990-07,712.30,
1990-08,711.20,
1990-09,710.10,
1990-10,711.00,
1990-11,710.30,
1990-12,713.60,
1991-01,716.20,
1991-02,721.60,
1991-03,721.90,
1991-04,722.20,
1991-05,720.20,
1991-06,721.80,
1991-07,723.20,
1991-08,732.70,
1991-09,737.10,
1991-10,745.80,
1991-11,750.00,
1991-12,756.30,
1992-01,757.50,
1992-02,763.60,
1992-03,770.50,
1992-04,774.20,
1992-05,778.80,
1992-06,785.50,
1992-07,785.00,
1992-08,784.50,
1992-09,783.50,
1992-10,779.30,
1992-11,782.00,
1992-12,785.30,
1993-01,790.90,
1993-02,791.80,
1993-03,790.90,
1993-04,792.80,
1993-05,797.90,
1993-06,800.50,
1993-07,803.40,
1993-08,805.20,
1993-09,805.60,
1993-10,805.00,
1993-11,804.40,
1993-12,804.90,
1994-01,804.90,
1994-02,804.80,
1994-03,803.30,
1994-04,804.10,
1994-05,802.90,
1994-06,802.30,
1994-07,799.10,
1994-08,797.90,
1994-09,795.80,
1994-10,793.80,
1994-11,791.20,
1994-12,785.60,
1995-01,783.60,
1995-02,782.90,
1995-03,768.50,
1995-04,757.90,
1995-05,757.10,
1995-06,755.10,
1995-07,753.50,
1995-08,774.00,
1995-09,765.50,
1995-10,762.50,
1995-11,766.20,
1995-12,771.70,
1996-01,781.20,
1996-02,777.60,
1996-03,779.60,
1996-04,775.60,
1996-05,784.80,
1996-06,807.40,
1996-07,810.10,
1996-08,816.00,
1996-09,820.80,
1996-10,828.00,
1996-11,825.50,
1996-12,840.90,
1997-01,857.90,
1997-02,860.50,
1997-03,893.60,
1997-04,888.60,
1997-05,888.30,
1997-06,884.60,
1997-07,888.50,
1997-08,897.20,
1997-09,911.20,
1997-10,961.30,
1997-11,1156.40,
1997-12,1596.00,
1998-01,1464.70,
1998-02,1581.10,
1998-03,1361.40,
1998-04,1315.30,
1998-05,1381.40,
1998-06,1346.50,
1998-07,1217.50,
1998-08,1327.80,
1998-09,1366.10,
1998-10,1297.30,
1998-11,1227.40,
1998-12,1185.00,
1999-01,1157.70,
1999-02,1204.20,
1999-03,1206.40,
1999-04,1171.40,
1999-05,1169.70,
1999-06,1146.00,
1999-07,1192.00,
1999-08,1173.10,
1999-09,1204.40,
1999-10,1187.50,
1999-11,1147.70,
1999-12,1123.40,
2000-01,1112.00,
2000-02,1120.00,
2000-03,1094.90,
2000-04,1098.20,
2000-05,1118.40,
2000-06,1104.00,
2000-07,1105.80,
2000-08,1098.00,
2000-09,1104.10,
2000-10,1127.90,
2000-11,1202.40,
2000-12,1252.70,
2001-01,1246.70,
2001-02,1238.60,
2001-03,1316.00,
2001-04,1307.10,
2001-05,1270.20,
2001-06,1284.80,
2001-07,1287.30,
2001-08,1264.80,
2001-09,1296.20,
2001-10,1283.40,
2001-11,1260.60,
2001-12,1310.10,
2002-01,1301.60,
2002-02,1310.90,
2002-03,1313.00,
2002-04,1281.10,
2002-05,1214.00,
2002-06,1189.60,
2002-07,1176.40,
2002-08,1189.80,
2002-09,1215.80,
2002-10,1209.60,
2002-11,1196.70,
2002-12,1174.70,
2003-01,1158.60,
2003-02,1182.10,
2003-03,1242.40,
2003-04,1203.40,
2003-05,1194.30,
2003-06,1181.50,
2003-07,1168.20,
2003-08,1167.50,
2003-09,1139.00,
2003-10,1171.60,
2003-11,1190.30,
2003-12,1181.00,
2004-01,1162.10,
2004-02,1164.70,
2004-03,1135.40,
2004-04,1161.90,
2004-05,1148.80,
2004-06,1144.20,
2004-07,1158.60,
2004-08,1141.80,
2004-09,1140.60,
2004-10,1108.70,
2004-11,1037.80,
2004-12,1024.90,
2005-01,1015.50,
2005-02,996.20,
2005-03,1005.60,
2005-04,987.40,
2005-05,998.10,
2005-06,1015.40,
2005-07,1016.80,
2005-08,1028.30,
2005-09,1030.80,
2005-10,1030.10,
2005-11,1023.40,
2005-12,994.70,
2006-01,955.20,
2006-02,961.40,
2006-03,962.10,
2006-04,934.20,
2006-05,936.40,
2006-06,939.70,
2006-07,945.90,
2006-08,952.10,
2006-09,937.00,
2006-10,933.10,
2006-11,920.40,
2006-12,919.50,
2007-01,931.70,
2007-02,932.60,
2007-03,931.70,
2007-04,921.70,
2007-05,918.70,
2007-06,914.80,
2007-07,910.30,
2007-08,929.20,
2007-09,906.30,
2007-10,892.20,
2007-11,912.10,
2007-12,922.90,
2008-01,934.70,
2008-02,929.80,
2008-03,980.70,
2008-04,993.70,
2008-05,1020.10,
2008-06,1035.80,
2008-07,1002.20,
2008-08,1079.40,
2008-09,1195.20,
2008-10,1285.30,
2008-11,1448.70,
2008-12,1297.20,
2009-01,1366.00,
2009-02,1518.00,
2009-03,1354.60,
2009-04,1277.40,
2009-05,1240.80,
2009-06,1259.60,
2009-07,1217.50,
2009-08,1237.30,
2009-09,1166.50,
2009-10,1172.40,
2009-11,1149.70,
2009-12,1147.70,
2010-01,1145.70,
2010-02,1147.70,
2010-03,1118.00,
2010-04,1096.20,
2010-05,1190.80,
2010-06,1207.10,
2010-07,1172.90,
2010-08,1186.40,
2010-09,1125.40,
2010-10,1114.00,
2010-11,1148.20,
2010-12,1109.10,
2011-01,1110.60,
2011-02,1117.00,
2011-03,1085.80,
2011-04,1058.60,
2011-05,1068.00,
2011-06,1057.10,
2011-07,1043.70,
2011-08,1055.60,
2011-09,1167.50,
2011-10,1096.20,
2011-11,1134.30,
2011-12,1147.70,
2012-01,1111.10,
2012-02,1105.10,
2012-03,1121.00,
2012-04,1117.50,
2012-05,1166.00,
2012-06,1135.30,
2012-07,1117.50,
2012-08,1122.90,
2012-09,1101.20,
2012-10,1079.40,
2012-11,1071.90,
2012-12,1052.60,
2013-01,1076.40,
2013-02,1072.40,
2013-03,1101.80,
2013-04,1090.50,
2013-05,1118.70,
2013-06,1130.90,
2013-07,1112.50,
2013-08,1099.20,
2013-09,1064.20,
2013-10,1050.40,
2013-11,1047.90,
2013-12,1038.30,
2014-01,1060.00,
2014-02,1057.00,
2014-03,1054.30,
2014-04,1023.10,
2014-05,1010.20,
2014-06,1001.90,
2014-07,1017.90,
2014-08,1003.70,
2014-09,1044.90,
2014-10,1055.20,
2014-11,1097.10,
2014-12,1080.40,
2015-01,1082.80,
"","Source: Korea Exchange Bank, Seoul",
"","Comment on 1971-06: On 28 June 1971, the exchange rates were adjusted more sharply. The following exchange rates (buying/selling rate) were recorded:  26 June 1971: USD 1 = KRW 327.40/328.90  28 June 1971: USD 1 = KRW 370.00/371.60  Calculated devaluation: 11.5%.",
"","Comment on 1974-12: On 7 December 1974, the exchange rates (buying/selling rate) were changed from USD 1 = KRW 398.00/400.00 to USD 1 = KRW 483,00/485,00. Calculated devaluation: 17.6% (middle rate).",
"","Comment on 1980-01: On 12 January 1980, the exchange rates (buying/selling rate) were changed from USD 1 = KRW 483.00/485.00 to USD 1 = KRW 577.10/582.90. Calculated devaluation: 16.6% (middle rate).",
