"",BBFB1.M.N.DE.W1.S1.S1.T.C.___D42S.D.F5._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.___D42S.D.F5._Z._T._X.N_FLAGS
1997-12,2025.146,
1998-01,670.109,
1998-02,318.922,
1998-03,976.244,
1998-04,454.682,
1998-05,543.928,
1998-06,865.495,
1998-07,621.276,
1998-08,292.709,
1998-09,412.657,
1998-10,426.078,
1998-11,265.577,
1998-12,3555.738,
1999-01,120.399,
1999-02,365.853,
1999-03,1311.681,
1999-04,2176.577,
1999-05,513.605,
1999-06,720.507,
1999-07,583.712,
1999-08,136.952,
1999-09,175.525,
1999-10,351.152,
1999-11,181.467,
1999-12,2193.731,
2000-01,374.203,
2000-02,302.964,
2000-03,2700.612,
2000-04,1183.096,
2000-05,1173.083,
2000-06,1409.335,
2000-07,753.399,
2000-08,434.409,
2000-09,695.488,
2000-10,1078.132,
2000-11,395.704,
2000-12,6902.606,
2001-01,424.990,
2001-02,4887.698,
2001-03,1860.550,
2001-04,1111.871,
2001-05,1625.386,
2001-06,1274.115,
2001-07,745.542,
2001-08,654.442,
2001-09,969.046,
2001-10,844.321,
2001-11,495.063,
2001-12,4147.303,
2002-01,1087.322,
2002-02,305.860,
2002-03,1649.444,
2002-04,1188.172,
2002-05,2635.649,
2002-06,1210.639,
2002-07,1088.307,
2002-08,903.244,
2002-09,1014.867,
2002-10,1412.728,
2002-11,1586.894,
2002-12,4210.311,
2003-01,712.863,
2003-02,621.903,
2003-03,1663.911,
2003-04,963.907,
2003-05,1734.614,
2003-06,1563.619,
2003-07,942.162,
2003-08,1269.287,
2003-09,976.031,
2003-10,158.207,
2003-11,1301.595,
2003-12,3761.970,
2004-01,474.888,
2004-02,782.882,
2004-03,1297.208,
2004-04,1709.874,
2004-05,2430.143,
2004-06,1651.054,
2004-07,1764.173,
2004-08,1020.916,
2004-09,1155.744,
2004-10,715.347,
2004-11,728.099,
2004-12,3847.374,
2005-01,790.203,
2005-02,764.516,
2005-03,2528.504,
2005-04,2070.673,
2005-05,2441.396,
2005-06,2138.230,
2005-07,1406.964,
2005-08,1142.109,
2005-09,2383.524,
2005-10,561.841,
2005-11,772.398,
2005-12,5784.403,
2006-01,1255.553,
2006-02,1120.818,
2006-03,2614.444,
2006-04,2116.043,
2006-05,3416.183,
2006-06,2769.500,
2006-07,1596.693,
2006-08,1268.965,
2006-09,2228.617,
2006-10,873.667,
2006-11,724.061,
2006-12,6468.075,
2007-01,1391.883,
2007-02,1520.081,
2007-03,2451.067,
2007-04,1627.137,
2007-05,3354.551,
2007-06,2945.333,
2007-07,1795.604,
2007-08,1124.596,
2007-09,2646.534,
2007-10,2334.816,
2007-11,1477.358,
2007-12,5545.413,
2008-01,2445.637,
2008-02,1003.070,
2008-03,3539.644,
2008-04,3548.550,
2008-05,4441.646,
2008-06,3684.963,
2008-07,2414.705,
2008-08,1734.936,
2008-09,2678.696,
2008-10,1634.528,
2008-11,1374.183,
2008-12,6636.198,
2009-01,1517.852,
2009-02,2490.425,
2009-03,2368.381,
2009-04,3520.268,
2009-05,2256.996,
2009-06,3430.191,
2009-07,1868.961,
2009-08,856.384,
2009-09,887.662,
2009-10,1395.799,
2009-11,1510.247,
2009-12,5773.627,
2010-01,3677.863,
2010-02,1263.912,
2010-03,2878.387,
2010-04,3391.176,
2010-05,3990.260,
2010-06,4348.603,
2010-07,1716.866,
2010-08,1468.690,
2010-09,3108.279,
2010-10,1985.443,
2010-11,1344.509,
2010-12,10064.879,
2011-01,897.345,
2011-02,860.187,
2011-03,4282.100,
2011-04,1995.970,
2011-05,3855.184,
2011-06,3272.985,
2011-07,2465.245,
2011-08,2737.771,
2011-09,1982.622,
2011-10,1190.205,
2011-11,1901.604,
2011-12,10548.106,
2012-01,1165.971,
2012-02,2061.152,
2012-03,3159.902,
2012-04,2764.510,
2012-05,4514.952,
2012-06,4064.843,
2012-07,2111.330,
2012-08,2239.119,
2012-09,3007.493,
2012-10,1062.059,
2012-11,4395.106,
2012-12,6683.983,
2013-01,1757.987,
2013-02,1121.158,
2013-03,4100.110,
2013-04,3007.092,
2013-05,4736.450,
2013-06,4284.982,
2013-07,3454.078,
2013-08,2055.715,
2013-09,2956.915,
2013-10,1466.646,
2013-11,3656.994,
2013-12,5880.090,
2014-01,1618.100,
2014-02,1661.284,Provisional value
2014-03,2576.101,Provisional value
2014-04,1967.378,Provisional value
2014-05,4059.945,Provisional value
2014-06,2770.442,Provisional value
2014-07,2537.544,Provisional value
2014-08,2264.843,Provisional value
2014-09,4465.928,
2014-10,2064.795,
2014-11,1366.099,
2014-12,11562.648,Provisional value
