"",BBDE1.M.DE.Y.AEB1.A2P320000.F.C.I10.A,BBDE1.M.DE.Y.AEB1.A2P320000.F.C.I10.A_FLAGS
2000-11,103.7,
2000-12,101.9,
2001-01,101.3,
2001-02,102.4,
2001-03,104.1,
2001-04,100.4,
2001-05,98.5,
2001-06,97.8,
2001-07,97.6,
2001-08,100.6,
2001-09,95.9,
2001-10,94.4,
2001-11,94.2,
2001-12,97.1,
2002-01,94.9,
2002-02,92.0,
2002-03,92.9,
2002-04,94.1,
2002-05,92.0,
2002-06,96.3,
2002-07,94.8,
2002-08,96.6,
2002-09,93.8,
2002-10,94.2,
2002-11,94.5,
2002-12,94.7,
2003-01,95.4,
2003-02,98.6,
2003-03,92.3,
2003-04,93.2,
2003-05,94.6,
2003-06,95.5,
2003-07,93.9,
2003-08,91.8,
2003-09,96.6,
2003-10,98.4,
2003-11,99.3,
2003-12,97.7,
2004-01,96.8,
2004-02,100.5,
2004-03,99.3,
2004-04,99.6,
2004-05,97.4,
2004-06,99.3,
2004-07,98.5,
2004-08,97.4,
2004-09,98.1,
2004-10,103.3,
2004-11,98.1,
2004-12,107.6,
2005-01,98.9,
2005-02,98.4,
2005-03,100.7,
2005-04,101.3,
2005-05,99.6,
2005-06,106.8,
2005-07,103.3,
2005-08,103.7,
2005-09,105.2,
2005-10,105.4,
2005-11,105.7,
2005-12,104.0,
2006-01,104.8,
2006-02,104.9,
2006-03,105.0,
2006-04,105.7,
2006-05,110.2,
2006-06,106.1,
2006-07,108.1,
2006-08,114.4,
2006-09,120.3,
2006-10,111.0,
2006-11,110.3,
2006-12,111.6,
2007-01,114.3,
2007-02,116.5,
2007-03,117.4,
2007-04,115.8,
2007-05,118.4,
2007-06,121.2,
2007-07,118.4,
2007-08,116.2,
2007-09,116.2,
2007-10,122.4,
2007-11,121.2,
2007-12,123.9,
2008-01,120.0,
2008-02,120.0,
2008-03,116.8,
2008-04,120.3,
2008-05,114.2,
2008-06,113.4,
2008-07,109.6,
2008-08,114.6,
2008-09,108.6,
2008-10,101.5,
2008-11,92.6,
2008-12,89.3,
2009-01,88.8,
2009-02,84.8,
2009-03,86.3,
2009-04,83.0,
2009-05,88.1,
2009-06,85.3,
2009-07,97.4,
2009-08,92.9,
2009-09,88.1,
2009-10,87.3,
2009-11,88.8,
2009-12,87.9,
2010-01,94.1,
2010-02,91.4,
2010-03,95.8,
2010-04,97.7,
2010-05,99.5,
2010-06,100.5,
2010-07,98.3,
2010-08,100.2,
2010-09,102.2,
2010-10,103.9,
2010-11,106.0,
2010-12,104.3,
2011-01,107.4,
2011-02,112.6,
2011-03,105.1,
2011-04,107.3,
2011-05,129.7,
2011-06,109.2,
2011-07,110.2,
2011-08,108.0,
2011-09,106.4,
2011-10,105.7,
2011-11,106.8,
2011-12,108.0,
2012-01,105.0,
2012-02,105.9,
2012-03,107.2,
2012-04,105.5,
2012-05,105.1,
2012-06,103.7,
2012-07,103.6,
2012-08,100.0,
2012-09,100.5,
2012-10,101.3,
2012-11,99.9,
2012-12,102.1,
2013-01,102.3,
2013-02,105.0,
2013-03,104.7,
2013-04,102.6,
2013-05,99.2,
2013-06,106.6,
2013-07,105.1,
2013-08,109.1,
2013-09,107.5,
2013-10,104.8,
2013-11,108.6,
2013-12,103.0,
2014-01,107.0,
2014-02,108.5,
2014-03,109.3,
2014-04,109.7,
2014-05,107.1,
2014-06,103.9,
2014-07,107.3,
2014-08,106.2,
2014-09,102.9,
2014-10,113.0,
2014-11,105.4,
2014-12,107.8,Provisional value
