"",BBDE1.M.DE.Y.AEA1.A2R290050.F.V.I10.A,BBDE1.M.DE.Y.AEA1.A2R290050.F.V.I10.A_FLAGS
2009-07,91.2,
2009-08,86.6,
2009-09,88.1,
2009-10,81.2,
2009-11,83.5,
2009-12,84.0,
2010-01,93.6,
2010-02,84.7,
2010-03,95.3,
2010-04,97.5,
2010-05,97.6,
2010-06,102.4,
2010-07,98.3,
2010-08,107.8,
2010-09,101.4,
2010-10,101.3,
2010-11,110.4,
2010-12,104.6,
2011-01,108.8,
2011-02,110.9,
2011-03,103.5,
2011-04,109.1,
2011-05,123.2,
2011-06,118.0,
2011-07,105.7,
2011-08,110.4,
2011-09,105.6,
2011-10,110.6,
2011-11,105.6,
2011-12,111.0,
2012-01,105.0,
2012-02,106.3,
2012-03,116.4,
2012-04,110.6,
2012-05,107.9,
2012-06,109.6,
2012-07,108.2,
2012-08,107.5,
2012-09,102.1,
2012-10,114.1,
2012-11,109.5,
2012-12,108.2,
2013-01,108.9,
2013-02,113.8,
2013-03,114.9,
2013-04,112.3,
2013-05,109.0,
2013-06,123.8,
2013-07,117.3,
2013-08,112.8,
2013-09,123.0,
2013-10,118.9,
2013-11,121.4,
2013-12,122.0,
2014-01,121.2,
2014-02,123.4,
2014-03,117.9,
2014-04,125.8,
2014-05,128.9,
2014-06,114.4,
2014-07,131.4,
2014-08,111.4,
2014-09,116.1,
2014-10,126.7,
2014-11,124.1,
2014-12,129.9,Provisional value
