"",BBEX3.M.CVE.USD.CA.AA.A01,BBEX3.M.CVE.USD.CA.AA.A01_FLAGS
1988-05,69.970,
1988-06,74.330,
1988-07,75.180,
1988-08,76.480,
1988-09,77.030,
1988-10,73.200,
1988-11,71.280,
1988-12,73.360,
1989-01,75.940,
1989-02,74.310,
1989-03,76.160,
1989-04,76.680,
1989-05,82.220,
1989-06,80.580,
1989-07,77.440,
1989-08,79.850,
1989-09,78.510,
1989-10,77.310,
1989-11,76.040,
1989-12,72.740,
1990-01,72.100,
1990-02,72.510,
1990-03,74.000,
1990-04,72.910,
1990-05,71.880,
1990-06,71.590,
1990-07,69.190,
1990-08,67.490,
1990-09,68.010,
1990-10,65.460,
1990-11,64.240,
1990-12,65.780,
1991-01,64.290,
1991-02,65.530,
1991-03,73.000,
1991-04,75.150,
1991-05,73.210,
1991-06,76.980,
1991-07,74.190,
1991-08,73.690,
1991-09,71.990,
1991-10,72.990,
1991-11,70.200,
1991-12,65.860,
1992-01,68.460,
1992-02,69.700,
1992-03,70.940,
1992-04,69.800,
1992-05,68.210,
1992-06,64.530,
1992-07,62.790,
1992-08,60.600,
1992-09,62.420,
1992-10,67.640,
1992-11,72.620,
1992-12,75.030,
1993-01,73.890,
1993-02,77.320,
1993-03,77.410,
1993-04,74.980,
1993-05,76.570,
1993-06,80.850,
1993-07,85.180,
1993-08,83.480,
1993-09,81.610,
1993-10,84.800,
1993-11,85.660,
1993-12,85.680,
1994-01,85.360,
1994-02,84.880,
1994-03,84.110,
1994-04,83.410,
1994-05,82.580,
1994-06,78.850,
1994-07,78.210,
1994-08,78.660,
1994-09,79.180,
1994-10,77.660,
1994-11,80.880,
1994-12,80.830,
1995-01,79.250,
1995-02,77.290,
1995-03,75.510,
1995-04,74.440,
1995-05,74.530,
1995-06,74.860,
1995-07,74.000,
1995-08,77.760,
1995-09,76.230,
1995-10,76.380,
1995-11,77.140,
1995-12,77.150,
1996-01,80.380,
1996-02,79.570,
1996-03,80.930,
1996-04,83.820,
1996-05,83.890,
1996-06,83.610,
1996-07,81.710,
1996-08,81.580,
1996-09,83.400,
1996-10,82.550,
1996-11,83.620,
1996-12,84.860,
1997-01,88.590,
1997-02,91.070,
1997-03,91.390,
1997-04,92.910,
1997-05,91.640,
1997-06,92.770,
1997-07,96.760,
1997-08,96.120,
1997-09,94.330,
1997-10,92.120,
1997-11,94.020,
1997-12,95.930,
1998-01,96.710,
1998-02,96.610,
1998-03,97.880,
1998-04,96.520,
1998-05,95.980,
1998-06,96.780,
1998-07,95.270,
1998-08,100.720,
1998-09,94.190,
1998-10,92.790,
1998-11,95.840,
1998-12,93.950,
1999-01,96.435,
1999-02,99.505,
1999-03,102.097,
1999-04,102.964,
1999-05,103.976,
1999-06,104.907,
1999-07,102.348,
1999-08,104.179,
1999-09,103.296,
1999-10,103.531,
1999-11,107.038,
1999-12,107.273,
2000-01,109.087,
2000-02,110.780,
2000-03,111.460,
2000-04,114.635,
2000-05,113.047,
2000-06,111.873,
2000-07,113.720,
2000-08,116.692,
2000-09,117.316,
2000-10,129.898,
2000-11,127.373,
2000-12,118.655,
2001-01,119.791,
2001-02,121.003,
2001-03,124.633,
2001-04,122.104,
2001-05,128.743,
2001-06,129.455,
2001-07,125.902,
2001-08,121.136,
2001-09,119.687,
2001-10,121.551,
2001-11,123.974,
2001-12,124.874,
2002-01,127.491,
2002-02,127.388,
2002-03,125.974,
2002-04,121.901,
2002-05,117.515,
2002-06,112.140,
2002-07,112.014,
2002-08,111.923,
2002-09,112.656,
2002-10,112.128,
2002-11,110.897,
2002-12,106.168,
2003-01,102.490,
2003-02,101.789,
2003-03,102.662,
2003-04,100.543,
2003-05,93.694,
2003-06,96.394,
2003-07,96.453,
2003-08,101.732,
2003-09,96.513,
2003-10,94.272,
2003-11,92.543,
2003-12,88.139,
2004-01,88.338,
2004-02,88.508,
2004-03,90.377,
2004-04,93.139,
2004-05,89.941,
2004-06,90.511,
2004-07,91.588,
2004-08,91.428,
2004-09,89.378,
2004-10,86.647,
2004-11,83.137,
2004-12,80.953,
2005-01,84.491,
2005-02,83.655,
2005-03,85.092,
2005-04,85.343,
2005-05,88.309,
2005-06,91.375,
2005-07,91.027,
2005-08,90.421,
2005-09,91.307,
2005-10,90.742,
2005-11,93.400,
2005-12,93.146,
2006-01,91.163,
2006-02,92.934,
2006-03,91.057,
2006-04,88.722,
2006-05,85.782,
2006-06,87.907,
2006-07,86.969,
2006-08,85.923,
2006-09,86.633,
2006-10,86.606,
2006-11,83.706,
2006-12,83.604,
2007-01,84.901,
2007-02,83.244,
2007-03,82.482,
2007-04,81.000,
2007-05,82.064,
2007-06,81.777,
2007-07,80.626,
2007-08,80.792,
2007-09,77.660,
2007-10,76.435,
2007-11,74.716,
2007-12,74.950,
2008-01,74.352,
2008-02,72.821,
2008-03,69.705,
2008-04,70.455,
2008-05,70.804,
2008-06,69.917,
2008-07,70.632,
2008-08,74.549,
2008-09,76.744,
2008-10,84.490,
2008-11,85.376,
2008-12,78.112,
2009-01,84.000,
2009-02,86.165,
2009-03,83.477,
2009-04,83.017,
2009-05,79.478,
2009-06,78.335,
2009-07,78.363,
2009-08,76.664,
2009-09,75.688,
2009-10,74.463,
2009-11,73.813,
2009-12,76.803,
2010-01,78.668,
2010-02,81.643,
2010-03,81.686,
2010-04,83.080,
2010-05,88.937,
2010-06,90.295,
2010-07,84.270,
2010-08,86.722,
2010-09,81.716,
2010-10,79.473,
2010-11,83.776,
2010-12,82.930,
2011-01,80.326,
2011-02,80.022,
2011-03,78.157,
2011-04,74.433,
2011-05,77.159,
2011-06,76.339,
2011-07,77.224,
2011-08,76.461,
2011-09,80.887,
2011-10,77.770,
2011-11,82.581,
2011-12,85.449,
2012-01,84.007,
2012-02,81.856,
2012-03,82.980,
2012-04,83.250,
2012-05,88.551,
2012-06,88.693,
2012-07,89.941,
2012-08,87.802,
2012-09,85.548,
2012-10,84.967,
2012-11,84.757,
2012-12,83.017,
2013-01,81.329,
2013-02,84.090,
2013-03,86.259,
2013-04,83.987,
2013-05,85.085,
2013-06,84.510,
2013-07,82.905,
2013-08,83.017,
2013-09,81.354,
2013-10,80.063,
2013-11,81.024,
2013-12,79.900,
2014-01,81.132,
2014-02,80.644,
2014-03,80.039,
2014-04,79.651,
2014-05,80.905,
2014-06,80.857,
2014-07,82.180,
2014-08,83.573,
2014-09,86.715,
2014-10,87.425,
2014-11,88.252,
2014-12,90.577,
2015-01,97.349,
2015-02,97.332,
"","Source: Banco de Cabo Verde, Praia.",
