"",BBFB1.M.N.DE.W1.S1.S1.T.LI.FA.P.F51._Z._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.LI.FA.P.F51._Z._T.M.N_FLAGS
1999-08,26786.962,
1999-09,30852.825,
1999-10,28044.535,
1999-11,44033.867,
1999-12,58781.573,
2000-01,60767.756,
2000-02,86727.465,
2000-03,102356.361,
2000-04,49202.177,
2000-05,50112.213,
2000-06,93632.253,
2000-07,55443.652,
2000-08,49430.729,
2000-09,56052.305,
2000-10,53027.825,
2000-11,62302.113,
2000-12,54662.698,
2001-01,51389.975,
2001-02,59724.294,
2001-03,64397.806,
2001-04,54095.326,
2001-05,103706.351,
2001-06,86878.468,
2001-07,59660.721,
2001-08,46449.911,
2001-09,49034.111,
2001-10,42798.485,
2001-11,44784.505,
2001-12,50603.022,
2002-01,55454.673,
2002-02,42974.181,
2002-03,53201.096,
2002-04,50574.420,
2002-05,70948.462,
2002-06,65442.796,
2002-07,55462.420,
2002-08,40046.776,
2002-09,38749.326,
2002-10,42267.468,
2002-11,37036.464,
2002-12,33212.755,
2003-01,38509.046,
2003-02,31829.045,
2003-03,38726.909,
2003-04,54427.640,
2003-05,53422.102,
2003-06,90722.647,
2003-07,57361.591,
2003-08,47573.639,
2003-09,64664.822,
2003-10,68039.227,
2003-11,54866.456,
2003-12,58956.737,
2004-01,82859.555,
2004-02,72742.902,
2004-03,87888.477,
2004-04,109687.780,
2004-05,121918.924,
2004-06,103053.169,
2004-07,58703.721,
2004-08,53389.236,
2004-09,54228.219,
2004-10,63105.411,
2004-11,65232.812,
2004-12,66690.412,
2005-01,75244.365,
2005-02,76610.291,
2005-03,84798.230,
2005-04,105978.611,
2005-05,144726.325,
2005-06,128565.202,
2005-07,83967.383,
2005-08,84795.091,
2005-09,103225.200,
2005-10,95780.926,
2005-11,93869.279,
2005-12,93688.742,
2006-01,108658.444,
2006-02,111185.948,
2006-03,141550.759,
2006-04,157187.687,
2006-05,265594.205,
2006-06,213361.551,
2006-07,102072.167,
2006-08,107696.620,
2006-09,118741.972,
2006-10,129458.745,
2006-11,143826.221,
2006-12,137951.205,
2007-01,165116.826,
2007-02,175669.087,
2007-03,231017.850,
2007-04,231596.700,
2007-05,317444.854,
2007-06,275416.919,
2007-07,202896.379,
2007-08,240931.774,
2007-09,179994.253,
2007-10,195681.124,
2007-11,215728.936,
2007-12,171518.420,
2008-01,276551.253,
2008-02,213747.141,
2008-03,200302.090,
2008-04,231825.630,
2008-05,271869.928,
2008-06,249275.174,
2008-07,227641.839,
2008-08,209669.217,
2008-09,232046.123,
2008-10,245699.909,
2008-11,122208.463,
2008-12,117158.455,
2009-01,84479.819,
2009-02,86917.191,
2009-03,104334.815,
2009-04,115067.976,
2009-05,160437.559,
2009-06,103221.754,
2009-07,85727.784,
2009-08,85614.789,
2009-09,104511.223,
2009-10,100798.591,
2009-11,85146.592,
2009-12,94216.048,
2010-01,97168.635,
2010-02,92797.216,
2010-03,101189.531,
2010-04,164176.530,
2010-05,266157.877,
2010-06,132660.638,
2010-07,74320.289,
2010-08,69324.933,
2010-09,86949.307,
2010-10,85873.527,
2010-11,85257.527,
2010-12,88684.172,
2011-01,104887.229,
2011-02,95411.164,
2011-03,113906.189,
2011-04,132660.218,
2011-05,241917.342,
2011-06,117857.658,
2011-07,94687.210,
2011-08,137808.930,
2011-09,110425.042,
2011-10,87596.217,
2011-11,84955.994,
2011-12,86144.975,
2012-01,84367.684,
2012-02,89017.610,
2012-03,103899.612,
2012-04,104064.009,
2012-05,133353.172,
2012-06,98923.955,
2012-07,82319.737,
2012-08,69467.193,
2012-09,87256.565,
2012-10,78493.206,
2012-11,70684.816,
2012-12,69742.149,
2013-01,73283.574,
2013-02,79078.383,
2013-03,85439.853,
2013-04,102516.627,
2013-05,151606.190,
2013-06,97988.845,
2013-07,82167.901,
2013-08,68986.510,
2013-09,85601.572,
2013-10,84526.816,
2013-11,78653.974,
2013-12,78189.356,
2014-01,97686.237,
2014-02,89236.594,Provisional value
2014-03,105419.510,Provisional value
2014-04,114530.527,Provisional value
2014-05,153797.328,Provisional value
2014-06,95560.277,Provisional value
2014-07,76759.872,Provisional value
2014-08,76606.979,Provisional value
2014-09,91990.211,
2014-10,113642.514,
2014-11,87200.138,
2014-12,95270.484,Provisional value
