"",BBEX3.M.IRR.USD.CA.AC.A01,BBEX3.M.IRR.USD.CA.AC.A01_FLAGS
"","Comment on 2013-06: The bureau de change rate reported by the German embassy in Tehran for 30 June 2013 was USD 1 = IRR 33,200.",
"","Comment on 2013-07: Since 3 July 2013, rather than issuing reference rates, the Central Bank of Iran has been publishing exchange rates that deviate sharply from the reference rates. The non-reference rates, which were published for a short time from 1 October 2012 onwards, are now made available as official rates as a result of the reference rates becoming less and less important in the wake of the autumn 2012 reforms.  The bureau de change rate reported by the German embassy in Tehran for 31 July 2013 was USD 1 = IRR 31,750.",
"","Comment on 2013-08: The bureau de change rate reported by the German embassy in Tehran for 29 August 2013 was USD 1 = IRR 32,700.",
"","Comment on 2013-09: The bureau de change rate reported by the German embassy in Tehran for 30 September 2013 was USD 1 = IRR 30,800.",
"","Comment on 2013-10: The bureau de change rate reported by the German embassy in Tehran for 31 October 2013 was USD 1 = IRR 30,100.",
"","Comment on 2013-11: The bureau de change rate reported by the German embassy in Tehran for 28 November 2013 was USD 1 = IRR 29,850.",
"","Comment on 2013-12: The bureau de change rate reported by the German embassy in Tehran for 30 December 2013 was USD 1 = IRR 30,100.",
"","Comment on 2014-01: The bureau de change rate reported by the German embassy in Tehran for 30 January 2014 was USD 1 = IRR 29,420.",
"","Comment on 2014-02: The bureau de change rate reported by the German embassy in Tehran for 27 February 2014 was USD 1 = IRR 29,880.",
"","Comment on 2014-03: The bureau de change rate reported by the German embassy in Tehran for 31 March 2014 was USD 1 = IRR 30,700.",
"","Comment on 2014-04: The bureau de change rate reported by the German embassy in Tehran for 30 April 2014 was USD 1 = IRR 32,800.",
"","Comment on 2014-05: The bureau de change rate reported by the German embassy in Tehran for 30 May 2014 was USD 1 = IRR 32,750.",
"","Comment on 2014-06: The bureau de change rate reported by the German embassy in Tehran for 30 June 2014 was USD 1 = IRR 31,300.",
"","Comment on 2014-07: The bureau de change rate reported by the German embassy in Tehran for 28 July 2014 was USD 1 = IRR 31,400.",
"","Comment on 2014-08: The bureau de change rate reported by the German embassy in Tehran for 31 August 2014 was USD 1 = IRR 31,650.",
"","Comment on 2014-09: The bureau de change rate reported by the German embassy in Tehran for 30 September 2014 was USD 1 = IRR 32,550.",
"","Comment on 2014-10: The bureau de change rate reported by the German embassy in Tehran for 30 October 2014 was USD 1 = IRR 32,450.",
"","Comment on 2014-11: The bureau de change rate reported by the German embassy in Tehran for 30 November 2014 was USD 1 = IRR 33,950.",
"","Comment on 2014-12: The bureau de change rate reported by the German embassy in Tehran for 31 December 2014 was USD 1 = IRR 35,350.",
"","Comment on 2015-01: The bureau de change rate reported by the German embassy in Tehran for 31 January 2015 was USD 1 = IRR 34,600.",
