"",BBFB1.M.N.DE.W1.S1.S1.T.B.SG._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.SG._Z._Z._Z._T._X.N_FLAGS
2009-12,1100.287,
2010-01,965.526,
2010-02,572.279,
2010-03,583.388,
2010-04,717.639,
2010-05,395.041,
2010-06,392.913,
2010-07,640.416,
2010-08,780.342,
2010-09,630.230,
2010-10,485.154,
2010-11,547.778,
2010-12,636.387,
2011-01,633.512,
2011-02,301.352,
2011-03,483.185,
2011-04,256.275,
2011-05,497.543,
2011-06,407.163,
2011-07,705.489,
2011-08,486.044,
2011-09,681.708,
2011-10,1231.486,
2011-11,541.022,
2011-12,608.492,
2012-01,664.032,
2012-02,395.985,
2012-03,495.695,
2012-04,683.017,
2012-05,453.749,
2012-06,373.841,
2012-07,413.626,
2012-08,1548.202,
2012-09,424.236,
2012-10,374.354,
2012-11,395.499,
2012-12,583.960,
2013-01,465.819,
2013-02,344.994,
2013-03,109.397,
2013-04,355.200,
2013-05,265.533,
2013-06,310.894,
2013-07,359.502,
2013-08,613.623,
2013-09,1120.407,
2013-10,306.961,
2013-11,531.001,
2013-12,1010.369,
2014-01,211.038,
2014-02,94.020,Provisional value
2014-03,486.359,Provisional value
2014-04,521.750,Provisional value
2014-05,611.628,Provisional value
2014-06,313.674,Provisional value
2014-07,838.618,Provisional value
2014-08,711.881,Provisional value
2014-09,685.185,
2014-10,409.336,
2014-11,535.810,
2014-12,701.082,Provisional value
