"",BBFB1.M.N.DE.W1.S1.S1.T.N.FA.F.F7.T._T.T.N,BBFB1.M.N.DE.W1.S1.S1.T.N.FA.F.F7.T._T.T.N_FLAGS
2011-10,5472.429,
2011-11,-600.530,
2011-12,1398.672,
2012-01,395.524,
2012-02,1824.663,
2012-03,-298.730,
2012-04,2681.284,
2012-05,5658.905,
2012-06,3243.257,
2012-07,4819.200,
2012-08,1294.733,
2012-09,230.681,
2012-10,2793.970,
2012-11,2261.128,
2012-12,714.745,
2013-01,439.901,
2013-02,2556.902,
2013-03,2776.286,
2013-04,2255.867,
2013-05,4720.060,
2013-06,-2266.132,
2013-07,1025.246,
2013-08,-436.766,
2013-09,1031.025,
2013-10,1953.875,
2013-11,3128.014,
2013-12,961.279,
2014-01,2150.723,
2014-02,2579.441,
2014-03,299.884,
2014-04,3748.699,
2014-05,5521.674,
2014-06,-246.786,
2014-07,1908.276,
2014-08,1550.354,
2014-09,3326.450,
2014-10,2245.563,
2014-11,4417.928,
2014-12,59.566,Provisional value
