"",BBEX3.M.EGP.USD.CA.AB.A01,BBEX3.M.EGP.USD.CA.AB.A01_FLAGS
1999-10,3.4179,
1999-11,3.4179,
1999-12,3.4250,
2000-01,3.4260,
2000-02,3.4300,
2000-03,3.4350,
2000-04,3.4370,
2000-05,3.4470,
2000-06,3.4770,
2000-07,3.4960,
2000-08,3.5170,
2000-09,3.5700,
2000-10,3.7100,
2000-11,3.7750,
2000-12,3.7750,
2001-01,3.8400,
2001-02,3.8550,
2001-03,3.8700,
2001-04,3.8600,
2001-05,3.8700,
2001-06,3.8750,
2001-07,3.9400,
2001-08,4.2700,
2001-09,4.2600,
2001-10,4.2700,
2001-11,4.2745,
2001-12,4.5600,
2002-01,4.5900,
2002-02,4.6200,
2002-03,4.6200,
2002-04,4.6200,
2002-05,4.6200,
2002-06,4.6200,
2002-07,4.6200,
2002-08,4.6200,
2002-09,4.6200,
2002-10,4.6200,
2002-11,4.6400,
2002-12,4.6453,
2003-01,5.3800,comment
2003-02,5.5800,
2003-03,5.7500,
2003-04,5.9000,
2003-05,5.9800,
2003-06,6.0525,
2003-07,6.1200,
2003-08,6.1600,
2003-09,6.1275,
2003-10,6.1275,
2003-11,6.1375,
2003-12,6.1450,
2004-01,6.1650,
2004-02,6.1650,
2004-03,6.1800,
2004-04,6.1800,
2004-05,6.1850,
2004-06,6.1850,
2004-07,6.1850,
2004-08,6.1800,
2004-09,6.2350,
2004-10,6.2400,
2004-11,6.2250,
2004-12,6.1150,
2005-01,5.8700,
2005-02,5.8100,
2005-03,5.8100,
2005-04,5.8050,
2005-05,5.8050,
2005-06,5.8050,
2005-07,5.7875,
2005-08,5.7850,
2005-09,5.7800,
2005-10,5.7750,
2005-11,5.7750,
2005-12,5.7550,
2006-01,5.7425,
2006-02,5.7450,
2006-03,5.7525,
2006-04,5.7600,
2006-05,5.7725,
2006-06,5.7700,
2006-07,5.7575,
2006-08,5.7575,
2006-09,5.7500,
2006-10,5.7450,
2006-11,5.7325,
2006-12,5.7250,
2007-01,5.7100,
2007-02,5.7100,
2007-03,5.7125,
2007-04,5.6925,
2007-05,5.7100,
2007-06,5.7100,
2007-07,5.6600,
2007-08,5.6650,
2007-09,5.6000,
2007-10,5.5350,
2007-11,5.5475,
2007-12,5.5350,
2008-01,5.5750,
2008-02,5.5100,
2008-03,5.4700,
2008-04,5.3900,
2008-05,5.3600,
2008-06,5.3400,
2008-07,5.3200,
2008-08,5.3875,
2008-09,5.4775,
2008-10,5.5900,
2008-11,5.5350,
2008-12,5.5250,
2009-01,5.5725,
2009-02,5.6250,
2009-03,5.6550,
2009-04,5.6450,
2009-05,5.6300,
2009-06,5.6150,
2009-07,5.5550,
2009-08,5.5375,
2009-09,5.5150,
2009-10,5.4825,
2009-11,5.4800,
2009-12,5.5100,
2010-01,5.4775,
2010-02,5.4975,
2010-03,5.5225,
2010-04,5.5775,
2010-05,5.6800,
2010-06,5.7125,
2010-07,5.7225,
2010-08,5.7275,
2010-09,5.7175,
2010-10,5.7975,
2010-11,5.8050,
2010-12,5.8225,
2011-01,5.8700,
2011-02,5.9080,
2011-03,5.9800,
2011-04,5.9600,
2011-05,5.9600,
2011-06,5.9900,
2011-07,5.9700,
2011-08,5.9625,
2011-09,5.9850,
2011-10,5.9875,
2011-11,6.0250,
2011-12,6.0475,
2012-01,6.0460,
2012-02,6.0470,
2012-03,6.0590,
2012-04,6.0670,
2012-05,6.0635,
2012-06,6.0795,
2012-07,6.0935,
2012-08,6.1185,
2012-09,6.1125,
2012-10,6.1325,
2012-11,6.1325,
2012-12,6.4237,
2013-01,6.7454,
2013-02,6.7704,
2013-03,6.8331,
2013-04,6.9645,
2013-05,7.0138,
2013-06,7.0494,
2013-07,7.0309,
2013-08,7.0157,
2013-09,6.9216,
2013-10,6.9193,
2013-11,6.9174,
2013-12,6.9786,
2014-01,6.9917,
2014-02,6.9907,
2014-03,6.9975,
2014-04,7.0376,
2014-05,7.1804,
2014-06,7.1801,
2014-07,7.1801,
2014-08,7.1801,
2014-09,7.1801,
2014-10,7.1801,
2014-11,7.1801,
2014-12,7.1801,
2015-01,7.5901,
"",General: *) Classified as a free market rate until the end of 1993.,
"","Source: National Bank of Egypt, Cairo.",
"",Comment on 2003-01: Exchange rate floated as from 29 January 2003.,
