"",BBFB1.M.N.DE.W1.S12T.S1.T.A.FA._Z.F._Z._T._X.N,BBFB1.M.N.DE.W1.S12T.S1.T.A.FA._Z.F._Z._T._X.N_FLAGS
2007-03,26292.501,
2007-04,58002.939,
2007-05,32126.679,
2007-06,49839.745,
2007-07,7360.481,
2007-08,25659.653,
2007-09,70421.200,
2007-10,24879.804,
2007-11,50854.178,
2007-12,-18192.074,
2008-01,33594.197,
2008-02,26879.094,
2008-03,37839.885,
2008-04,16485.652,
2008-05,364.888,
2008-06,-9798.781,
2008-07,-8591.511,
2008-08,-9291.203,
2008-09,70222.573,
2008-10,-5893.959,
2008-11,-65643.254,
2008-12,-61298.398,
2009-01,-41751.224,
2009-02,-32146.964,
2009-03,-57539.573,
2009-04,36037.749,
2009-05,-5055.217,
2009-06,-31083.168,
2009-07,-26452.243,
2009-08,-1215.473,
2009-09,-48765.721,
2009-10,18603.073,
2009-11,-4074.438,
2009-12,-31897.793,
2010-01,1488.634,
2010-02,-9852.486,
2010-03,-3513.046,
2010-04,59846.120,
2010-05,16833.400,
2010-06,-79572.442,
2010-07,-37095.972,
2010-08,30336.045,
2010-09,-45537.468,
2010-10,-76451.586,
2010-11,16291.911,
2010-12,-55728.781,
2011-01,12085.965,
2011-02,10250.476,
2011-03,-50586.946,
2011-04,69084.203,
2011-05,10546.434,
2011-06,-50931.907,
2011-07,-11869.885,
2011-08,36500.559,
2011-09,-21381.203,
2011-10,-26590.930,
2011-11,-10076.527,
2011-12,-37793.572,
2012-01,31709.781,
2012-02,-4231.326,
2012-03,-6388.457,
2012-04,90.199,
2012-05,-5739.786,
2012-06,-46681.314,
2012-07,9573.039,
2012-08,4655.008,
2012-09,7172.792,
2012-10,-3505.720,
2012-11,-8312.619,
2012-12,-42913.839,
2013-01,10967.043,
2013-02,9604.234,
2013-03,-12585.814,
2013-04,11471.275,
2013-05,7497.362,
2013-06,-4775.497,
2013-07,-19118.328,
2013-08,-12172.904,
2013-09,-17280.493,
2013-10,22833.830,
2013-11,26987.683,
2013-12,-56151.352,
2014-01,53392.343,
2014-02,-1546.187,Provisional value
2014-03,-10668.977,Provisional value
2014-04,17813.420,Provisional value
2014-05,26684.559,Provisional value
2014-06,12448.393,Provisional value
2014-07,39745.507,Provisional value
2014-08,-15911.159,Provisional value
2014-09,-12605.248,
2014-10,16611.723,
2014-11,48149.540,
2014-12,-52416.997,Provisional value
