"",BBEX3.M.DJF.USD.CA.AB.A01,BBEX3.M.DJF.USD.CA.AB.A01_FLAGS
1984-05,179.480,
1984-06,179.480,
1984-07,179.480,
1984-08,179.480,
1984-09,179.480,
1984-10,179.480,
1984-11,179.480,
1984-12,179.480,
1985-01,179.480,
1985-02,179.480,
1985-03,179.480,
1985-04,179.480,
1985-05,179.480,
1985-06,179.480,
1985-07,179.480,
1985-08,179.480,
1985-09,179.480,
1985-10,179.480,
1985-11,179.480,
1985-12,179.480,
1986-01,179.480,
1986-02,179.480,
1986-03,179.480,
1986-04,179.480,
1986-05,179.480,
1986-06,179.480,
1986-07,179.480,
1986-08,179.480,
1986-09,179.480,
1986-10,179.480,
1986-11,179.480,
1986-12,179.480,
1987-01,179.480,
1987-02,179.480,
1987-03,179.480,
1987-04,179.480,
1987-05,179.480,
1987-06,179.480,
1987-07,179.480,
1987-08,179.480,
1987-09,179.480,
1987-10,179.480,
1987-11,179.480,
1987-12,179.480,
1988-01,179.480,
1988-02,179.480,
1988-03,179.480,
1988-04,179.480,
1988-05,179.480,
1988-06,179.480,
1988-07,179.480,
1988-08,179.480,
1988-09,179.480,
1988-10,179.480,
1988-11,179.480,
1988-12,179.480,
1989-01,179.480,
1989-02,179.480,
1989-03,179.480,
1989-04,179.480,
1989-05,179.480,
1989-06,179.480,
1989-07,179.480,
1989-08,179.480,
1989-09,179.480,
1989-10,179.480,
1989-11,179.480,
1989-12,179.480,
1990-01,179.480,
1990-02,179.480,
1990-03,179.480,
1990-04,179.480,
1990-05,179.480,
1990-06,179.480,
1990-07,179.480,
1990-08,179.480,
1990-09,179.480,
1990-10,179.480,
1990-11,179.480,
1990-12,179.480,
1991-01,179.480,
1991-02,179.480,
1991-03,179.480,
1991-04,179.480,
1991-05,179.480,
1991-06,179.480,
1991-07,179.480,
1991-08,179.480,
1991-09,179.480,
1991-10,179.480,
1991-11,179.480,
1991-12,179.480,
1992-01,179.480,
1992-02,179.480,
1992-03,179.480,
1992-04,179.480,
1992-05,179.480,
1992-06,179.480,
1992-07,179.480,
1992-08,179.480,
1992-09,179.480,
1992-10,179.480,
1992-11,179.480,
1992-12,179.480,
1993-01,179.480,
1993-02,179.480,
1993-03,179.480,
1993-04,179.480,
1993-05,179.480,
1993-06,179.480,
1993-07,179.480,
1993-08,179.480,
1993-09,179.480,
1993-10,179.480,
1993-11,179.480,
1993-12,179.480,
1994-01,179.480,
1994-02,179.480,
1994-03,179.480,
1994-04,179.480,
1994-05,179.480,
1994-06,179.480,
1994-07,179.498,
1994-08,179.498,
1994-09,179.498,
1994-10,179.498,
1994-11,179.498,
1994-12,179.498,
1995-01,179.498,
1995-02,179.498,
1995-03,179.498,
1995-04,179.498,
1995-05,179.498,
1995-06,179.498,
1995-07,179.498,
1995-08,179.498,
1995-09,179.498,
1995-10,179.498,
1995-11,179.498,
1995-12,179.498,
1996-01,179.498,
1996-02,179.498,
1996-03,179.498,
1996-04,179.498,
1996-05,179.498,
1996-06,179.498,
1996-07,179.498,
1996-08,179.498,
1996-09,179.498,
1996-10,179.498,
1996-11,179.498,
1996-12,179.498,
1997-01,179.498,
1997-02,179.498,
1997-03,179.498,
1997-04,179.498,
1997-05,179.498,
1997-06,179.498,
1997-07,179.498,
1997-08,179.498,
1997-09,179.498,
1997-10,179.498,
1997-11,179.498,
1997-12,179.498,
1998-01,179.498,
1998-02,179.498,
1998-03,179.498,
1998-04,179.498,
1998-05,179.498,
1998-06,179.498,
1998-07,179.498,
1998-08,179.498,
1998-09,179.498,
1998-10,179.498,
1998-11,179.498,
1998-12,179.498,
1999-01,179.498,
1999-02,179.498,
1999-03,179.498,
1999-04,179.498,
1999-05,179.498,
1999-06,179.498,
1999-07,179.498,
1999-08,179.498,
1999-09,179.498,
1999-10,179.498,
1999-11,179.498,
1999-12,179.498,
2000-01,179.498,
2000-02,179.498,
2000-03,179.498,
2000-04,179.498,
2000-05,179.498,
2000-06,179.498,
2000-07,179.498,
2000-08,179.498,
2000-09,179.498,
2000-10,179.498,
2000-11,179.498,
2000-12,179.498,
2001-01,179.498,
2001-02,179.498,
2001-03,179.498,
2001-04,179.498,
2001-05,179.498,
2001-06,179.498,
2001-07,179.498,
2001-08,179.498,
2001-09,179.498,
2001-10,179.498,
2001-11,179.498,
2001-12,179.498,
2002-01,179.498,
2002-02,179.498,
2002-03,179.498,
2002-04,179.498,
2002-05,179.498,
2002-06,179.498,
2002-07,179.498,
2002-08,179.498,
2002-09,179.498,
2002-10,179.498,
2002-11,179.498,
2002-12,179.498,
2003-01,179.498,
2003-02,179.498,
2003-03,179.498,
2003-04,179.498,
2003-05,179.498,
2003-06,179.498,
2003-07,179.498,
2003-08,179.498,
2003-09,179.498,
2003-10,179.498,
2003-11,179.498,
2003-12,179.498,
2004-01,179.498,
2004-02,179.498,
2004-03,179.498,
2004-04,179.498,
2004-05,179.498,
2004-06,179.498,
2004-07,179.498,
2004-08,179.498,
2004-09,179.498,
2004-10,179.498,
2004-11,179.498,
2004-12,179.498,
2005-01,179.498,
2005-02,179.498,
2005-03,179.498,
2005-04,179.498,
2005-05,179.498,
2005-06,179.498,
2005-07,179.498,
2005-08,179.498,
2005-09,179.498,
2005-10,179.498,
2005-11,179.498,
2005-12,179.498,
2006-01,179.498,
2006-02,179.498,
2006-03,179.498,
2006-04,179.498,
2006-05,179.498,
2006-06,179.498,
2006-07,179.498,
2006-08,179.498,
2006-09,179.498,
2006-10,179.498,
2006-11,179.498,
2006-12,179.498,
2007-01,179.498,
2007-02,179.498,
2007-03,179.498,
2007-04,179.498,
2007-05,179.498,
2007-06,179.498,
2007-07,179.498,
2007-08,179.498,
2007-09,179.498,
2007-10,179.498,
2007-11,179.498,
2007-12,179.498,
2008-01,179.498,
2008-02,179.498,
2008-03,179.498,
2008-04,179.498,
2008-05,179.498,
2008-06,179.498,
2008-07,179.498,
2008-08,179.498,
2008-09,179.498,
2008-10,179.498,
2008-11,179.498,
2008-12,179.498,
2009-01,179.498,
2009-02,179.498,
2009-03,179.498,
2009-04,179.498,
2009-05,179.498,
2009-06,179.498,
2009-07,179.498,
2009-08,179.498,
2009-09,179.498,
2009-10,179.498,
2009-11,179.498,
2009-12,179.498,
2010-01,179.498,
2010-02,179.498,
2010-03,179.498,
2010-04,179.498,
2010-05,179.498,
2010-06,179.498,
2010-07,179.498,
2010-08,179.498,
2010-09,179.498,
2010-10,179.498,
2010-11,179.498,
2010-12,179.498,
2011-01,179.498,
2011-02,179.498,
2011-03,179.498,
2011-04,179.498,
2011-05,179.498,
2011-06,179.498,
2011-07,179.498,
2011-08,179.498,
2011-09,179.498,
2011-10,179.498,
2011-11,179.498,
2011-12,179.498,
2012-01,179.498,
2012-02,179.498,
2012-03,179.498,
2012-04,179.498,
2012-05,179.498,
2012-06,179.498,
2012-07,179.498,
2012-08,179.498,
2012-09,179.498,
2012-10,179.498,
2012-11,179.498,
2012-12,179.498,
2013-01,179.498,
2013-02,179.498,
2013-03,179.498,
2013-04,179.498,
2013-05,179.498,
2013-06,179.498,
2013-07,179.498,
2013-08,179.498,
2013-09,179.498,
2013-10,179.498,
2013-11,179.498,
2013-12,179.498,
2014-01,179.498,
2014-02,179.498,
2014-03,179.498,
2014-04,179.498,
2014-05,179.498,
2014-06,179.498,
2014-07,179.498,
2014-08,179.498,
2014-09,179.498,
2014-10,179.498,
2014-11,179.498,
2014-12,179.498,
2015-01,179.498,
"","Source: Banque pour le Commerce et l'Industrie, Mer Rouge, Djibouti.",
