"",BBFB1.M.N.DE.W1.S1.S1.T.D.SH._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.SH._Z._Z._Z._T._X.N_FLAGS
2012-08,454.749,
2012-09,403.834,
2012-10,301.887,
2012-11,414.085,
2012-12,483.184,
2013-01,655.550,
2013-02,563.018,
2013-03,532.449,
2013-04,543.767,
2013-05,573.830,
2013-06,805.451,
2013-07,434.274,
2013-08,389.565,
2013-09,522.685,
2013-10,346.945,
2013-11,364.882,
2013-12,604.583,
2014-01,465.503,
2014-02,505.229,Provisional value
2014-03,507.428,Provisional value
2014-04,358.925,Provisional value
2014-05,396.072,Provisional value
2014-06,567.311,Provisional value
2014-07,464.556,Provisional value
2014-08,546.269,Provisional value
2014-09,519.577,
2014-10,388.055,
2014-11,509.467,
2014-12,653.771,Provisional value
