"",BBDA1.M.DE.Y.EX.S.A.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.A.W1.A.V.ABA.A_FLAGS
1998-08,40.03,
1998-09,39.82,
1998-10,40.08,
1998-11,39.97,
1998-12,39.05,
1999-01,40.02,
1999-02,40.53,
1999-03,39.63,
1999-04,41.27,
1999-05,41.13,
1999-06,42.37,
1999-07,43.87,
1999-08,42.23,
1999-09,43.12,
1999-10,42.78,
1999-11,45.87,
1999-12,43.79,
2000-01,45.47,
2000-02,46.09,
2000-03,47.80,
2000-04,47.40,
2000-05,49.30,
2000-06,49.84,
2000-07,50.47,
2000-08,49.85,
2000-09,50.50,
2000-10,54.64,
2000-11,53.25,
2000-12,52.31,
2001-01,53.62,
2001-02,54.02,
2001-03,52.37,
2001-04,53.93,
2001-05,53.13,
2001-06,54.03,
2001-07,54.37,
2001-08,54.38,
2001-09,52.53,
2001-10,53.53,
2001-11,51.49,
2001-12,53.76,
2002-01,51.51,
2002-02,53.98,
2002-03,54.07,
2002-04,54.08,
2002-05,51.60,
2002-06,55.93,
2002-07,53.21,
2002-08,56.08,
2002-09,56.46,
2002-10,55.16,
2002-11,57.05,
2002-12,55.34,
2003-01,54.69,
2003-02,55.39,
2003-03,54.22,
2003-04,53.40,
2003-05,54.62,
2003-06,54.69,
2003-07,55.65,
2003-08,55.97,
2003-09,57.94,
2003-10,54.72,
2003-11,57.50,
2003-12,58.22,
2004-01,57.99,
2004-02,58.67,
2004-03,58.75,
2004-04,61.11,
2004-05,62.99,
2004-06,60.15,
2004-07,61.40,
2004-08,60.64,
2004-09,60.42,
2004-10,61.62,
2004-11,62.61,
2004-12,60.46,
2005-01,63.33,
2005-02,61.57,
2005-03,62.71,
2005-04,62.14,
2005-05,65.71,
2005-06,64.83,
2005-07,65.37,
2005-08,67.09,
2005-09,67.76,
2005-10,67.77,
2005-11,67.50,
2005-12,67.58,
2006-01,69.86,
2006-02,71.98,
2006-03,70.03,
2006-04,72.34,
2006-05,71.53,
2006-06,71.95,
2006-07,73.80,
2006-08,73.40,
2006-09,78.84,
2006-10,80.59,
2006-11,80.50,
2006-12,78.56,
2007-01,78.27,
2007-02,79.34,
2007-03,78.07,
2007-04,79.74,
2007-05,79.53,
2007-06,80.10,
2007-07,80.39,
2007-08,82.12,
2007-09,82.86,
2007-10,82.97,
2007-11,82.85,
2007-12,82.56,
2008-01,84.77,
2008-02,83.59,
2008-03,83.29,
2008-04,83.94,
2008-05,82.07,
2008-06,84.26,
2008-07,83.27,
2008-08,83.35,
2008-09,83.10,
2008-10,83.08,
2008-11,74.80,
2008-12,72.01,
2009-01,67.04,
2009-02,65.46,
2009-03,65.34,
2009-04,64.09,
2009-05,62.94,
2009-06,65.60,
2009-07,68.24,
2009-08,66.42,
2009-09,68.09,
2009-10,67.62,
2009-11,69.55,
2009-12,71.33,
2010-01,68.74,
2010-02,71.77,
2010-03,77.45,
2010-04,74.93,
2010-05,79.15,
2010-06,81.49,
2010-07,80.72,
2010-08,79.93,
2010-09,82.27,
2010-10,82.37,
2010-11,83.85,
2010-12,83.68,
2011-01,84.27,
2011-02,85.68,
2011-03,89.91,
2011-04,86.44,
2011-05,88.90,
2011-06,88.45,
2011-07,87.14,
2011-08,89.63,
2011-09,90.73,
2011-10,87.79,
2011-11,90.21,
2011-12,87.51,
2012-01,89.63,
2012-02,90.90,
2012-03,91.13,
2012-04,89.47,
2012-05,93.76,
2012-06,92.32,
2012-07,92.57,
2012-08,94.46,
2012-09,91.74,
2012-10,92.28,
2012-11,89.89,
2012-12,90.05,
2013-01,91.27,
2013-02,90.13,
2013-03,91.50,
2013-04,91.66,
2013-05,90.72,
2013-06,90.98,
2013-07,89.98,
2013-08,91.28,
2013-09,92.27,
2013-10,92.85,
2013-11,93.12,
2013-12,91.81,
2014-01,94.10,
2014-02,92.99,
2014-03,91.23,
2014-04,93.67,
2014-05,92.58,
2014-06,93.53,
2014-07,97.68,
2014-08,92.58,
2014-09,97.34,
2014-10,97.51,
2014-11,95.38,
2014-12,98.64,
