"",BBFN1.M.DE.N.1.L.W1.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
2007-11,31.987,
2007-12,29.788,
2008-01,43.285,
2008-02,45.599,
2008-03,35.511,
2008-04,39.328,
2008-05,42.648,
2008-06,36.970,
2008-07,35.370,
2008-08,34.536,
2008-09,37.434,
2008-10,45.917,
2008-11,43.511,
2008-12,40.620,
2009-01,47.997,
2009-02,43.104,
2009-03,45.319,
2009-04,48.186,
2009-05,41.217,
2009-06,40.659,
2009-07,35.631,
2009-08,35.756,
2009-09,34.265,
2009-10,35.196,
2009-11,36.495,
2009-12,46.806,
2010-01,34.406,
2010-02,33.473,
2010-03,35.435,
2010-04,35.384,
2010-05,38.615,
2010-06,43.072,
2010-07,49.071,
2010-08,48.828,
2010-09,49.612,
2010-10,49.792,
2010-11,47.780,
2010-12,48.003,
2011-01,51.747,
2011-02,49.050,
2011-03,46.038,
2011-04,52.044,
2011-05,52.155,
2011-06,56.182,
2011-07,61.988,
2011-08,68.651,
2011-09,79.034,
2011-10,70.291,
2011-11,71.433,
2011-12,71.887,
2012-01,69.159,
2012-02,66.370,
2012-03,81.865,
2012-04,87.670,
2012-05,95.004,
2012-06,92.333,
2012-07,88.431,
2012-08,77.565,
2012-09,83.435,
2012-10,83.965,
2012-11,80.437,
2012-12,78.945,
2013-01,81.319,
2013-02,84.039,
2013-03,89.306,
2013-04,99.976,
2013-05,94.803,
2013-06,103.431,
2013-07,96.286,
2013-08,82.501,
2013-09,86.807,
2013-10,79.095,
2013-11,83.350,
2013-12,67.323,
2014-01,75.204,
2014-02,70.099,
2014-03,75.713,
2014-04,81.270,
2014-05,79.195,
2014-06,74.835,
2014-07,87.739,
2014-08,81.948,
2014-09,80.463,
2014-10,75.062,
2014-11,75.374,
2014-12,75.204,
