"",BBFB1.M.N.DE.W1.S1.S1.T.C.D4O._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.D4O._Z._Z._Z._T._X.N_FLAGS
2008-08,21.475,
2008-09,6.875,
2008-10,4.216,
2008-11,102.331,
2008-12,5410.882,
2009-01,10.371,
2009-02,25.293,
2009-03,27.951,
2009-04,28.810,
2009-05,2.757,
2009-06,54.642,
2009-07,7.762,
2009-08,365.434,
2009-09,12.486,
2009-10,38.166,
2009-11,93.001,
2009-12,5448.138,
2010-01,16.082,
2010-02,8.054,
2010-03,40.581,
2010-04,28.125,
2010-05,71.676,
2010-06,38.904,
2010-07,7.764,
2010-08,105.304,
2010-09,20.254,
2010-10,31.281,
2010-11,47.599,
2010-12,5274.263,
2011-01,38.610,
2011-02,25.433,
2011-03,85.963,
2011-04,6.132,
2011-05,109.168,
2011-06,6.598,
2011-07,34.721,
2011-08,50.688,
2011-09,52.142,
2011-10,118.501,
2011-11,74.069,
2011-12,5096.610,
2012-01,24.107,
2012-02,10.346,
2012-03,44.990,
2012-04,47.591,
2012-05,64.321,
2012-06,17.183,
2012-07,37.849,
2012-08,47.699,
2012-09,22.774,
2012-10,28.460,
2012-11,20.064,
2012-12,5134.749,
2013-01,40.275,
2013-02,53.586,
2013-03,25.642,
2013-04,79.307,
2013-05,55.891,
2013-06,29.951,
2013-07,58.596,
2013-08,14.681,
2013-09,26.202,
2013-10,25.968,
2013-11,16.698,
2013-12,5123.545,
2014-01,14.193,
2014-02,14.433,Provisional value
2014-03,33.866,Provisional value
2014-04,127.394,Provisional value
2014-05,7.535,Provisional value
2014-06,10.193,Provisional value
2014-07,100.043,Provisional value
2014-08,12.246,Provisional value
2014-09,8.126,
2014-10,20.296,
2014-11,26.475,
2014-12,4927.638,Provisional value
