"",BBFB1.M.N.DE.W1.S1.S1.T.D.D42.P.F51._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.D42.P.F51._Z._T._X.N_FLAGS
2003-07,179.414,
2003-08,51.611,
2003-09,133.573,
2003-10,15.970,
2003-11,25.302,
2003-12,30.780,
2004-01,736.207,
2004-02,26.164,
2004-03,75.854,
2004-04,2466.751,
2004-05,1683.622,
2004-06,968.331,
2004-07,169.843,
2004-08,27.564,
2004-09,45.666,
2004-10,19.982,
2004-11,27.257,
2004-12,34.503,
2005-01,674.276,
2005-02,110.772,
2005-03,93.783,
2005-04,3243.478,
2005-05,2418.343,
2005-06,474.874,
2005-07,221.806,
2005-08,81.225,
2005-09,31.397,
2005-10,4.217,
2005-11,22.822,
2005-12,84.817,
2006-01,843.319,
2006-02,86.212,
2006-03,654.987,
2006-04,1646.250,
2006-05,7135.432,
2006-06,965.447,
2006-07,226.003,
2006-08,154.063,
2006-09,25.632,
2006-10,17.342,
2006-11,51.476,
2006-12,96.728,
2007-01,1161.273,
2007-02,41.181,
2007-03,146.535,
2007-04,4609.303,
2007-05,10337.908,
2007-06,963.700,
2007-07,553.403,
2007-08,320.796,
2007-09,20.713,
2007-10,39.629,
2007-11,46.302,
2007-12,49.764,
2008-01,1559.961,
2008-02,109.114,
2008-03,278.012,
2008-04,6235.660,
2008-05,9068.872,
2008-06,1289.310,
2008-07,623.745,
2008-08,63.266,
2008-09,41.732,
2008-10,20.674,
2008-11,28.719,
2008-12,34.618,
2009-01,1337.353,
2009-02,286.985,
2009-03,104.408,
2009-04,5411.218,
2009-05,7926.146,
2009-06,424.538,
2009-07,196.637,
2009-08,32.192,
2009-09,10.220,
2009-10,53.599,
2009-11,44.479,
2009-12,26.206,
2010-01,1045.457,
2010-02,67.948,
2010-03,165.189,
2010-04,3992.505,
2010-05,7348.737,
2010-06,938.459,
2010-07,174.493,
2010-08,54.057,
2010-09,88.495,
2010-10,25.873,
2010-11,50.906,
2010-12,68.280,
2011-01,1487.359,
2011-02,165.581,
2011-03,128.343,
2011-04,3507.913,
2011-05,11894.050,
2011-06,842.407,
2011-07,325.451,
2011-08,58.434,
2011-09,102.476,
2011-10,48.067,
2011-11,60.778,
2011-12,457.994,
2012-01,1747.411,
2012-02,65.492,
2012-03,238.115,
2012-04,5170.478,
2012-05,7671.734,
2012-06,825.721,
2012-07,190.669,
2012-08,46.417,
2012-09,186.325,
2012-10,155.146,
2012-11,109.126,
2012-12,32.757,
2013-01,1482.247,
2013-02,335.315,
2013-03,481.936,
2013-04,5511.432,
2013-05,4762.497,
2013-06,1572.896,
2013-07,664.450,
2013-08,355.694,
2013-09,1229.833,
2013-10,294.176,
2013-11,7.640,
2013-12,23.096,
2014-01,1580.355,
2014-02,271.285,Provisional value
2014-03,79.718,Provisional value
2014-04,3553.262,Provisional value
2014-05,9605.760,Provisional value
2014-06,1887.475,Provisional value
2014-07,294.595,Provisional value
2014-08,269.920,Provisional value
2014-09,57.910,
2014-10,60.650,
2014-11,62.469,
2014-12,8.339,Provisional value
