"",BBDA1.M.DE.N.EX.S.A.JP.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.JP.A.V.ABA.A_FLAGS
2011-03,1265400,
2011-04,1072316,
2011-05,1130431,
2011-06,1129643,
2011-07,1288261,
2011-08,1250873,
2011-09,1497579,
2011-10,1446246,
2011-11,1363585,
2011-12,1291130,
2012-01,1406335,
2012-02,1416293,
2012-03,1494792,
2012-04,1258934,
2012-05,1332257,
2012-06,1469326,
2012-07,1632049,
2012-08,1431844,
2012-09,1499871,
2012-10,1565197,
2012-11,1430719,
2012-12,1200224,
2013-01,1422335,
2013-02,1276920,
2013-03,1331986,
2013-04,1391806,
2013-05,1210057,
2013-06,1323259,
2013-07,1529584,
2013-08,1470070,
2013-09,1586062,
2013-10,1585456,
2013-11,1511193,
2013-12,1437170,
2014-01,1604448,
2014-02,1361307,
2014-03,1360996,
2014-04,1295755,
2014-05,1251692,
2014-06,1325054,
2014-07,1621817,
2014-08,1247803,
2014-09,1604000,
2014-10,1583869,
2014-11,1349811,
2014-12,1312349,
