"",BBFB1.M.N.DE.W1.S1.S1.T.B.D4P.D.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.D4P.D.F._Z._T._X.N_FLAGS
2009-05,2762.781,
2009-06,3048.959,
2009-07,3247.720,
2009-08,2734.276,
2009-09,2852.656,
2009-10,2995.967,
2009-11,2568.496,
2009-12,2894.586,
2010-01,2786.052,
2010-02,2388.011,
2010-03,2504.808,
2010-04,2479.824,
2010-05,2211.854,
2010-06,2649.564,
2010-07,2457.179,
2010-08,2086.338,
2010-09,2366.809,
2010-10,2413.490,
2010-11,2258.339,
2010-12,3813.047,
2011-01,3002.903,
2011-02,3153.345,
2011-03,3273.638,
2011-04,3404.318,
2011-05,3335.694,
2011-06,3570.481,
2011-07,3696.553,
2011-08,3493.001,
2011-09,3654.622,
2011-10,3729.722,
2011-11,3386.346,
2011-12,3631.678,
2012-01,3410.791,
2012-02,3153.796,
2012-03,3316.551,
2012-04,3184.093,
2012-05,2981.983,
2012-06,3126.993,
2012-07,3094.859,
2012-08,2975.593,
2012-09,3102.254,
2012-10,3199.728,
2012-11,3124.003,
2012-12,3462.446,
2013-01,3271.542,
2013-02,3012.855,
2013-03,3263.529,
2013-04,3259.269,
2013-05,3045.530,
2013-06,3269.552,
2013-07,3400.076,
2013-08,3045.346,
2013-09,3314.349,
2013-10,3306.192,
2013-11,3183.078,
2013-12,3637.843,
2014-01,3353.792,
2014-02,3058.741,
2014-03,3099.372,
2014-04,3213.240,
2014-05,2791.486,
2014-06,2851.889,
2014-07,3134.711,
2014-08,2927.342,
2014-09,3854.014,
2014-10,3328.332,
2014-11,3078.273,
2014-12,3239.117,Provisional value
