"",BBFN1.M.DE.N.1.A.TH.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.TH.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
2010-09,0.144,
2010-10,0.151,
2010-11,0.145,
2010-12,0.140,
2011-01,0.149,
2011-02,0.155,
2011-03,0.139,
2011-04,0.138,
2011-05,0.146,
2011-06,0.145,
2011-07,0.144,
2011-08,0.149,
2011-09,0.155,
2011-10,0.159,
2011-11,0.155,
2011-12,0.153,
2012-01,0.164,
2012-02,0.159,
2012-03,0.157,
2012-04,0.182,
2012-05,0.189,
2012-06,0.171,
2012-07,0.194,
2012-08,0.169,
2012-09,0.167,
2012-10,0.171,
2012-11,0.180,
2012-12,0.191,
2013-01,0.194,
2013-02,0.192,
2013-03,0.187,
2013-04,0.198,
2013-05,0.173,
2013-06,0.168,
2013-07,0.119,
2013-08,0.130,
2013-09,0.153,
2013-10,0.137,
2013-11,0.140,
2013-12,0.126,
2014-01,0.118,
2014-02,0.132,
2014-03,0.142,
2014-04,0.172,
2014-05,0.148,
2014-06,0.171,
2014-07,0.163,
2014-08,0.158,
2014-09,0.155,
2014-10,0.157,
2014-11,0.159,
2014-12,0.163,
