"",BBDP1.M.DE.N.VPI.C.NRGY00.I10.A,BBDP1.M.DE.N.VPI.C.NRGY00.I10.A_FLAGS
2008-09,105.2,
2008-10,102.8,
2008-11,98.7,
2008-12,94.5,
2009-01,96.6,
2009-02,96.6,
2009-03,95.4,
2009-04,95.6,
2009-05,96.1,
2009-06,98.0,
2009-07,95.4,
2009-08,97.3,
2009-09,95.8,
2009-10,95.6,
2009-11,96.2,
2009-12,95.4,
2010-01,97.5,
2010-02,96.7,
2010-03,99.3,
2010-04,100.6,
2010-05,100.8,
2010-06,100.7,
2010-07,99.8,
2010-08,99.7,
2010-09,100.1,
2010-10,100.4,
2010-11,101.0,
2010-12,103.3,
2011-01,106.0,
2011-02,106.6,
2011-03,109.8,
2011-04,111.2,
2011-05,110.3,
2011-06,109.9,
2011-07,110.6,
2011-08,109.7,
2011-09,111.4,
2011-10,111.8,
2011-11,112.4,
2011-12,111.5,
2012-01,113.7,
2012-02,115.4,
2012-03,117.2,
2012-04,117.7,
2012-05,115.9,
2012-06,114.2,
2012-07,115.4,
2012-08,118.0,
2012-09,119.3,
2012-10,118.1,
2012-11,116.7,
2012-12,115.5,
2013-01,118.1,
2013-02,119.5,
2013-03,117.8,
2013-04,118.2,
2013-05,117.7,
2013-06,117.6,
2013-07,118.8,
2013-08,118.6,
2013-09,119.1,
2013-10,117.5,
2013-11,116.4,
2013-12,116.8,
2014-01,116.0,
2014-02,116.3,
2014-03,115.9,
2014-04,116.7,
2014-05,116.7,
2014-06,117.3,
2014-07,117.0,
2014-08,116.4,
2014-09,116.5,
2014-10,114.8,
2014-11,113.5,
2014-12,109.1,
2015-01,105.6,
2015-02,107.8,Estimated value
