"",BBFN1.M.DE.N.1.A.W1.S1P.F0.S.BN00.EUR.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.F0.S.BN00.EUR.BGA.X001.D_FLAGS
2013-04,291.715,
2013-05,288.830,
2013-06,303.035,
2013-07,284.526,
2013-08,276.905,
2013-09,284.238,
2013-10,286.613,
2013-11,285.478,
2013-12,276.543,
2014-01,284.333,
2014-02,287.976,
2014-03,308.061,
2014-04,299.673,
2014-05,317.277,
2014-06,307.789,
2014-07,301.146,
2014-08,311.146,
2014-09,310.500,
2014-10,301.670,
2014-11,300.601,
2014-12,275.252,
"","General: From January 1999, including national currencies of the euro-area member states.",
