"",BBFB1.M.N.DE.W1.S1.S1.T.C.SB._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.SB._Z._Z._Z._T._X.N_FLAGS
2013-04,343.839,
2013-05,377.555,
2013-06,316.694,
2013-07,298.350,
2013-08,283.856,
2013-09,317.183,
2013-10,290.735,
2013-11,341.490,
2013-12,391.009,
2014-01,316.141,
2014-02,315.139,Provisional value
2014-03,429.514,Provisional value
2014-04,455.225,Provisional value
2014-05,400.781,Provisional value
2014-06,392.042,Provisional value
2014-07,433.016,Provisional value
2014-08,399.739,Provisional value
2014-09,463.856,
2014-10,469.139,
2014-11,420.020,
2014-12,576.154,Provisional value
