"",BBDA1.M.DE.N.EX.S.A.FR.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.FR.A.V.ABA.A_FLAGS
2001-01,6099855,
2001-02,6076085,
2001-03,6032423,
2001-04,6272760,
2001-05,5460042,
2001-06,5903476,
2001-07,5967644,
2001-08,5251376,
2001-09,5391646,
2001-10,6121531,
2001-11,6070546,
2001-12,4953163,
2002-01,5580528,
2002-02,5732787,
2002-03,5979174,
2002-04,6266673,
2002-05,5154329,
2002-06,6025666,
2002-07,5727507,
2002-08,5101530,
2002-09,5600634,
2002-10,6000839,
2002-11,6140578,
2002-12,5410587,
2003-01,5582978,
2003-02,5643665,
2003-03,6218694,
2003-04,5827618,
2003-05,5495176,
2003-06,5835295,
2003-07,5776302,
2003-08,4578111,
2003-09,5875981,
2003-10,6399451,
2003-11,6239145,
2003-12,5552355,
2004-01,5628319,
2004-02,5801887,
2004-03,6716933,
2004-04,6305801,
2004-05,6044464,
2004-06,6453955,
2004-07,6183303,
2004-08,5435207,
2004-09,6334683,
2004-10,6640592,
2004-11,6936955,
2004-12,5877452,
2005-01,6335761,
2005-02,6154246,
2005-03,7022856,
2005-04,6857127,
2005-05,6582762,
2005-06,7005177,
2005-07,6148280,
2005-08,5646276,
2005-09,6863463,
2005-10,6923080,
2005-11,7211501,
2005-12,6288366,
2006-01,7029591,
2006-02,6832700,
2006-03,7682651,
2006-04,6833087,
2006-05,7040330,
2006-06,7285603,
2006-07,6739334,
2006-08,5920655,
2006-09,7177333,
2006-10,7734064,
2006-11,7922613,
2006-12,6807832,
2007-01,7557259,
2007-02,7616559,
2007-03,8222665,
2007-04,7500107,
2007-05,7565290,
2007-06,7759417,
2007-07,7730042,
2007-08,6295062,
2007-09,7735836,
2007-10,8434181,
2007-11,8293241,
2007-12,6955048,
2008-01,8016559,
2008-02,8295643,
2008-03,7920745,
2008-04,8699663,
2008-05,7352412,
2008-06,8410926,
2008-07,7826479,
2008-08,6346015,
2008-09,8216789,
2008-10,8603135,
2008-11,7302373,
2008-12,6727206,
2009-01,6817856,
2009-02,6650937,
2009-03,7098551,
2009-04,6675360,
2009-05,6448629,
2009-06,7073543,
2009-07,6429967,
2009-08,5740006,
2009-09,7025395,
2009-10,7641831,
2009-11,7045280,
2009-12,6656718,
2010-01,6700294,
2010-02,7098688,
2010-03,8009905,
2010-04,7307340,
2010-05,7194267,
2010-06,8374377,
2010-07,7531145,
2010-08,6055391,
2010-09,7675733,
2010-10,8117773,
2010-11,8111801,
2010-12,7405111,
2011-01,8217944,
2011-02,8128548,
2011-03,9441186,
2011-04,8112213,
2011-05,8811659,
2011-06,8830069,
2011-07,7615614,
2011-08,7233457,
2011-09,9503964,
2011-10,8140974,
2011-11,9521820,
2011-12,7886823,
2012-01,8673660,
2012-02,9035911,
2012-03,9441164,
2012-04,7748061,
2012-05,8885437,
2012-06,9150096,
2012-07,9002037,
2012-08,7060604,
2012-09,8758628,
2012-10,9477169,
2012-11,8760673,
2012-12,6917291,
2013-01,8483144,
2013-02,8672555,
2013-03,8615592,
2013-04,8322935,
2013-05,7434174,
2013-06,8921394,
2013-07,8426190,
2013-08,6746865,
2013-09,8996962,
2013-10,9403613,
2013-11,8585872,
2013-12,7370571,
2014-01,8642678,
2014-02,8877691,
2014-03,8455106,
2014-04,8617087,
2014-05,8172289,
2014-06,8794947,
2014-07,9143116,
2014-08,6604726,
2014-09,8942444,
2014-10,9241511,
2014-11,8616410,
2014-12,7958687,
