"",BBEX3.M.PYG.USD.CA.AA.A01,BBEX3.M.PYG.USD.CA.AA.A01_FLAGS
2000-05,3478.00,
2000-06,3487.00,
2000-07,3502.00,
2000-08,3494.00,
2000-09,3480.00,
2000-10,3465.00,
2000-11,3523.00,
2000-12,3531.00,
2001-01,3586.00,
2001-02,3736.00,
2001-03,3786.00,
2001-04,3791.00,
2001-05,3857.00,
2001-06,3993.00,
2001-07,4278.00,
2001-08,4331.00,
2001-09,4436.00,
2001-10,4576.00,
2001-11,4703.00,
2001-12,4660.00,
2002-01,4824.00,
2002-02,4893.00,
2002-03,4803.00,
2002-04,4816.00,
2002-05,5203.00,
2002-06,5900.00,
2002-07,5900.00,
2002-08,6150.00,
2002-09,5970.00,
2002-10,6500.00,
2002-11,6950.00,
2002-12,7100.00,
2003-01,6950.00,
2003-02,6850.00,
2003-03,6870.00,
2003-04,6835.00,
2003-05,6200.00,
2003-06,6200.00,
2003-07,6050.00,
2003-08,6270.00,
2003-09,6280.00,
2003-10,6210.00,
2003-11,6090.00,
2003-12,6070.00,
2004-01,6200.00,
2004-02,6030.00,
2004-03,5860.00,
2004-04,5725.00,
2004-05,5970.00,
2004-06,5890.00,
2004-07,5910.00,
2004-08,5910.00,
2004-09,5945.00,
2004-10,6065.00,
2004-11,6125.00,
2004-12,6240.00,
2005-01,6330.00,
2005-02,6245.00,
2005-03,6285.00,
2005-04,6255.00,
2005-05,6225.00,
2005-06,6060.00,
2005-07,5970.00,
2005-08,6080.00,
2005-09,6100.00,
2005-10,6130.00,
2005-11,6140.00,
2005-12,6100.00,
2006-01,6130.00,
2006-02,5980.00,
2006-03,5930.00,
2006-04,5740.00,
2006-05,5750.00,
2006-06,5550.00,
2006-07,5470.00,
2006-08,5400.00,
2006-09,5370.00,
2006-10,5380.00,
2006-11,5400.00,
2006-12,5170.00,
2007-01,5250.00,
2007-02,5180.00,
2007-03,5050.00,
2007-04,5090.00,
2007-05,5040.00,
2007-06,5140.00,
2007-07,5100.00,
2007-08,5090.00,
2007-09,5030.00,
2007-10,4820.00,
2007-11,4720.00,
2007-12,4850.00,
2008-01,4690.00,
2008-02,4600.00,
2008-03,4380.00,
2008-04,4100.00,
2008-05,4070.00,
2008-06,3950.00,
2008-07,3990.00,
2008-08,3980.00,
2008-09,3990.00,
2008-10,4600.00,
2008-11,4860.00,
2008-12,4930.00,
2009-01,5050.00,
2009-02,5130.00,
2009-03,5100.00,
2009-04,5060.00,
2009-05,5040.00,
2009-06,5020.00,
2009-07,4980.00,
2009-08,4950.00,
2009-09,4880.00,
2009-10,4860.00,
2009-11,4780.00,
2009-12,4600.00,
2010-01,4740.00,
2010-02,4707.84,
2010-03,4691.39,
2010-04,4720.83,
2010-05,4741.40,
2010-06,4756.11,
2010-07,4748.14,
2010-08,4773.50,
2010-09,4826.39,
2010-10,4936.50,
2010-11,4639.01,
2010-12,4538.91,
2011-01,4633.84,
2011-02,4549.66,
2011-03,4047.36,
2011-04,3955.09,
2011-05,4035.96,
2011-06,3985.50,
2011-07,3786.86,
2011-08,3892.88,
2011-09,4151.45,
2011-10,4202.74,
2011-11,4455.12,
2011-12,4478.04,
2012-01,4724.81,
2012-02,4249.68,
2012-03,4330.03,
2012-04,4318.60,
2012-05,4506.44,
2012-06,4524.17,
2012-07,4403.62,
2012-08,4416.34,
2012-09,4449.22,
2012-10,4464.51,
2012-11,4422.52,
2012-12,4223.51,
2013-01,4118.08,
2013-02,3988.12,
2013-03,4006.88,
2013-04,4111.62,
2013-05,4290.60,
2013-06,4487.85,
2013-07,4421.44,
2013-08,4465.76,
2013-09,4441.15,
2013-10,4431.45,
2013-11,4420.63,
2013-12,4585.44,
2014-01,4684.72,
2014-02,4432.96,
2014-03,4438.58,
2014-04,4430.56,
2014-05,4422.20,
2014-06,4384.31,
2014-07,4293.10,
2014-08,4263.53,
2014-09,4492.15,
2014-10,4616.47,
2014-11,4627.67,
2014-12,4629.30,
2015-01,4814.90,
"","Source: Since 2003 Banco Central del Paraguay, Asunción 1990 - end of 2002 Dresdner Bank Lateinamerika AG, Hamburg (formerly: Deutsch-Südamerikanische Bank AG)",
