"",BBFN1.M.DE.N.1.L.IT.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.IT.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1988-08,0.033,
1988-09,0.028,
1988-10,0.031,
1988-11,0.062,
1988-12,0.109,
1989-01,0.444,
1989-02,0.393,
1989-03,0.379,
1989-04,0.385,
1989-05,0.385,
1989-06,0.390,
1989-07,0.266,
1989-08,0.275,
1989-09,0.279,
1989-10,0.291,
1989-11,0.296,
1989-12,0.340,
1990-01,0.235,
1990-02,0.198,
1990-03,0.192,
1990-04,0.217,
1990-05,0.221,
1990-06,0.257,
1990-07,0.239,
1990-08,0.253,
1990-09,0.262,
1990-10,0.258,
1990-11,0.252,
1990-12,0.264,
1991-01,0.203,
1991-02,0.162,
1991-03,0.124,
1991-04,0.147,
1991-05,0.132,
1991-06,0.211,
1991-07,0.185,
1991-08,0.182,
1991-09,0.213,
1991-10,0.275,
1991-11,0.197,
1991-12,0.248,
1992-01,0.239,
1992-02,0.261,
1992-03,0.197,
1992-04,0.394,
1992-05,0.476,
1992-06,0.506,
1992-07,0.457,
1992-08,0.388,
1992-09,0.378,
1992-10,0.329,
1992-11,0.499,
1992-12,0.432,
1993-01,0.284,
1993-02,0.327,
1993-03,0.338,
1993-04,0.379,
1993-05,0.382,
1993-06,0.341,
1993-07,0.436,
1993-08,0.487,
1993-09,0.471,
1993-10,0.491,
1993-11,0.414,
1993-12,0.397,
1994-01,0.381,
1994-02,0.324,
1994-03,0.377,
1994-04,0.399,
1994-05,0.406,
1994-06,0.329,
1994-07,0.433,
1994-08,0.570,
1994-09,0.457,
1994-10,0.587,
1994-11,0.517,
1994-12,0.505,
1995-01,0.488,
1995-02,0.520,
1995-03,0.573,
1995-04,0.529,
1995-05,0.404,
1995-06,0.546,
1995-07,0.586,
1995-08,0.560,
1995-09,0.577,
1995-10,0.617,
1995-11,0.658,
1995-12,0.704,
1996-01,0.643,
1996-02,0.705,
1996-03,0.872,
1996-04,0.818,
1996-05,0.798,
1996-06,0.850,
1996-07,0.924,
1996-08,0.863,
1996-09,0.854,
1996-10,0.760,
1996-11,0.824,
1996-12,1.057,
1997-01,0.806,
1997-02,0.749,
1997-03,0.769,
1997-04,0.816,
1997-05,0.878,
1997-06,0.965,
1997-07,0.823,
1997-08,0.890,
1997-09,0.913,
1997-10,0.882,
1997-11,0.979,
1997-12,1.003,
1998-01,1.083,
1998-02,1.216,
1998-03,1.117,
1998-04,1.148,
1998-05,1.333,
1998-06,1.291,
1998-07,1.288,
1998-08,1.116,
1998-09,1.326,
1998-10,1.375,
1998-11,1.388,
1998-12,1.474,
1999-01,1.495,
1999-02,1.555,
1999-03,1.730,
1999-04,1.716,
1999-05,1.602,
1999-06,2.157,
1999-07,1.201,
1999-08,1.217,
1999-09,1.530,
1999-10,1.911,
1999-11,1.816,
1999-12,1.536,
2000-01,1.804,
2000-02,1.895,
2000-03,1.741,
2000-04,2.066,
2000-05,2.140,
2000-06,1.889,
2000-07,1.811,
2000-08,1.905,
2000-09,2.345,
2000-10,2.685,
2000-11,2.422,
2000-12,2.284,
2001-01,2.160,
2001-02,2.214,
2001-03,2.444,
2001-04,2.847,
2001-05,2.181,
2001-06,1.724,
2001-07,1.584,
2001-08,1.780,
2001-09,2.209,
2001-10,1.786,
2001-11,1.733,
2001-12,2.336,
2002-01,2.377,
2002-02,2.342,
2002-03,2.161,
2002-04,2.328,
2002-05,2.158,
2002-06,2.440,
2002-07,2.556,
2002-08,2.680,
2002-09,3.095,
2002-10,2.925,
2002-11,2.936,
2002-12,2.382,
2003-01,2.793,
2003-02,2.750,
2003-03,3.119,
2003-04,3.084,
2003-05,2.877,
2003-06,2.878,
2003-07,2.853,
2003-08,3.537,
2003-09,4.654,
2003-10,4.794,
2003-11,5.143,
2003-12,4.905,
2004-01,4.650,
2004-02,5.021,
2004-03,4.882,
2004-04,4.597,
2004-05,4.788,
2004-06,4.631,
2004-07,4.647,
2004-08,2.677,
2004-09,2.760,
2004-10,2.682,
2004-11,2.842,
2004-12,2.816,
2005-01,2.546,
2005-02,2.589,
2005-03,2.707,
2005-04,2.496,
2005-05,2.841,
2005-06,2.722,
2005-07,2.742,
2005-08,2.895,
2005-09,3.019,
2005-10,3.068,
2005-11,3.088,
2005-12,9.707,
2006-01,9.474,
2006-02,9.457,
2006-03,9.771,
2006-04,9.777,
2006-05,9.861,
2006-06,9.941,
2006-07,9.869,
2006-08,9.980,
2006-09,10.222,
2006-10,10.355,
2006-11,10.531,
2006-12,10.245,
2007-01,9.758,
2007-02,9.474,
2007-03,9.700,
2007-04,10.108,
2007-05,12.023,
2007-06,12.237,
2007-07,12.227,
2007-08,3.956,
2007-09,3.646,
2007-10,3.891,
2007-11,3.939,
2007-12,3.580,
2008-01,4.010,
2008-02,4.050,
2008-03,4.310,
2008-04,3.957,
2008-05,4.110,
2008-06,3.055,
2008-07,2.958,
2008-08,3.213,
2008-09,3.702,
2008-10,3.156,
2008-11,3.270,
2008-12,3.728,
2009-01,3.611,
2009-02,3.663,
2009-03,3.985,
2009-04,3.754,
2009-05,4.282,
2009-06,4.110,
2009-07,3.387,
2009-08,3.445,
2009-09,3.549,
2009-10,3.595,
2009-11,3.485,
2009-12,3.429,
2010-01,3.128,
2010-02,3.281,
2010-03,3.684,
2010-04,3.453,
2010-05,3.613,
2010-06,3.618,
2010-07,3.696,
2010-08,3.771,
2010-09,4.170,
2010-10,4.023,
2010-11,4.303,
2010-12,4.705,
2011-01,4.429,
2011-02,4.796,
2011-03,4.964,
2011-04,4.794,
2011-05,4.687,
2011-06,4.931,
2011-07,4.516,
2011-08,4.622,
2011-09,5.500,
2011-10,5.086,
2011-11,5.730,
2011-12,5.401,
2012-01,5.363,
2012-02,5.502,
2012-03,5.123,
2012-04,5.171,
2012-05,5.981,
2012-06,5.922,
2012-07,5.734,
2012-08,5.920,
2012-09,5.242,
2012-10,5.363,
2012-11,6.711,
2012-12,6.733,
2013-01,6.809,
2013-02,7.017,
2013-03,6.886,
2013-04,7.142,
2013-05,7.630,
2013-06,7.630,
2013-07,8.423,
2013-08,6.512,
2013-09,5.773,
2013-10,5.699,
2013-11,5.707,
2013-12,5.539,
2014-01,5.413,
2014-02,6.751,
2014-03,6.936,
2014-04,6.787,
2014-05,6.519,
2014-06,6.553,
2014-07,6.843,
2014-08,6.884,
2014-09,5.976,
2014-10,5.914,
2014-11,6.158,
2014-12,5.937,
