"",BBFB1.M.N.DE.W1.S1.S1.T.N.FA.D.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.N.FA.D.F._Z._T._X.N_FLAGS
2005-02,4608.202,
2005-03,1911.521,
2005-04,4928.000,
2005-05,2416.835,
2005-06,8829.344,
2005-07,5247.656,
2005-08,3869.665,
2005-09,-72.816,
2005-10,1764.711,
2005-11,-14689.333,
2005-12,-4871.907,
2006-01,9575.269,
2006-02,6761.068,
2006-03,1966.391,
2006-04,13025.018,
2006-05,-9350.778,
2006-06,3976.013,
2006-07,7350.460,
2006-08,-1797.675,
2006-09,18458.878,
2006-10,8650.255,
2006-11,-740.833,
2006-12,-9228.040,
2007-01,976.745,
2007-02,5213.752,
2007-03,4408.287,
2007-04,7989.035,
2007-05,14054.292,
2007-06,-3849.839,
2007-07,10075.505,
2007-08,6395.364,
2007-09,-211.564,
2007-10,12291.290,
2007-11,5017.391,
2007-12,2744.994,
2008-01,13943.952,
2008-02,15891.151,
2008-03,941.878,
2008-04,6103.868,
2008-05,1904.499,
2008-06,7663.406,
2008-07,9090.261,
2008-08,-3865.244,
2008-09,-1540.805,
2008-10,6677.991,
2008-11,7141.507,
2008-12,-20684.725,
2009-01,11028.117,
2009-02,-6548.330,
2009-03,9760.107,
2009-04,6007.211,
2009-05,1723.019,
2009-06,5212.406,
2009-07,4526.371,
2009-08,2231.899,
2009-09,5384.122,
2009-10,6104.435,
2009-11,-631.102,
2009-12,-12595.752,
2010-01,13791.295,
2010-02,7885.036,
2010-03,10598.540,
2010-04,1422.685,
2010-05,3909.262,
2010-06,21075.984,
2010-07,-4132.926,
2010-08,-2040.951,
2010-09,-5499.240,
2010-10,8411.129,
2010-11,2050.563,
2010-12,-12313.777,
2011-01,11951.564,
2011-02,8802.242,
2011-03,5422.931,
2011-04,5239.407,
2011-05,1273.475,
2011-06,-5781.098,
2011-07,-1542.907,
2011-08,1950.046,
2011-09,-3183.559,
2011-10,3871.535,
2011-11,-9311.346,
2011-12,-4152.483,
2012-01,12716.497,
2012-02,10109.079,
2012-03,2905.601,
2012-04,8552.977,
2012-05,4665.574,
2012-06,-3758.421,
2012-07,3102.633,
2012-08,8982.914,
2012-09,4390.618,
2012-10,2720.909,
2012-11,3810.692,
2012-12,-7351.418,
2013-01,4239.951,
2013-02,5629.897,
2013-03,4396.433,
2013-04,4569.986,
2013-05,972.355,
2013-06,9436.096,
2013-07,-7122.982,
2013-08,8686.802,
2013-09,2079.202,
2013-10,-11416.509,
2013-11,5516.624,
2013-12,-4056.689,
2014-01,12366.563,
2014-02,4707.392,
2014-03,8271.417,
2014-04,13953.793,
2014-05,2708.020,
2014-06,-868.931,
2014-07,7547.604,
2014-08,-480.225,
2014-09,18582.809,
2014-10,-1003.567,
2014-11,5180.235,
2014-12,23749.673,Provisional value
