"",BBEX3.M.JPY.USD.CA.AC.A01,BBEX3.M.JPY.USD.CA.AC.A01_FLAGS
2008-03,100.19,
2008-04,104.14,
2008-05,105.75,
2008-06,106.42,
2008-07,108.12,
2008-08,109.36,
2008-09,103.57,
2008-10,98.40,
2008-11,95.54,
2008-12,91.03,
2009-01,89.55,
2009-02,97.81,
2009-03,98.23,
2009-04,97.78,
2009-05,96.48,
2009-06,96.01,
2009-07,95.47,
2009-08,92.74,
2009-09,90.21,
2009-10,91.44,
2009-11,86.81,
2009-12,92.10,
2010-01,89.77,
2010-02,89.43,
2010-03,93.04,
2010-04,94.07,
2010-05,91.31,
2010-06,88.48,
2010-07,86.70,
2010-08,84.56,
2010-09,83.82,
2010-10,80.89,
2010-11,84.27,
2010-12,81.49,
2011-01,82.13,
2011-02,81.71,
2011-03,83.15,
2011-04,82.08,
2011-05,80.88,
2011-06,80.73,
2011-07,77.85,
2011-08,76.74,
2011-09,76.65,
2011-10,77.75,
2011-11,78.13,
2011-12,77.74,
2012-01,76.38,
2012-02,80.68,
2012-03,82.19,
2012-04,81.19,
2012-05,78.92,
2012-06,79.31,
2012-07,78.17,
2012-08,78.60,
2012-09,77.60,
2012-10,79.66,
2012-11,82.12,
2012-12,86.58,
2013-01,91.14,
2013-02,92.51,
2013-03,94.32,
2013-04,97.92,
2013-05,101.18,
2013-06,98.59,
2013-07,98.08,
2013-08,98.36,
2013-09,97.75,
2013-10,98.51,
2013-11,102.42,
2013-12,105.39,
2014-01,102.86,
2014-02,101.94,
2014-03,102.92,
2014-04,102.61,
2014-05,101.66,
2014-06,101.36,
2014-07,102.85,
2014-08,103.74,
2014-09,109.45,
2014-10,109.34,
2014-11,118.23,
2014-12,120.55,
2015-01,118.25,
"",Source: Calculated on the basis of the buying and selling rates of the following banks: Since 2006: Bank of Tokyo-Mitsubishi UFJ April 1996 - 2005: Bank of Tokyo-Mitsubishi 1989 - March 1996: Bank of Tokyo,
