"",BBFN1.M.DE.N.1.L.KY.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.KY.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1997-06,0.113,
1997-07,0.098,
1997-08,0.095,
1997-09,0.093,
1997-10,0.076,
1997-11,0.076,
1997-12,0.073,
1998-01,0.085,
1998-02,0.098,
1998-03,0.109,
1998-04,0.107,
1998-05,0.114,
1998-06,0.110,
1998-07,0.098,
1998-08,0.161,
1998-09,0.138,
1998-10,0.093,
1998-11,0.099,
1998-12,0.101,
1999-01,0.100,
1999-02,0.097,
1999-03,0.105,
1999-04,0.155,
1999-05,0.224,
1999-06,0.147,
1999-07,0.115,
1999-08,0.120,
1999-09,0.097,
1999-10,7.065,
1999-11,3.760,
1999-12,0.314,
2000-01,0.315,
2000-02,0.280,
2000-03,0.353,
2000-04,0.320,
2000-05,0.412,
2000-06,0.536,
2000-07,0.944,
2000-08,1.208,
2000-09,1.209,
2000-10,1.266,
2000-11,1.041,
2000-12,0.635,
2001-01,0.408,
2001-02,0.786,
2001-03,0.842,
2001-04,0.730,
2001-05,1.328,
2001-06,3.452,
2001-07,3.359,
2001-08,3.151,
2001-09,3.488,
2001-10,3.874,
2001-11,0.212,
2001-12,0.166,
2002-01,0.128,
2002-02,0.131,
2002-03,0.124,
2002-04,0.133,
2002-05,0.141,
2002-06,0.134,
2002-07,0.133,
2002-08,0.133,
2002-09,0.126,
2002-10,0.127,
2002-11,0.128,
2002-12,0.131,
2003-01,0.112,
2003-02,0.113,
2003-03,0.116,
2003-04,0.128,
2003-05,0.128,
2003-06,0.138,
2003-07,0.772,
2003-08,0.747,
2003-09,0.772,
2003-10,0.646,
2003-11,0.711,
2003-12,0.682,
2004-01,0.627,
2004-02,0.624,
2004-03,0.700,
2004-04,0.681,
2004-05,0.717,
2004-06,0.701,
2004-07,0.624,
2004-08,0.611,
2004-09,0.608,
2004-10,0.540,
2004-11,0.640,
2004-12,0.588,
2005-01,0.531,
2005-02,0.549,
2005-03,0.551,
2005-04,0.533,
2005-05,0.564,
2005-06,0.462,
2005-07,0.402,
2005-08,0.452,
2005-09,0.473,
2005-10,0.405,
2005-11,0.522,
2005-12,0.430,
2006-01,0.338,
2006-02,0.332,
2006-03,0.348,
2006-04,0.318,
2006-05,0.341,
2006-06,0.514,
2006-07,0.418,
2006-08,0.488,
2006-09,0.562,
2006-10,0.531,
2006-11,0.740,
2006-12,1.528,
2007-01,1.488,
2007-02,1.552,
2007-03,1.768,
2007-04,1.456,
2007-05,1.463,
2007-06,1.447,
2007-07,1.364,
2007-08,1.585,
2007-09,1.510,
2007-10,1.536,
2007-11,1.876,
2007-12,1.448,
2008-01,1.320,
2008-02,1.439,
2008-03,1.563,
2008-04,1.508,
2008-05,1.532,
2008-06,1.498,
2008-07,1.540,
2008-08,1.600,
2008-09,1.637,
2008-10,1.659,
2008-11,1.677,
2008-12,1.749,
2009-01,1.743,
2009-02,2.166,
2009-03,2.142,
2009-04,2.290,
2009-05,2.296,
2009-06,2.219,
2009-07,2.323,
2009-08,2.419,
2009-09,2.418,
2009-10,2.404,
2009-11,2.421,
2009-12,2.164,
2010-01,2.122,
2010-02,2.099,
2010-03,2.127,
2010-04,2.057,
2010-05,1.965,
2010-06,2.008,
2010-07,2.005,
2010-08,2.066,
2010-09,2.220,
2010-10,2.233,
2010-11,2.377,
2010-12,2.553,
2011-01,2.581,
2011-02,2.726,
2011-03,2.755,
2011-04,3.080,
2011-05,3.163,
2011-06,3.321,
2011-07,3.520,
2011-08,3.660,
2011-09,3.737,
2011-10,3.715,
2011-11,5.018,
2011-12,4.905,
2012-01,3.241,
2012-02,4.493,
2012-03,4.206,
2012-04,4.113,
2012-05,4.112,
2012-06,4.334,
2012-07,4.596,
2012-08,4.638,
2012-09,4.774,
2012-10,4.956,
2012-11,4.995,
2012-12,4.375,
2013-01,4.462,
2013-02,4.483,
2013-03,4.280,
2013-04,4.065,
2013-05,4.052,
2013-06,4.290,
2013-07,4.250,
2013-08,4.416,
2013-09,4.524,
2013-10,4.241,
2013-11,4.616,
2013-12,4.481,
2014-01,4.531,
2014-02,4.342,
2014-03,4.429,
2014-04,4.053,
2014-05,4.127,
2014-06,4.300,
2014-07,3.979,
2014-08,4.291,
2014-09,3.914,
2014-10,3.542,
2014-11,3.556,
2014-12,3.771,
