"",BBDA1.M.DE.N.EX.S.A.CH.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.CH.A.V.ABA.A_FLAGS
2014-03,4059080,
2014-04,3878999,
2014-05,3804131,
2014-06,3820469,
2014-07,3971649,
2014-08,3569771,
2014-09,3950258,
2014-10,4322420,
2014-11,3904713,
2014-12,3376304,
