"",BBFB1.M.Y.DE.W1.S1.S1.T.D.D4P._T.F._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.D.D4P._T.F._Z._T._X.N_FLAGS
2004-06,9.77,
2004-07,9.27,
2004-08,9.39,
2004-09,9.77,
2004-10,9.70,
2004-11,10.05,
2004-12,10.11,
2005-01,10.85,
2005-02,11.01,
2005-03,11.08,
2005-04,11.33,
2005-05,9.45,
2005-06,10.98,
2005-07,11.42,
2005-08,11.59,
2005-09,11.71,
2005-10,11.89,
2005-11,12.08,
2005-12,12.19,
2006-01,11.66,
2006-02,12.03,
2006-03,12.90,
2006-04,10.48,
2006-05,13.03,
2006-06,12.93,
2006-07,12.84,
2006-08,13.34,
2006-09,13.57,
2006-10,13.92,
2006-11,14.14,
2006-12,14.57,
2007-01,16.09,
2007-02,16.30,
2007-03,16.21,
2007-04,15.64,
2007-05,17.08,
2007-06,16.41,
2007-07,16.97,
2007-08,16.61,
2007-09,15.97,
2007-10,16.02,
2007-11,15.95,
2007-12,15.22,
2008-01,15.12,
2008-02,14.48,
2008-03,14.02,
2008-04,14.48,
2008-05,13.48,
2008-06,13.23,
2008-07,12.91,
2008-08,12.14,
2008-09,11.88,
2008-10,11.54,
2008-11,11.37,
2008-12,11.23,
2009-01,10.77,
2009-02,9.82,
2009-03,9.22,
2009-04,10.63,
2009-05,10.16,
2009-06,8.73,
2009-07,8.83,
2009-08,8.95,
2009-09,9.00,
2009-10,9.15,
2009-11,9.23,
2009-12,9.55,
2010-01,9.78,
2010-02,10.91,
2010-03,10.94,
2010-04,10.89,
2010-05,11.07,
2010-06,11.88,
2010-07,11.51,
2010-08,11.73,
2010-09,11.78,
2010-10,11.88,
2010-11,11.85,
2010-12,12.15,
2011-01,11.50,
2011-02,11.36,
2011-03,11.10,
2011-04,10.19,
2011-05,13.70,
2011-06,11.02,
2011-07,11.06,
2011-08,11.04,
2011-09,11.06,
2011-10,10.95,
2011-11,11.08,
2011-12,10.99,
2012-01,11.19,
2012-02,10.68,
2012-03,10.78,
2012-04,11.30,
2012-05,10.61,
2012-06,10.22,
2012-07,10.60,
2012-08,10.41,
2012-09,10.52,
2012-10,10.38,
2012-11,10.34,
2012-12,10.27,
2013-01,10.22,
2013-02,10.32,
2013-03,10.30,
2013-04,11.05,
2013-05,8.36,
2013-06,10.11,
2013-07,10.01,
2013-08,10.01,
2013-09,10.98,
2013-10,9.92,
2013-11,9.68,
2013-12,9.56,
2014-01,9.79,
2014-02,9.79,Provisional value
2014-03,9.65,Provisional value
2014-04,9.37,Provisional value
2014-05,11.29,Provisional value
2014-06,10.45,Provisional value
2014-07,9.90,Provisional value
2014-08,9.72,Provisional value
2014-09,9.39,
2014-10,9.33,
2014-11,9.16,
2014-12,9.32,Provisional value
