"",BBFB1.M.N.DE.W1.S1.S1.T.AI.FA.P.F3.L.Z06._X.N,BBFB1.M.N.DE.W1.S1.S1.T.AI.FA.P.F3.L.Z06._X.N_FLAGS
2004-04,31827.574,
2004-05,25032.822,
2004-06,24719.049,
2004-07,24903.616,
2004-08,31041.740,
2004-09,24813.516,
2004-10,26809.552,
2004-11,25549.605,
2004-12,23881.893,
2005-01,26990.950,
2005-02,32218.760,
2005-03,30396.919,
2005-04,27734.493,
2005-05,25468.176,
2005-06,28915.910,
2005-07,17633.479,
2005-08,23609.097,
2005-09,28875.237,
2005-10,27513.617,
2005-11,23961.880,
2005-12,23357.807,
2006-01,30843.690,
2006-02,26191.448,
2006-03,31967.426,
2006-04,18113.097,
2006-05,22209.131,
2006-06,27251.203,
2006-07,17729.050,
2006-08,20587.414,
2006-09,23139.388,
2006-10,23885.553,
2006-11,26491.086,
2006-12,21673.906,
2007-01,29750.366,
2007-02,28568.670,
2007-03,30908.558,
2007-04,24096.134,
2007-05,28445.276,
2007-06,31195.204,
2007-07,22815.802,
2007-08,27939.375,
2007-09,17423.128,
2007-10,21253.076,
2007-11,21323.218,
2007-12,24568.915,
2008-01,24680.763,
2008-02,21673.300,
2008-03,34989.960,
2008-04,20986.817,
2008-05,17535.921,
2008-06,18873.216,
2008-07,17954.663,
2008-08,17639.726,
2008-09,22230.329,
2008-10,21154.496,
2008-11,16708.946,
2008-12,13908.958,
2009-01,13534.489,
2009-02,17147.724,
2009-03,16331.822,
2009-04,14814.356,
2009-05,16166.372,
2009-06,20264.104,
2009-07,14901.063,
2009-08,18357.645,
2009-09,22553.979,
2009-10,18628.512,
2009-11,16172.749,
2009-12,17296.090,
2010-01,18484.067,
2010-02,21992.193,
2010-03,23604.390,
2010-04,24333.846,
2010-05,33606.479,
2010-06,27094.225,
2010-07,21313.514,
2010-08,26356.729,
2010-09,27980.100,
2010-10,77648.947,
2010-11,22233.836,
2010-12,17359.875,
2011-01,21766.447,
2011-02,25774.962,
2011-03,28103.345,
2011-04,21570.781,
2011-05,21681.707,
2011-06,22041.413,
2011-07,21235.938,
2011-08,20335.152,
2011-09,26338.877,
2011-10,19800.275,
2011-11,19400.961,
2011-12,16129.296,
2012-01,22491.606,
2012-02,28168.438,
2012-03,30915.887,
2012-04,21453.798,
2012-05,37426.809,
2012-06,24802.007,
2012-07,27068.845,
2012-08,26979.707,
2012-09,23995.003,
2012-10,30998.411,
2012-11,25791.241,
2012-12,20405.927,
2013-01,33291.406,
2013-02,24960.506,
2013-03,30716.703,
2013-04,35978.810,
2013-05,32800.231,
2013-06,30639.158,
2013-07,34855.057,
2013-08,23995.423,
2013-09,32961.756,
2013-10,31574.278,
2013-11,30538.433,
2013-12,22932.011,
2014-01,31213.831,
2014-02,27487.130,Provisional value
2014-03,36679.188,Provisional value
2014-04,29412.400,Provisional value
2014-05,34104.250,Provisional value
2014-06,29967.951,Provisional value
2014-07,28572.812,Provisional value
2014-08,24311.291,Provisional value
2014-09,34569.120,
2014-10,34548.927,
2014-11,28872.369,
2014-12,25667.594,Provisional value
