"",BBFN1.M.DE.N.1.A.PH.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.PH.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
2001-12,0.128,
2002-01,0.082,
2002-02,0.084,
2002-03,0.082,
2002-04,0.076,
2002-05,0.075,
2002-06,0.075,
2002-07,0.071,
2002-08,0.076,
2002-09,0.040,
2002-10,0.035,
2002-11,0.037,
2002-12,0.037,
2003-01,0.040,
2003-02,0.037,
2003-03,0.037,
2003-04,0.038,
2003-05,0.036,
2003-06,0.034,
2003-07,0.013,
2003-08,0.012,
2003-09,0.012,
2003-10,0.009,
2003-11,0.019,
2003-12,0.016,
2004-01,0.021,
2004-02,0.022,
2004-03,0.021,
2004-04,0.016,
2004-05,0.028,
2004-06,0.017,
2004-07,0.016,
2004-08,0.016,
2004-09,0.013,
2004-10,0.017,
2004-11,0.022,
2004-12,0.013,
2005-01,0.017,
2005-02,0.018,
2005-03,0.016,
2005-04,0.276,
2005-05,0.275,
2005-06,0.276,
2005-07,0.273,
2005-08,0.276,
2005-09,0.271,
2005-10,0.269,
2005-11,0.538,
2005-12,0.319,
2006-01,0.320,
2006-02,0.319,
2006-03,0.319,
2006-04,0.318,
2006-05,0.320,
2006-06,0.320,
2006-07,0.320,
2006-08,0.581,
2006-09,0.580,
2006-10,0.563,
2006-11,0.565,
2006-12,0.565,
2007-01,0.513,
2007-02,0.513,
2007-03,0.514,
2007-04,0.591,
2007-05,0.960,
2007-06,0.964,
2007-07,0.959,
2007-08,0.960,
2007-09,0.949,
2007-10,0.949,
2007-11,0.943,
2007-12,0.663,
2008-01,0.662,
2008-02,0.661,
2008-03,0.469,
2008-04,0.221,
2008-05,0.218,
2008-06,0.211,
2008-07,0.214,
2008-08,0.210,
2008-09,0.220,
2008-10,0.422,
2008-11,0.423,
2008-12,0.433,
2009-01,0.234,
2009-02,0.232,
2009-03,0.230,
2009-04,0.034,
2009-05,0.034,
2009-06,0.034,
2009-07,0.033,
2009-08,0.031,
2009-09,0.030,
2009-10,0.031,
2009-11,0.028,
2009-12,0.030,
2010-01,0.031,
2010-02,0.032,
2010-03,0.033,
2010-04,0.037,
2010-05,0.035,
2010-06,0.037,
2010-07,0.034,
2010-08,0.036,
2010-09,0.034,
2010-10,0.040,
2010-11,0.041,
2010-12,0.049,
2011-01,0.047,
2011-02,0.053,
2011-03,0.047,
2011-04,0.044,
2011-05,0.046,
2011-06,0.049,
2011-07,0.048,
2011-08,0.042,
2011-09,0.043,
2011-10,0.037,
2011-11,0.044,
2011-12,0.039,
2012-01,0.043,
2012-02,0.044,
2012-03,0.047,
2012-04,0.048,
2012-05,0.048,
2012-06,0.046,
2012-07,0.048,
2012-08,0.050,
2012-09,0.046,
2012-10,0.047,
2012-11,0.049,
2012-12,0.053,
2013-01,0.045,
2013-02,0.047,
2013-03,0.052,
2013-04,0.060,
2013-05,0.056,
2013-06,0.058,
2013-07,0.052,
2013-08,0.065,
2013-09,0.056,
2013-10,0.057,
2013-11,0.064,
2013-12,0.059,
2014-01,0.062,
2014-02,0.071,
2014-03,0.066,
2014-04,0.069,
2014-05,0.070,
2014-06,0.068,
2014-07,0.063,
2014-08,0.074,
2014-09,0.071,
2014-10,0.065,
2014-11,0.065,
2014-12,0.069,
