"",BBFN1.M.DE.N.1.L.SE.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.SE.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
1992-12,0.468,
1993-01,0.448,
1993-02,0.446,
1993-03,0.464,
1993-04,0.451,
1993-05,0.447,
1993-06,0.449,
1993-07,0.434,
1993-08,0.428,
1993-09,0.386,
1993-10,0.377,
1993-11,0.374,
1993-12,0.394,
1994-01,0.408,
1994-02,0.400,
1994-03,0.392,
1994-04,0.394,
1994-05,0.400,
1994-06,0.376,
1994-07,0.379,
1994-08,0.380,
1994-09,0.380,
1994-10,0.378,
1994-11,0.378,
1994-12,0.328,
1995-01,0.299,
1995-02,0.295,
1995-03,0.298,
1995-04,0.302,
1995-05,0.303,
1995-06,0.304,
1995-07,0.297,
1995-08,0.307,
1995-09,0.299,
1995-10,0.300,
1995-11,0.300,
1995-12,0.267,
1996-01,0.324,
1996-02,0.250,
1996-03,0.247,
1996-04,0.246,
1996-05,0.239,
1996-06,0.238,
1996-07,0.210,
1996-08,0.213,
1996-09,0.211,
1996-10,0.221,
1996-11,0.221,
1996-12,0.222,
1997-01,0.210,
1997-02,0.207,
1997-03,0.222,
1997-04,0.228,
1997-05,0.224,
1997-06,0.225,
1997-07,0.234,
1997-08,0.205,
1997-09,0.212,
1997-10,0.216,
1997-11,0.214,
1997-12,0.232,
1998-01,0.203,
1998-02,0.223,
1998-03,0.214,
1998-04,0.214,
1998-05,0.209,
1998-06,0.248,
1998-07,0.247,
1998-08,0.256,
1998-09,0.229,
1998-10,0.244,
1998-11,0.235,
1998-12,0.245,
1999-01,0.246,
1999-02,0.230,
1999-03,0.226,
1999-04,0.227,
1999-05,0.240,
1999-06,0.252,
1999-07,0.238,
1999-08,0.235,
1999-09,0.224,
1999-10,0.471,
1999-11,0.244,
1999-12,0.310,
2000-01,0.298,
2000-02,0.286,
2000-03,0.304,
2000-04,0.298,
2000-05,0.312,
2000-06,0.320,
2000-07,0.327,
2000-08,0.338,
2000-09,0.347,
2000-10,0.334,
2000-11,0.332,
2000-12,0.331,
2001-01,0.324,
2001-02,0.494,
2001-03,0.493,
2001-04,0.519,
2001-05,0.556,
2001-06,0.555,
2001-07,0.566,
2001-08,0.567,
2001-09,0.782,
2001-10,0.800,
2001-11,0.925,
2001-12,0.916,
2002-01,1.079,
2002-02,1.106,
2002-03,1.089,
2002-04,1.101,
2002-05,1.117,
2002-06,1.114,
2002-07,1.119,
2002-08,1.114,
2002-09,1.301,
2002-10,1.203,
2002-11,1.201,
2002-12,1.195,
2003-01,1.221,
2003-02,1.254,
2003-03,0.706,
2003-04,0.711,
2003-05,0.710,
2003-06,0.719,
2003-07,0.721,
2003-08,0.755,
2003-09,0.775,
2003-10,0.788,
2003-11,0.847,
2003-12,0.911,
2004-01,0.901,
2004-02,0.857,
2004-03,0.858,
2004-04,0.810,
2004-05,0.952,
2004-06,0.972,
2004-07,0.975,
2004-08,0.827,
2004-09,0.826,
2004-10,0.841,
2004-11,0.835,
2004-12,0.747,
2005-01,0.818,
2005-02,0.877,
2005-03,0.874,
2005-04,0.880,
2005-05,0.897,
2005-06,1.082,
2005-07,1.091,
2005-08,1.127,
2005-09,1.165,
2005-10,1.189,
2005-11,1.178,
2005-12,1.148,
2006-01,1.186,
2006-02,1.069,
2006-03,1.071,
2006-04,1.143,
2006-05,1.145,
2006-06,1.154,
2006-07,1.139,
2006-08,1.203,
2006-09,1.300,
2006-10,1.309,
2006-11,1.300,
2006-12,1.268,
2007-01,1.517,
2007-02,1.511,
2007-03,1.836,
2007-04,1.828,
2007-05,1.822,
2007-06,1.744,
2007-07,1.493,
2007-08,1.486,
2007-09,1.385,
2007-10,1.377,
2007-11,1.355,
2007-12,0.937,
2008-01,1.009,
2008-02,1.259,
2008-03,1.211,
2008-04,1.235,
2008-05,1.475,
2008-06,1.510,
2008-07,1.241,
2008-08,1.253,
2008-09,1.270,
2008-10,1.341,
2008-11,1.339,
2008-12,1.442,
2009-01,1.529,
2009-02,1.542,
2009-03,1.273,
2009-04,1.277,
2009-05,0.936,
2009-06,0.932,
2009-07,0.876,
2009-08,0.959,
2009-09,1.195,
2009-10,1.147,
2009-11,1.223,
2009-12,1.561,
2010-01,1.544,
2010-02,1.568,
2010-03,1.541,
2010-04,1.553,
2010-05,1.599,
2010-06,1.596,
2010-07,1.612,
2010-08,1.627,
2010-09,1.586,
2010-10,1.577,
2010-11,1.606,
2010-12,1.531,
2011-01,1.514,
2011-02,1.523,
2011-03,1.526,
2011-04,1.625,
2011-05,1.712,
2011-06,1.806,
2011-07,1.809,
2011-08,1.939,
2011-09,1.962,
2011-10,1.956,
2011-11,1.879,
2011-12,1.872,
2012-01,1.651,
2012-02,1.646,
2012-03,1.789,
2012-04,1.793,
2012-05,1.775,
2012-06,1.742,
2012-07,1.755,
2012-08,1.776,
2012-09,1.802,
2012-10,1.810,
2012-11,1.728,
2012-12,1.732,
2013-01,1.794,
2013-02,1.784,
2013-03,1.783,
2013-04,1.920,
2013-05,1.920,
2013-06,1.965,
2013-07,2.105,
2013-08,2.109,
2013-09,2.084,
2013-10,2.030,
2013-11,2.044,
2013-12,2.115,
2014-01,2.048,
2014-02,2.175,
2014-03,2.239,
2014-04,2.249,
2014-05,2.271,
2014-06,2.234,
2014-07,2.548,
2014-08,2.560,
2014-09,2.553,
2014-10,2.489,
2014-11,3.090,
2014-12,2.523,
