"",BBFN1.M.DE.N.1.A.R12.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.R12.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
2005-08,0.341,
2005-09,0.373,
2005-10,0.442,
2005-11,0.453,
2005-12,0.454,
2006-01,0.446,
2006-02,0.445,
2006-03,0.454,
2006-04,0.449,
2006-05,0.466,
2006-06,0.736,
2006-07,0.738,
2006-08,0.752,
2006-09,0.746,
2006-10,0.769,
2006-11,0.784,
2006-12,0.655,
2007-01,0.714,
2007-02,0.719,
2007-03,0.724,
2007-04,0.722,
2007-05,0.894,
2007-06,0.911,
2007-07,0.558,
2007-08,0.566,
2007-09,0.565,
2007-10,0.556,
2007-11,0.583,
2007-12,0.626,
2008-01,0.742,
2008-02,0.818,
2008-03,0.838,
2008-04,0.864,
2008-05,0.862,
2008-06,0.891,
2008-07,0.957,
2008-08,0.964,
2008-09,2.719,
2008-10,2.724,
2008-11,2.710,
2008-12,2.570,
2009-01,2.821,
2009-02,2.768,
2009-03,2.817,
2009-04,2.831,
2009-05,2.824,
2009-06,2.904,
2009-07,2.842,
2009-08,2.982,
2009-09,3.852,
2009-10,3.855,
2009-11,3.862,
2009-12,3.848,
2010-01,4.183,
2010-02,4.197,
2010-03,4.212,
2010-04,4.236,
2010-05,4.318,
2010-06,4.362,
2010-07,4.434,
2010-08,4.474,
2010-09,4.217,
2010-10,4.440,
2010-11,4.479,
2010-12,4.636,
2011-01,4.597,
2011-02,4.528,
2011-03,4.522,
2011-04,4.528,
2011-05,4.598,
2011-06,4.630,
2011-07,4.725,
2011-08,4.691,
2011-09,4.659,
2011-10,4.664,
2011-11,4.686,
2011-12,4.681,
2012-01,4.694,
2012-02,4.729,
2012-03,4.737,
2012-04,4.777,
2012-05,4.778,
2012-06,4.851,
2012-07,4.835,
2012-08,4.812,
2012-09,4.665,
2012-10,4.680,
2012-11,4.710,
2012-12,2.154,
2013-01,2.097,
2013-02,2.213,
2013-03,2.290,
2013-04,2.232,
2013-05,2.216,
2013-06,2.119,
2013-07,2.088,
2013-08,2.097,
2013-09,2.115,
2013-10,1.973,
2013-11,1.996,
2013-12,1.952,
2014-01,2.099,
2014-02,1.946,
2014-03,1.867,
2014-04,1.885,
2014-05,1.898,
2014-06,1.913,
2014-07,1.980,
2014-08,1.993,
2014-09,2.088,
2014-10,2.194,
2014-11,2.324,
2014-12,2.347,
"","General: From January 2003, including Guernsey, Jersey and the Isle of Man. Up to December 2010 including Niederl. Antillen; from January 2011 including Bonaire,St.Eustatius, Saba; Curacao; St.Martin (Dutch part)",
