"",BBDE1.M.DE.Y.AEA1.A2P320000.F.V.I10.A,BBDE1.M.DE.Y.AEA1.A2P320000.F.V.I10.A_FLAGS
2000-10,82.4,
2000-11,83.7,
2000-12,84.9,
2001-01,81.1,
2001-02,83.0,
2001-03,82.0,
2001-04,78.9,
2001-05,80.9,
2001-06,81.7,
2001-07,79.2,
2001-08,80.0,
2001-09,77.6,
2001-10,76.0,
2001-11,77.0,
2001-12,80.6,
2002-01,78.3,
2002-02,76.8,
2002-03,79.6,
2002-04,78.9,
2002-05,83.6,
2002-06,81.9,
2002-07,80.3,
2002-08,83.6,
2002-09,80.1,
2002-10,80.5,
2002-11,81.6,
2002-12,78.1,
2003-01,81.5,
2003-02,81.2,
2003-03,78.6,
2003-04,79.5,
2003-05,77.6,
2003-06,81.4,
2003-07,79.2,
2003-08,80.1,
2003-09,82.0,
2003-10,82.6,
2003-11,83.0,
2003-12,84.7,
2004-01,82.3,
2004-02,82.7,
2004-03,84.9,
2004-04,86.2,
2004-05,87.2,
2004-06,86.6,
2004-07,87.0,
2004-08,84.6,
2004-09,87.5,
2004-10,87.4,
2004-11,84.6,
2004-12,94.1,
2005-01,88.5,
2005-02,86.7,
2005-03,89.8,
2005-04,88.5,
2005-05,89.0,
2005-06,93.4,
2005-07,94.1,
2005-08,92.1,
2005-09,96.5,
2005-10,97.8,
2005-11,99.5,
2005-12,97.2,
2006-01,99.8,
2006-02,98.8,
2006-03,98.2,
2006-04,100.6,
2006-05,101.0,
2006-06,97.8,
2006-07,102.7,
2006-08,107.6,
2006-09,104.8,
2006-10,103.2,
2006-11,102.9,
2006-12,105.2,
2007-01,107.7,
2007-02,112.8,
2007-03,110.5,
2007-04,110.5,
2007-05,114.8,
2007-06,120.3,
2007-07,113.1,
2007-08,113.3,
2007-09,112.1,
2007-10,120.1,
2007-11,120.7,
2007-12,120.0,
2008-01,117.7,
2008-02,118.9,
2008-03,115.3,
2008-04,117.6,
2008-05,112.2,
2008-06,106.6,
2008-07,106.6,
2008-08,109.4,
2008-09,100.3,
2008-10,92.1,
2008-11,85.9,
2008-12,79.3,
2009-01,73.1,
2009-02,72.1,
2009-03,76.5,
2009-04,72.8,
2009-05,76.6,
2009-06,78.8,
2009-07,83.2,
2009-08,82.4,
2009-09,86.0,
2009-10,81.4,
2009-11,85.2,
2009-12,84.2,
2010-01,88.0,
2010-02,87.5,
2010-03,93.1,
2010-04,96.1,
2010-05,98.1,
2010-06,101.8,
2010-07,99.7,
2010-08,105.5,
2010-09,102.8,
2010-10,103.1,
2010-11,112.2,
2010-12,106.8,
2011-01,110.7,
2011-02,113.7,
2011-03,107.0,
2011-04,111.2,
2011-05,116.9,
2011-06,118.5,
2011-07,111.2,
2011-08,111.4,
2011-09,107.0,
2011-10,111.3,
2011-11,106.4,
2011-12,109.8,
2012-01,105.7,
2012-02,107.4,
2012-03,113.1,
2012-04,109.5,
2012-05,110.8,
2012-06,108.9,
2012-07,109.8,
2012-08,108.3,
2012-09,106.3,
2012-10,112.4,
2012-11,107.4,
2012-12,110.2,
2013-01,108.5,
2013-02,111.3,
2013-03,113.2,
2013-04,110.2,
2013-05,109.6,
2013-06,119.6,
2013-07,113.2,
2013-08,114.3,
2013-09,118.6,
2013-10,115.1,
2013-11,117.4,
2013-12,119.3,
2014-01,117.7,
2014-02,118.4,
2014-03,114.7,
2014-04,119.1,
2014-05,119.0,
2014-06,113.0,
2014-07,123.9,
2014-08,115.6,
2014-09,117.6,
2014-10,121.8,
2014-11,118.6,
2014-12,125.5,Provisional value
