"",BBFB1.M.N.DE.W1.S121.S1.T.A.FA.R.F2.T.X1.N.N,BBFB1.M.N.DE.W1.S121.S1.T.A.FA.R.F2.T.X1.N.N_FLAGS
1998-08,618.829,
1998-09,-548.523,
1998-10,-435.229,
1998-11,1146.953,
1998-12,-12676.778,
1999-01,566.834,
1999-02,573.512,
1999-03,444.280,
1999-04,-216.029,
1999-05,341.647,
1999-06,874.689,
1999-07,-138.663,
1999-08,301.047,
1999-09,94.422,
1999-10,-1256.431,
1999-11,-108.562,
1999-12,-1566.459,
2000-01,-624.129,
2000-02,757.449,
2000-03,406.858,
2000-04,751.351,
2000-05,-1129.554,
2000-06,-1503.628,
2000-07,651.168,
2000-08,-1278.041,
2000-09,126.776,
2000-10,-956.221,
2000-11,-69.508,
2000-12,-910.859,
2001-01,-1576.767,
2001-02,765.701,
2001-03,323.823,
2001-04,-589.279,
2001-05,-1047.030,
2001-06,320.879,
2001-07,1442.730,
2001-08,-1208.001,
2001-09,1363.594,
2001-10,1987.583,
2001-11,22.360,
2001-12,-2289.367,
2002-01,4470.110,
2002-02,1267.867,
2002-03,-817.476,
2002-04,-1432.236,
2002-05,-660.120,
2002-06,510.843,
2002-07,1931.666,
2002-08,702.796,
2002-09,923.125,
2002-10,185.593,
2002-11,-392.866,
2002-12,-1295.925,
2003-01,688.388,
2003-02,408.101,
2003-03,1108.060,
2003-04,-864.708,
2003-05,737.055,
2003-06,-532.319,
2003-07,158.642,
2003-08,-373.023,
2003-09,457.930,
2003-10,-400.056,
2003-11,-535.685,
2003-12,310.078,
2004-01,-131.221,
2004-02,-66.154,
2004-03,410.034,
2004-04,6.458,
2004-05,-841.703,
2004-06,2836.008,
2004-07,-1693.445,
2004-08,-390.966,
2004-09,310.423,
2004-10,163.649,
2004-11,-592.793,
2004-12,865.887,
2005-01,-584.725,
2005-02,-65.328,
2005-03,750.117,
2005-04,-46.498,
2005-05,-465.608,
2005-06,-40.134,
2005-07,-425.783,
2005-08,-1257.545,
2005-09,2562.636,
2005-10,-675.287,
2005-11,-1258.109,
2005-12,82.593,
2006-01,260.759,
2006-02,-1937.889,
2006-03,1705.626,
2006-04,-2347.593,
2006-05,1161.066,
2006-06,228.570,
2006-07,468.555,
2006-08,-1492.652,
2006-09,-481.943,
2006-10,-133.509,
2006-11,-112.366,
2006-12,-131.092,
2007-01,-301.951,
2007-02,60.445,
2007-03,-96.875,
2007-04,305.173,
2007-05,381.406,
2007-06,-617.045,
2007-07,873.722,
2007-08,-181.670,
2007-09,461.336,
2007-10,-401.956,
2007-11,23.009,
2007-12,386.209,
2008-01,551.476,
2008-02,647.002,
2008-03,-467.118,
2008-04,-143.973,
2008-05,-1184.572,
2008-06,2792.166,
2008-07,-525.271,
2008-08,59.639,
2008-09,-735.891,
2008-10,2947.653,
2008-11,-237.816,
2008-12,-3574.487,
2009-01,-2660.966,
2009-02,654.313,
2009-03,1787.754,
2009-04,771.075,
2009-05,-1772.852,
2009-06,1280.517,
2009-07,69.479,
2009-08,923.682,
2009-09,-553.653,
2009-10,1058.676,
2009-11,-747.934,
2009-12,125.040,
2010-01,613.010,
2010-02,-538.607,
2010-03,-2238.191,
2010-04,921.380,
2010-05,-142.794,
2010-06,190.767,
2010-07,-138.568,
2010-08,4.670,
2010-09,-523.959,
2010-10,139.939,
2010-11,-196.903,
2010-12,-397.849,
2011-01,-586.790,
2011-02,400.985,
2011-03,272.117,
2011-04,195.998,
2011-05,-71.644,
2011-06,-506.157,
2011-07,522.323,
2011-08,-1040.335,
2011-09,362.320,
2011-10,-740.451,
2011-11,748.425,
2011-12,-990.481,
2012-01,70.426,
2012-02,-1547.210,
2012-03,274.448,
2012-04,1950.762,
2012-05,-307.400,
2012-06,-394.839,
2012-07,1041.352,
2012-08,984.142,
2012-09,264.866,
2012-10,47.767,
2012-11,-1224.221,
2012-12,-450.015,
2013-01,398.698,
2013-02,576.453,
2013-03,-567.834,
2013-04,-467.113,
2013-05,7.994,
2013-06,-72.550,
2013-07,-87.275,
2013-08,-665.444,
2013-09,-120.172,
2013-10,35.449,
2013-11,-638.815,
2013-12,1079.408,
2014-01,-428.176,
2014-02,-937.635,
2014-03,386.957,
2014-04,318.025,
2014-05,-923.343,
2014-06,337.314,
2014-07,1585.122,
2014-08,266.565,
2014-09,-1104.072,
2014-10,1344.745,
2014-11,-243.338,
2014-12,-1225.032,
