"",BBFB1.M.N.DE.W1.S1.S1.T.AD.FA.P.F.S._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.AD.FA.P.F.S._T._X.N_FLAGS
2007-10,34681.525,
2007-11,38073.241,
2007-12,49450.489,
2008-01,46075.669,
2008-02,39732.261,
2008-03,38627.505,
2008-04,42758.399,
2008-05,39199.368,
2008-06,43471.342,
2008-07,43401.061,
2008-08,40720.102,
2008-09,46647.738,
2008-10,58212.941,
2008-11,43871.297,
2008-12,44273.680,
2009-01,38587.822,
2009-02,43979.492,
2009-03,30930.387,
2009-04,28652.613,
2009-05,31368.806,
2009-06,29669.416,
2009-07,32427.615,
2009-08,38413.201,
2009-09,31662.202,
2009-10,28983.219,
2009-11,30320.712,
2009-12,39059.191,
2010-01,29740.352,
2010-02,32930.484,
2010-03,36777.265,
2010-04,32764.265,
2010-05,33912.545,
2010-06,36356.473,
2010-07,28520.787,
2010-08,29772.468,
2010-09,32224.010,
2010-10,30625.836,
2010-11,34134.955,
2010-12,27916.581,
2011-01,32922.630,
2011-02,34509.353,
2011-03,41457.618,
2011-04,31146.655,
2011-05,35417.910,
2011-06,35308.538,
2011-07,33603.937,
2011-08,37108.406,
2011-09,42641.622,
2011-10,32083.870,
2011-11,39518.129,
2011-12,39217.635,
2012-01,32462.422,
2012-02,36564.665,
2012-03,43551.169,
2012-04,39689.565,
2012-05,38225.870,
2012-06,33930.101,
2012-07,34865.858,
2012-08,35547.541,
2012-09,37968.116,
2012-10,41415.026,
2012-11,40530.224,
2012-12,69482.143,
2013-01,42813.333,
2013-02,42569.328,
2013-03,44932.501,
2013-04,40342.736,
2013-05,44747.320,
2013-06,46588.513,
2013-07,42677.788,
2013-08,43167.369,
2013-09,67715.572,
2013-10,64718.441,
2013-11,54716.370,
2013-12,49941.880,
2014-01,64008.590,
2014-02,62761.447,Provisional value
2014-03,55668.577,Provisional value
2014-04,52788.278,Provisional value
2014-05,52975.447,Provisional value
2014-06,41639.477,Provisional value
2014-07,51039.106,Provisional value
2014-08,48146.413,Provisional value
2014-09,41166.087,
2014-10,40041.468,
2014-11,40441.191,
2014-12,34328.312,Provisional value
