"",BBFN1.M.DE.N.1.L.DK.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.DK.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
2010-03,0.484,
2010-04,0.468,
2010-05,0.491,
2010-06,0.518,
2010-07,0.473,
2010-08,0.520,
2010-09,0.506,
2010-10,0.558,
2010-11,0.543,
2010-12,0.795,
2011-01,0.684,
2011-02,0.629,
2011-03,0.674,
2011-04,0.600,
2011-05,0.714,
2011-06,0.654,
2011-07,0.569,
2011-08,0.590,
2011-09,4.759,
2011-10,0.391,
2011-11,0.349,
2011-12,0.367,
2012-01,1.790,
2012-02,0.351,
2012-03,0.288,
2012-04,0.304,
2012-05,0.174,
2012-06,0.204,
2012-07,0.182,
2012-08,0.159,
2012-09,0.187,
2012-10,0.515,
2012-11,0.565,
2012-12,0.833,
2013-01,0.864,
2013-02,0.980,
2013-03,0.930,
2013-04,0.922,
2013-05,0.933,
2013-06,0.627,
2013-07,0.525,
2013-08,0.594,
2013-09,0.684,
2013-10,0.350,
2013-11,0.334,
2013-12,0.257,
2014-01,0.886,
2014-02,0.806,
2014-03,0.470,
2014-04,0.967,
2014-05,0.945,
2014-06,0.700,
2014-07,0.454,
2014-08,0.932,
2014-09,0.332,
2014-10,0.744,
2014-11,0.331,
2014-12,0.291,
