"",BBEX3.M.FJD.USD.CM.AA.A01,BBEX3.M.FJD.USD.CM.AA.A01_FLAGS
2012-11,0.5700,
2012-12,0.5680,
2013-01,0.5711,
2013-02,0.5647,
2013-03,0.5684,
2013-04,0.5672,
2013-05,0.5485,
2013-06,0.5375,
2013-07,0.5361,
2013-08,0.5301,
2013-09,0.5460,
2013-10,0.5490,
2013-11,0.5387,
2013-12,0.5354,
2014-01,0.5319,
2014-02,0.5391,
2014-03,0.5490,
2014-04,0.5482,
2014-05,0.5479,
2014-06,0.5539,
2014-07,0.5477,
2014-08,0.5462,
2014-09,0.5239,
2014-10,0.5269,
2014-11,0.5202,
2014-12,0.5116,
2015-01,0.4944,
2015-02,0.4972,
"","Source: Since May 2013: Bank South Pacific, Suva 2006 - April 2013: Australia and New Zealand Banking Group (ANZ), Suva 1990 - 2005: Westpac Banking Corporation, Suva",
"","Comment on 1998-01: On 20 January 1998, the Fiji dollar was devalued. We recorded the following exchange rates (buying/selling).  19 January 1998: FJD 1 = USD 0.6583 / 0.6413  20 January 1998: FJD 1 = USD 0.5291 / 0.5121  Calculated devaluation: 19.9% (middle rate).",
"",Comment on 1998-06: Exchange rate as of 1 July 1998.,
"",Comment on 2006-11: Exchange rate as of 24 November 2006.,
"","Comment on 2009-04: On 15 April 2009, the Fiji dollar was devalued. We recorded the following exchange rates (buying/selling).  14 April 2009: FJD 1 = USD 0.5817 / 0.5647  15 April 2009: FJD 1 = USD 0.4643 / 0.4473  Calculated devaluation: 20.5% (middle rate).",
