"",BBFN1.M.DE.N.1.A.B0.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.B0.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
2001-11,57.968,
2001-12,53.774,
2002-01,69.294,
2002-02,67.590,
2002-03,66.050,
2002-04,77.269,
2002-05,80.874,
2002-06,67.755,
2002-07,69.470,
2002-08,71.663,
2002-09,72.699,
2002-10,72.584,
2002-11,69.382,
2002-12,55.629,
2003-01,69.091,
2003-02,72.394,
2003-03,73.037,
2003-04,84.380,
2003-05,86.747,
2003-06,82.447,
2003-07,88.816,
2003-08,82.390,
2003-09,82.971,
2003-10,84.299,
2003-11,79.012,
2003-12,74.327,
2004-01,84.250,
2004-02,85.216,
2004-03,85.330,
2004-04,82.606,
2004-05,77.455,
2004-06,80.047,
2004-07,81.713,
2004-08,81.278,
2004-09,83.303,
2004-10,82.928,
2004-11,81.059,
2004-12,81.992,
2005-01,87.402,
2005-02,87.144,
2005-03,94.264,
2005-04,86.325,
2005-05,87.363,
2005-06,79.108,
2005-07,82.623,
2005-08,82.901,
2005-09,89.873,
2005-10,91.178,
2005-11,87.883,
2005-12,77.010,
2006-01,83.209,
2006-02,85.081,
2006-03,87.676,
2006-04,83.743,
2006-05,84.734,
2006-06,81.832,
2006-07,76.742,
2006-08,81.905,
2006-09,84.491,
2006-10,83.739,
2006-11,87.524,
2006-12,74.565,
2007-01,82.403,
2007-02,92.799,
2007-03,93.677,
2007-04,88.643,
2007-05,82.322,
2007-06,86.139,
2007-07,86.429,
2007-08,85.606,
2007-09,80.187,
2007-10,92.991,
2007-11,91.281,
2007-12,77.881,
2008-01,94.274,
2008-02,87.038,
2008-03,94.329,
2008-04,87.497,
2008-05,83.050,
2008-06,77.878,
2008-07,79.156,
2008-08,78.998,
2008-09,83.728,
2008-10,76.261,
2008-11,71.251,
2008-12,74.794,
2009-01,81.201,
2009-02,81.710,
2009-03,98.378,
2009-04,96.954,
2009-05,90.862,
2009-06,98.345,
2009-07,91.665,
2009-08,90.252,
2009-09,94.998,
2009-10,95.891,
2009-11,92.506,
2009-12,97.879,
2010-01,90.199,
2010-02,93.810,
2010-03,95.408,
2010-04,101.546,
2010-05,97.934,
2010-06,93.429,
2010-07,99.975,
2010-08,100.518,
2010-09,103.243,
2010-10,105.590,
2010-11,104.658,
2010-12,92.181,
2011-01,106.988,
2011-02,104.406,
2011-03,97.322,
2011-04,96.589,
2011-05,103.782,
2011-06,109.973,
2011-07,116.243,
2011-08,128.791,
2011-09,128.391,
2011-10,138.857,
2011-11,139.138,
2011-12,112.237,
2012-01,130.690,
2012-02,134.992,
2012-03,133.785,
2012-04,138.171,
2012-05,146.817,
2012-06,156.946,
2012-07,154.163,
2012-08,141.252,
2012-09,154.786,
2012-10,144.494,
2012-11,149.551,
2012-12,134.009,
2013-01,155.768,
2013-02,159.269,
2013-03,158.708,
2013-04,153.523,
2013-05,151.332,
2013-06,162.239,
2013-07,150.342,
2013-08,144.219,
2013-09,147.785,
2013-10,154.750,
2013-11,152.541,
2013-12,141.707,
2014-01,148.419,
2014-02,148.961,
2014-03,166.628,
2014-04,157.097,
2014-05,174.471,
2014-06,164.078,
2014-07,155.117,
2014-08,158.939,
2014-09,162.148,
2014-10,154.640,
2014-11,159.805,
2014-12,130.238,
"","General: From 1973, including Denmark, Ireland and the United Kingdom; from 1981, including Greece; from 1986, including Portugal and Spain; from 1995, including Austria, Finland and Sweden; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
