"",BBDA1.M.DE.Y.EX.S.A.W100X2.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.A.W100X2.A.V.ABA.A_FLAGS
2001-03,14.56,
2001-04,15.11,
2001-05,14.62,
2001-06,15.16,
2001-07,14.65,
2001-08,14.32,
2001-09,14.65,
2001-10,14.73,
2001-11,13.83,
2001-12,14.97,
2002-01,14.18,
2002-02,15.06,
2002-03,15.83,
2002-04,15.13,
2002-05,14.28,
2002-06,15.16,
2002-07,14.40,
2002-08,14.98,
2002-09,15.57,
2002-10,15.14,
2002-11,15.72,
2002-12,14.66,
2003-01,14.77,
2003-02,14.97,
2003-03,13.71,
2003-04,14.13,
2003-05,14.63,
2003-06,14.20,
2003-07,14.50,
2003-08,14.58,
2003-09,14.88,
2003-10,13.71,
2003-11,14.66,
2003-12,14.56,
2004-01,14.91,
2004-02,15.49,
2004-03,15.01,
2004-04,16.47,
2004-05,16.72,
2004-06,15.61,
2004-07,15.91,
2004-08,15.26,
2004-09,15.11,
2004-10,15.51,
2004-11,15.14,
2004-12,15.98,
2005-01,16.05,
2005-02,15.62,
2005-03,16.32,
2005-04,15.78,
2005-05,16.84,
2005-06,16.52,
2005-07,17.06,
2005-08,17.96,
2005-09,17.71,
2005-10,17.96,
2005-11,16.97,
2005-12,17.30,
2006-01,17.49,
2006-02,19.46,
2006-03,18.46,
2006-04,18.76,
2006-05,18.07,
2006-06,17.88,
2006-07,18.63,
2006-08,18.85,
2006-09,21.44,
2006-10,21.87,
2006-11,22.63,
2006-12,20.63,
2007-01,19.03,
2007-02,19.55,
2007-03,19.08,
2007-04,19.38,
2007-05,19.34,
2007-06,19.58,
2007-07,19.36,
2007-08,20.66,
2007-09,21.04,
2007-10,20.62,
2007-11,20.48,
2007-12,20.12,
2008-01,21.08,
2008-02,20.87,
2008-03,20.97,
2008-04,20.70,
2008-05,20.44,
2008-06,21.36,
2008-07,20.23,
2008-08,20.78,
2008-09,20.69,
2008-10,21.48,
2008-11,20.08,
2008-12,19.68,
2009-01,16.99,
2009-02,17.38,
2009-03,17.18,
2009-04,17.30,
2009-05,16.87,
2009-06,18.20,
2009-07,19.02,
2009-08,17.68,
2009-09,17.34,
2009-10,17.95,
2009-11,19.67,
2009-12,20.06,
2010-01,18.67,
2010-02,20.39,
2010-03,22.76,
2010-04,21.80,
2010-05,23.45,
2010-06,23.79,
2010-07,24.22,
2010-08,23.07,
2010-09,24.21,
2010-10,23.66,
2010-11,24.79,
2010-12,23.41,
2011-01,24.03,
2011-02,24.76,
2011-03,25.37,
2011-04,24.64,
2011-05,25.60,
2011-06,24.95,
2011-07,25.52,
2011-08,25.51,
2011-09,25.79,
2011-10,26.59,
2011-11,26.66,
2011-12,27.03,
2012-01,27.57,
2012-02,27.73,
2012-03,27.88,
2012-04,27.50,
2012-05,28.39,
2012-06,29.40,
2012-07,29.21,
2012-08,29.77,
2012-09,28.95,
2012-10,28.88,
2012-11,28.15,
2012-12,28.58,
2013-01,28.00,
2013-02,27.70,
2013-03,29.03,
2013-04,29.25,
2013-05,28.45,
2013-06,27.96,
2013-07,27.64,
2013-08,28.62,
2013-09,28.67,
2013-10,28.92,
2013-11,29.80,
2013-12,28.91,
2014-01,28.91,
2014-02,28.90,
2014-03,28.57,
2014-04,29.30,
2014-05,29.19,
2014-06,29.38,
2014-07,31.13,
2014-08,28.73,
2014-09,31.88,
2014-10,32.04,
2014-11,30.06,
2014-12,32.22,
