"",BBEX3.M.DKK.USD.CA.AC.A02,BBEX3.M.DKK.USD.CA.AC.A02_FLAGS
2010-10,536.57,
2010-11,545.99,
2010-12,563.81,
2011-01,558.00,
2011-02,546.27,
2011-03,532.75,
2011-04,516.75,
2011-05,519.65,
2011-06,518.67,
2011-07,522.76,
2011-08,519.42,
2011-09,540.93,
2011-10,543.31,
2011-11,549.01,
2011-12,564.20,
2012-01,576.24,
2012-02,562.22,
2012-03,563.27,
2012-04,565.01,
2012-05,580.21,
2012-06,593.16,
2012-07,605.39,
2012-08,600.49,
2012-09,579.91,
2012-10,574.87,
2012-11,581.48,
2012-12,569.13,
2013-01,561.59,
2013-02,558.49,
2013-03,574.74,
2013-04,572.31,
2013-05,573.73,
2013-06,565.24,
2013-07,570.24,
2013-08,560.36,
2013-09,558.80,
2013-10,547.09,
2013-11,552.80,
2013-12,544.57,
2014-01,548.23,
2014-02,546.37,
2014-03,539.99,
2014-04,540.59,
2014-05,542.70,
2014-06,548.71,
2014-07,550.75,
2014-08,559.88,
2014-09,577.12,
2014-10,587.49,
2014-11,596.66,
2014-12,602.60,
2015-01,640.54,
"","General: Until April 1981, only selling rates were published by the Danmarks Nationalbank; from May 1981 middle rates were published instead. Until 1998, buying and middle rates/buying and selling rates were calculated by the commercial banks on the basis of fixed margins; 40 øre until 28 February 1979, 35 øre until 30 June 1994 and 55 øre from 1 July 1994(using the middle rate in each case).",
"","Source: Danmarks Nationalbank, Copenhagen.",
"",Comment on 1973-03: From 2 to 16 March 1973 exchange rate quotation suspended.,
