"",BBDE1.M.DE.Y.BAA1.A2P310000.G.C.I10.A,BBDE1.M.DE.Y.BAA1.A2P310000.G.C.I10.A_FLAGS
2009-08,88.4,
2009-09,90.8,
2009-10,91.3,
2009-11,92.4,
2009-12,91.4,
2010-01,92.7,
2010-02,92.7,
2010-03,95.3,
2010-04,98.2,
2010-05,100.6,
2010-06,100.2,
2010-07,100.5,
2010-08,102.2,
2010-09,101.9,
2010-10,103.6,
2010-11,103.5,
2010-12,102.4,
2011-01,105.6,
2011-02,106.4,
2011-03,106.7,
2011-04,107.5,
2011-05,108.0,
2011-06,106.9,
2011-07,108.8,
2011-08,108.8,
2011-09,106.7,
2011-10,106.9,
2011-11,106.4,
2011-12,104.6,
2012-01,105.4,
2012-02,105.3,
2012-03,105.2,
2012-04,105.4,
2012-05,106.3,
2012-06,105.5,
2012-07,105.6,
2012-08,105.2,
2012-09,103.7,
2012-10,103.1,
2012-11,102.2,
2012-12,102.0,
2013-01,102.8,
2013-02,102.4,
2013-03,103.8,
2013-04,103.3,
2013-05,104.7,
2013-06,104.8,
2013-07,104.4,
2013-08,104.2,
2013-09,104.7,
2013-10,105.4,
2013-11,106.1,
2013-12,106.9,
2014-01,106.7,
2014-02,107.7,
2014-03,106.9,
2014-04,107.6,
2014-05,105.1,
2014-06,105.6,
2014-07,106.3,
2014-08,104.7,
2014-09,104.7,
2014-10,105.3,Provisional value
2014-11,105.5,Provisional value
2014-12,107.6,Provisional value
