"",BBFB1.M.N.DE.W1.S121.S1.T.L.FA.O.F2.T._T.N.N,BBFB1.M.N.DE.W1.S121.S1.T.L.FA.O.F2.T._T.N.N_FLAGS
2013-08,-2022.016,
2013-09,-3127.420,
2013-10,19764.893,
2013-11,-15309.851,
2013-12,-13174.682,
2014-01,-3251.263,
2014-02,-10156.793,Provisional value
2014-03,-9357.572,Provisional value
2014-04,18606.868,Provisional value
2014-05,-308.804,Provisional value
2014-06,-9477.895,Provisional value
2014-07,-26036.396,Provisional value
2014-08,-1572.700,Provisional value
2014-09,2282.376,
2014-10,7452.349,
2014-11,2372.654,
2014-12,-7623.137,Provisional value
