"",BBFB1.M.N.DE.W1.S1KK.S1.T.LD.FA.P.F3.S._T._X.N,BBFB1.M.N.DE.W1.S1KK.S1.T.LD.FA.P.F3.S._T._X.N_FLAGS
2011-06,22629.237,
2011-07,23891.494,
2011-08,25592.866,
2011-09,26286.350,
2011-10,28018.319,
2011-11,27067.751,
2011-12,23832.133,
2012-01,28198.140,
2012-02,24873.855,
2012-03,20917.578,
2012-04,24553.263,
2012-05,23949.996,
2012-06,17698.443,
2012-07,20299.857,
2012-08,20526.657,
2012-09,24157.718,
2012-10,17610.428,
2012-11,15482.117,
2012-12,9044.267,
2013-01,18835.943,
2013-02,18718.065,
2013-03,22586.434,
2013-04,18294.330,
2013-05,22806.210,
2013-06,19348.322,
2013-07,21899.380,
2013-08,21168.338,
2013-09,21316.347,
2013-10,20014.909,
2013-11,20668.646,
2013-12,11168.215,
2014-01,21111.060,
2014-02,21142.940,Provisional value
2014-03,17463.332,Provisional value
2014-04,18045.901,Provisional value
2014-05,20881.192,Provisional value
2014-06,13828.128,Provisional value
2014-07,15139.103,Provisional value
2014-08,17008.908,Provisional value
2014-09,14646.115,
2014-10,17762.255,
2014-11,18911.361,
2014-12,10755.397,Provisional value
