"",BBFN1.M.DE.N.1.L.AT.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.AT.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
1997-03,0.984,
1997-04,1.050,
1997-05,1.029,
1997-06,1.034,
1997-07,1.045,
1997-08,1.055,
1997-09,1.044,
1997-10,0.996,
1997-11,0.987,
1997-12,0.976,
1998-01,0.966,
1998-02,0.959,
1998-03,0.997,
1998-04,1.007,
1998-05,1.020,
1998-06,1.011,
1998-07,1.005,
1998-08,1.016,
1998-09,1.026,
1998-10,1.024,
1998-11,1.045,
1998-12,1.015,
1999-01,1.159,
1999-02,1.111,
1999-03,1.016,
1999-04,1.018,
1999-05,1.001,
1999-06,1.055,
1999-07,1.063,
1999-08,1.035,
1999-09,1.058,
1999-10,1.037,
1999-11,1.040,
1999-12,1.144,
2000-01,1.187,
2000-02,1.194,
2000-03,1.310,
2000-04,1.284,
2000-05,1.252,
2000-06,1.248,
2000-07,1.234,
2000-08,1.094,
2000-09,1.100,
2000-10,1.157,
2000-11,1.152,
2000-12,1.096,
2001-01,1.120,
2001-02,1.080,
2001-03,0.999,
2001-04,0.984,
2001-05,0.994,
2001-06,1.016,
2001-07,1.095,
2001-08,1.145,
2001-09,1.163,
2001-10,1.190,
2001-11,1.225,
2001-12,1.369,
2002-01,1.414,
2002-02,1.493,
2002-03,1.435,
2002-04,1.438,
2002-05,1.455,
2002-06,1.368,
2002-07,1.368,
2002-08,1.351,
2002-09,1.361,
2002-10,1.477,
2002-11,1.623,
2002-12,1.619,
2003-01,1.601,
2003-02,1.627,
2003-03,1.613,
2003-04,1.611,
2003-05,1.587,
2003-06,1.557,
2003-07,1.572,
2003-08,1.701,
2003-09,1.549,
2003-10,1.533,
2003-11,1.536,
2003-12,1.514,
2004-01,1.529,
2004-02,1.586,
2004-03,1.592,
2004-04,1.595,
2004-05,1.636,
2004-06,1.618,
2004-07,1.658,
2004-08,1.569,
2004-09,1.576,
2004-10,1.581,
2004-11,1.515,
2004-12,1.495,
2005-01,1.436,
2005-02,1.439,
2005-03,1.486,
2005-04,1.509,
2005-05,1.582,
2005-06,1.551,
2005-07,1.675,
2005-08,1.774,
2005-09,1.821,
2005-10,1.876,
2005-11,1.912,
2005-12,1.985,
2006-01,1.964,
2006-02,1.941,
2006-03,1.989,
2006-04,2.088,
2006-05,2.201,
2006-06,2.313,
2006-07,2.262,
2006-08,2.250,
2006-09,2.281,
2006-10,2.270,
2006-11,2.280,
2006-12,2.392,
2007-01,2.370,
2007-02,2.396,
2007-03,2.408,
2007-04,2.412,
2007-05,2.437,
2007-06,2.662,
2007-07,2.669,
2007-08,2.704,
2007-09,2.813,
2007-10,2.821,
2007-11,2.907,
2007-12,2.998,
2008-01,3.094,
2008-02,3.304,
2008-03,3.412,
2008-04,3.987,
2008-05,3.965,
2008-06,3.899,
2008-07,3.804,
2008-08,3.709,
2008-09,3.935,
2008-10,3.930,
2008-11,4.012,
2008-12,4.075,
2009-01,4.025,
2009-02,3.952,
2009-03,4.040,
2009-04,4.145,
2009-05,4.179,
2009-06,4.242,
2009-07,4.456,
2009-08,4.553,
2009-09,4.571,
2009-10,4.551,
2009-11,4.565,
2009-12,4.668,
2010-01,5.168,
2010-02,5.226,
2010-03,4.715,
2010-04,4.740,
2010-05,5.082,
2010-06,5.081,
2010-07,5.134,
2010-08,5.158,
2010-09,5.194,
2010-10,5.214,
2010-11,5.381,
2010-12,5.354,
2011-01,5.306,
2011-02,5.391,
2011-03,5.363,
2011-04,5.320,
2011-05,5.294,
2011-06,5.271,
2011-07,5.258,
2011-08,5.380,
2011-09,5.275,
2011-10,5.223,
2011-11,5.274,
2011-12,5.473,
2012-01,5.498,
2012-02,5.600,
2012-03,5.693,
2012-04,5.821,
2012-05,5.622,
2012-06,5.628,
2012-07,5.395,
2012-08,5.351,
2012-09,5.217,
2012-10,5.283,
2012-11,5.224,
2012-12,5.127,
2013-01,5.059,
2013-02,5.199,
2013-03,5.256,
2013-04,5.470,
2013-05,5.574,
2013-06,5.459,
2013-07,5.169,
2013-08,5.153,
2013-09,5.267,
2013-10,5.178,
2013-11,5.196,
2013-12,5.243,
2014-01,5.232,
2014-02,5.133,
2014-03,5.008,
2014-04,4.724,
2014-05,4.927,
2014-06,4.977,
2014-07,5.055,
2014-08,5.022,
2014-09,5.402,
2014-10,5.381,
2014-11,5.410,
2014-12,5.306,
