"",BBEX3.M.SBD.USD.CM.AC.A01,BBEX3.M.SBD.USD.CM.AC.A01_FLAGS
2002-03,0.13030,comment
2002-04,0.15780,
2002-05,0.15350,
2002-06,0.13920,
2002-07,0.13760,
2002-08,0.13630,
2002-09,0.13500,
2002-10,0.13410,
2002-11,0.13410,
2002-12,0.13410,
2003-01,0.13400,
2003-02,0.13370,
2003-03,0.13300,
2003-04,0.13300,
2003-05,0.13310,
2003-06,0.13300,
2003-07,0.13290,
2003-08,0.13280,
2003-09,0.13310,
2003-10,0.13320,
2003-11,0.13310,
2003-12,0.13350,
2004-01,0.13330,
2004-02,0.13360,
2004-03,0.13370,
2004-04,0.13370,
2004-05,0.13400,
2004-06,0.13400,
2004-07,0.13390,
2004-08,0.13350,
2004-09,0.13330,
2004-10,0.13340,
2004-11,0.13340,
2004-12,0.13320,
2005-01,0.13320,
2005-02,0.13320,
2005-03,0.13310,
2005-04,0.13310,
2005-05,0.13300,
2005-06,0.13300,
2005-07,0.13290,
2005-08,0.13280,
2005-09,0.13220,
2005-10,0.13200,
2005-11,0.13200,
2005-12,0.13200,
2006-01,0.13170,
2006-02,0.13170,
2006-03,0.13160,
2006-04,0.13160,
2006-05,0.13150,
2006-06,0.13160,
2006-07,0.13160,
2006-08,0.13140,
2006-09,0.13130,
2006-10,0.13100,
2006-11,0.13100,
2006-12,0.13100,
2007-01,0.13090,
2007-02,0.13090,
2007-03,0.13090,
2007-04,0.13090,
2007-05,0.13080,
2007-06,0.13080,
2007-07,0.13070,
2007-08,0.13050,
2007-09,0.13040,
2007-10,0.13040,
2007-11,0.13050,
2007-12,0.13050,
2008-01,0.13050,
2008-02,0.13050,
2008-03,0.13050,
2008-04,0.13060,
2008-05,0.13050,
2008-06,0.13050,
2008-07,0.13030,
2008-08,0.12930,
2008-09,0.12840,
2008-10,0.12600,
2008-11,0.12540,
2008-12,0.12480,
2009-01,0.12480,
2009-02,0.12450,
2009-03,0.12420,
2009-04,0.12400,
2009-05,0.12400,
2009-06,0.12400,
2009-07,0.12400,
2009-08,0.12400,
2009-09,0.12400,
2009-10,0.12400,
2009-11,0.12400,
2009-12,0.12400,
2010-01,0.12400,
2010-02,0.12400,
2010-03,0.12400,
2010-04,0.12400,
2010-05,0.12400,
2010-06,0.12400,
2010-07,0.12400,
2010-08,0.12400,
2010-09,0.12400,
2010-10,0.12400,
2010-11,0.12400,
2010-12,0.12400,
2011-01,0.12400,
2011-02,0.12520,
2011-03,0.12570,
2011-04,0.12630,
2011-05,0.12755,
2011-06,0.13475,
2011-07,0.13475,
2011-08,0.13525,
2011-09,0.13555,
2011-10,0.13585,
2011-11,0.13595,
2011-12,0.13585,
2012-01,0.13595,
2012-02,0.13595,
2012-03,0.13595,
2012-04,0.13595,
2012-05,0.13595,
2012-06,0.13595,
2012-07,0.13595,
2012-08,0.13595,
2012-09,0.13595,
2012-10,0.13615,
2012-11,0.13585,
2012-12,0.13615,
2013-01,0.13615,
2013-02,0.13725,
2013-03,0.13665,
2013-04,0.13715,
2013-05,0.13735,
2013-06,0.13725,
2013-07,0.13779,
2013-08,0.13870,
2013-09,0.13640,
2013-10,0.13590,
2013-11,0.13770,
2013-12,0.13590,
2014-01,0.13590,
2014-02,0.13590,
2014-03,0.13590,
2014-04,0.13590,
2014-05,0.13650,
2014-06,0.13700,
2014-07,0.13720,
2014-08,0.13710,
2014-09,0.13440,
2014-10,0.13480,
2014-11,0.13340,
2014-12,0.13100,
2015-01,0.12840,
2015-02,0.12890,
"","Source: Since July 2013 Central Bank of Solomon Islands, Honiara Until June 2013 calculated on the basis of the buying and selling rates of the following banks:  November 2011 - June 2013 Bank South Pacific, Honiara  August 2004 - October 2011 Westpac Banking Corporation, Honiara 1990 - July 2004 Central Bank of Solomon Islands, Honiara",
"","Comment on 1997-12: On 15 December 1997, the Solomon Islands dollar was devalued. We recorded the following exchange rates (buying/selling).  14 December 1997: SBD 1 = USD 0.2657 / 0.2639  15 December 1997: SBD 1 = USD 0.2121 / 0.2103  Calculated devaluation: 20.2% (middle rate).",
"","Comment on 2002-03: On 26 March 2002, the Solomon Islands dollar was devalued by just over 20%. However, this decision was reversed on 3 April and the exchange rate for the Solomon Islands dollar was returned to its previous level.",
