"",BBDE1.M.DE.Y.BAA1.A2R240050.G.C.I10.A,BBDE1.M.DE.Y.BAA1.A2R240050.G.C.I10.A_FLAGS
1999-07,84.8,
1999-08,87.3,
1999-09,87.0,
1999-10,87.4,
1999-11,87.5,
1999-12,90.2,
2000-01,88.6,
2000-02,89.9,
2000-03,90.8,
2000-04,91.0,
2000-05,93.2,
2000-06,89.8,
2000-07,92.2,
2000-08,93.6,
2000-09,93.5,
2000-10,93.2,
2000-11,95.3,
2000-12,95.2,
2001-01,97.1,
2001-02,96.9,
2001-03,95.7,
2001-04,94.3,
2001-05,95.1,
2001-06,95.4,
2001-07,92.4,
2001-08,93.9,
2001-09,93.5,
2001-10,92.0,
2001-11,90.3,
2001-12,90.5,
2002-01,92.2,
2002-02,92.7,
2002-03,92.3,
2002-04,93.8,
2002-05,91.7,
2002-06,94.8,
2002-07,93.9,
2002-08,93.7,
2002-09,94.7,
2002-10,92.1,
2002-11,93.7,
2002-12,95.7,
2003-01,93.2,
2003-02,92.3,
2003-03,93.1,
2003-04,92.3,
2003-05,91.2,
2003-06,92.6,
2003-07,94.3,
2003-08,90.9,
2003-09,91.7,
2003-10,94.9,
2003-11,94.4,
2003-12,94.8,
2004-01,96.0,
2004-02,95.7,
2004-03,95.5,
2004-04,96.3,
2004-05,97.5,
2004-06,96.9,
2004-07,97.7,
2004-08,95.1,
2004-09,95.5,
2004-10,95.3,
2004-11,95.3,
2004-12,95.6,
2005-01,98.7,
2005-02,96.1,
2005-03,97.4,
2005-04,96.5,
2005-05,95.3,
2005-06,96.1,
2005-07,97.6,
2005-08,95.6,
2005-09,97.8,
2005-10,99.8,
2005-11,98.1,
2005-12,100.5,
2006-01,99.7,
2006-02,100.7,
2006-03,100.3,
2006-04,104.0,
2006-05,103.5,
2006-06,103.5,
2006-07,105.4,
2006-08,106.4,
2006-09,107.2,
2006-10,107.6,
2006-11,108.8,
2006-12,112.1,
2007-01,109.9,
2007-02,110.2,
2007-03,109.7,
2007-04,109.8,
2007-05,111.0,
2007-06,110.8,
2007-07,111.4,
2007-08,113.3,
2007-09,112.6,
2007-10,112.0,
2007-11,112.3,
2007-12,114.4,
2008-01,115.2,
2008-02,115.7,
2008-03,116.7,
2008-04,117.6,
2008-05,115.4,
2008-06,116.1,
2008-07,113.4,
2008-08,116.6,
2008-09,112.1,
2008-10,108.4,
2008-11,101.1,
2008-12,91.2,
2009-01,84.8,
2009-02,83.1,
2009-03,80.3,
2009-04,79.4,
2009-05,82.4,
2009-06,83.8,
2009-07,84.1,
2009-08,87.3,
2009-09,89.7,
2009-10,89.5,
2009-11,91.7,
2009-12,91.0,
2010-01,91.2,
2010-02,91.9,
2010-03,95.9,
2010-04,98.2,
2010-05,99.8,
2010-06,100.0,
2010-07,100.4,
2010-08,101.9,
2010-09,101.8,
2010-10,104.4,
2010-11,103.6,
2010-12,103.7,
2011-01,106.3,
2011-02,107.1,
2011-03,108.0,
2011-04,109.1,
2011-05,110.6,
2011-06,109.1,
2011-07,111.6,
2011-08,110.6,
2011-09,108.9,
2011-10,110.7,
2011-11,110.4,
2011-12,107.5,
2012-01,107.9,
2012-02,108.2,
2012-03,107.4,
2012-04,107.3,
2012-05,109.4,
2012-06,108.0,
2012-07,108.2,
2012-08,107.0,
2012-09,107.2,
2012-10,105.9,
2012-11,104.7,
2012-12,106.9,
2013-01,105.8,
2013-02,106.1,
2013-03,107.4,
2013-04,107.9,
2013-05,106.9,
2013-06,108.8,
2013-07,107.7,
2013-08,107.9,
2013-09,109.7,
2013-10,109.3,
2013-11,111.0,
2013-12,111.0,
2014-01,112.3,
2014-02,112.5,
2014-03,113.5,
2014-04,113.3,
2014-05,110.3,
2014-06,110.8,
2014-07,111.8,
2014-08,110.4,
2014-09,109.9,
2014-10,111.0,Provisional value
2014-11,112.6,Provisional value
2014-12,113.4,Provisional value
