"",BBDE1.M.DE.W.BAA1.A2P330000.G.C.I10.A,BBDE1.M.DE.W.BAA1.A2P330000.G.C.I10.A_FLAGS
1998-06,116.8,
1998-07,105.1,
1998-08,93.2,
1998-09,133.7,
1998-10,129.8,
1998-11,131.4,
1998-12,103.4,
1999-01,109.1,
1999-02,111.7,
1999-03,123.6,
1999-04,110.8,
1999-05,108.9,
1999-06,115.5,
1999-07,104.0,
1999-08,98.1,
1999-09,133.1,
1999-10,135.2,
1999-11,137.3,
1999-12,109.3,
2000-01,110.1,
2000-02,118.7,
2000-03,128.4,
2000-04,121.1,
2000-05,119.4,
2000-06,116.4,
2000-07,110.9,
2000-08,99.5,
2000-09,137.1,
2000-10,136.5,
2000-11,136.9,
2000-12,110.0,
2001-01,115.1,
2001-02,122.0,
2001-03,135.0,
2001-04,119.7,
2001-05,116.7,
2001-06,123.9,
2001-07,106.5,
2001-08,102.3,
2001-09,134.7,
2001-10,128.9,
2001-11,129.5,
2001-12,108.4,
2002-01,107.5,
2002-02,110.9,
2002-03,124.2,
2002-04,107.1,
2002-05,99.2,
2002-06,112.7,
2002-07,100.3,
2002-08,88.4,
2002-09,124.8,
2002-10,121.0,
2002-11,124.9,
2002-12,98.9,
2003-01,98.1,
2003-02,103.3,
2003-03,115.1,
2003-04,101.9,
2003-05,94.8,
2003-06,98.9,
2003-07,102.5,
2003-08,79.8,
2003-09,116.0,
2003-10,116.5,
2003-11,119.7,
2003-12,97.7,
2004-01,99.2,
2004-02,102.7,
2004-03,113.3,
2004-04,104.1,
2004-05,101.8,
2004-06,102.4,
2004-07,102.8,
2004-08,80.9,
2004-09,114.8,
2004-10,114.5,
2004-11,112.8,
2004-12,92.8,
2005-01,97.7,
2005-02,102.7,
2005-03,112.5,
2005-04,103.3,
2005-05,94.4,
2005-06,104.1,
2005-07,97.3,
2005-08,83.1,
2005-09,114.4,
2005-10,117.5,
2005-11,118.8,
2005-12,97.6,
2006-01,102.5,
2006-02,105.4,
2006-03,114.5,
2006-04,110.5,
2006-05,106.0,
2006-06,108.3,
2006-07,104.7,
2006-08,95.4,
2006-09,126.4,
2006-10,125.7,
2006-11,128.6,
2006-12,110.0,
2007-01,106.7,
2007-02,113.8,
2007-03,123.0,
2007-04,107.5,
2007-05,106.6,
2007-06,110.3,
2007-07,105.2,
2007-08,96.3,
2007-09,127.6,
2007-10,126.1,
2007-11,125.5,
2007-12,102.6,
2008-01,105.9,
2008-02,111.5,
2008-03,122.1,
2008-04,111.3,
2008-05,100.8,
2008-06,110.5,
2008-07,98.7,
2008-08,93.5,
2008-09,120.2,
2008-10,117.7,
2008-11,116.2,
2008-12,87.9,
2009-01,88.2,
2009-02,88.4,
2009-03,96.8,
2009-04,86.9,
2009-05,86.5,
2009-06,87.2,
2009-07,83.1,
2009-08,76.9,
2009-09,103.2,
2009-10,102.3,
2009-11,106.7,
2009-12,86.3,
2010-01,93.1,
2010-02,95.4,
2010-03,103.2,
2010-04,94.6,
2010-05,96.1,
2010-06,99.6,
2010-07,93.7,
2010-08,86.8,
2010-09,111.8,
2010-10,114.0,
2010-11,113.2,
2010-12,91.4,
2011-01,97.7,
2011-02,103.1,
2011-03,114.2,
2011-04,103.7,
2011-05,100.7,
2011-06,98.3,
2011-07,104.9,
2011-08,87.6,
2011-09,115.6,
2011-10,117.3,
2011-11,115.8,
2011-12,91.5,
2012-01,97.6,
2012-02,100.1,
2012-03,110.3,
2012-04,98.2,
2012-05,99.0,
2012-06,100.5,
2012-07,97.7,
2012-08,88.0,
2012-09,112.9,
2012-10,107.5,
2012-11,106.9,
2012-12,87.1,
2013-01,93.1,
2013-02,98.6,
2013-03,110.3,
2013-04,97.7,
2013-05,91.9,
2013-06,104.8,
2013-07,97.0,
2013-08,85.3,
2013-09,114.2,
2013-10,107.1,
2013-11,111.7,
2013-12,89.7,
2014-01,93.5,
2014-02,101.0,
2014-03,112.4,
2014-04,98.1,
2014-05,94.7,
2014-06,101.5,
2014-07,96.7,
2014-08,83.8,
2014-09,110.4,
2014-10,107.9,Provisional value
2014-11,112.1,Provisional value
2014-12,94.9,Provisional value
