"",BBFN1.M.DE.N.1.A.AU.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.AU.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1996-07,0.395,
1996-08,0.487,
1996-09,0.483,
1996-10,0.472,
1996-11,0.467,
1996-12,0.400,
1997-01,0.390,
1997-02,0.441,
1997-03,0.574,
1997-04,0.615,
1997-05,0.508,
1997-06,0.550,
1997-07,0.550,
1997-08,0.531,
1997-09,0.520,
1997-10,0.474,
1997-11,0.486,
1997-12,0.459,
1998-01,0.478,
1998-02,0.503,
1998-03,0.508,
1998-04,0.542,
1998-05,0.601,
1998-06,0.608,
1998-07,0.549,
1998-08,0.557,
1998-09,0.547,
1998-10,0.557,
1998-11,0.558,
1998-12,0.435,
1999-01,0.511,
1999-02,0.551,
1999-03,0.636,
1999-04,0.691,
1999-05,0.740,
1999-06,0.735,
1999-07,0.759,
1999-08,0.737,
1999-09,0.744,
1999-10,0.755,
1999-11,0.749,
1999-12,0.631,
2000-01,0.671,
2000-02,0.721,
2000-03,0.915,
2000-04,0.971,
2000-05,0.924,
2000-06,0.934,
2000-07,0.924,
2000-08,0.944,
2000-09,1.046,
2000-10,1.059,
2000-11,1.059,
2000-12,0.700,
2001-01,0.679,
2001-02,0.711,
2001-03,0.674,
2001-04,0.650,
2001-05,0.684,
2001-06,0.496,
2001-07,0.475,
2001-08,0.536,
2001-09,0.504,
2001-10,0.520,
2001-11,0.584,
2001-12,0.610,
2002-01,0.597,
2002-02,0.640,
2002-03,0.599,
2002-04,0.568,
2002-05,0.579,
2002-06,0.661,
2002-07,0.627,
2002-08,0.673,
2002-09,0.914,
2002-10,0.937,
2002-11,1.070,
2002-12,0.973,
2003-01,0.975,
2003-02,0.754,
2003-03,0.917,
2003-04,0.915,
2003-05,0.948,
2003-06,0.880,
2003-07,0.825,
2003-08,0.870,
2003-09,0.930,
2003-10,1.096,
2003-11,0.974,
2003-12,0.897,
2004-01,0.886,
2004-02,0.917,
2004-03,0.908,
2004-04,1.077,
2004-05,0.985,
2004-06,0.875,
2004-07,1.041,
2004-08,1.038,
2004-09,0.926,
2004-10,1.060,
2004-11,1.069,
2004-12,0.908,
2005-01,0.760,
2005-02,0.706,
2005-03,0.715,
2005-04,0.891,
2005-05,1.063,
2005-06,1.011,
2005-07,1.034,
2005-08,0.800,
2005-09,0.756,
2005-10,0.749,
2005-11,0.687,
2005-12,0.651,
2006-01,0.805,
2006-02,0.853,
2006-03,0.905,
2006-04,0.715,
2006-05,0.775,
2006-06,0.667,
2006-07,0.749,
2006-08,0.836,
2006-09,0.749,
2006-10,0.945,
2006-11,0.858,
2006-12,0.830,
2007-01,0.811,
2007-02,0.764,
2007-03,0.912,
2007-04,0.809,
2007-05,0.880,
2007-06,0.788,
2007-07,0.803,
2007-08,1.041,
2007-09,1.271,
2007-10,1.366,
2007-11,1.645,
2007-12,1.689,
2008-01,1.624,
2008-02,1.592,
2008-03,1.373,
2008-04,1.472,
2008-05,1.412,
2008-06,1.388,
2008-07,1.378,
2008-08,1.347,
2008-09,1.399,
2008-10,1.190,
2008-11,1.133,
2008-12,1.987,
2009-01,2.059,
2009-02,1.999,
2009-03,.,No value available
2009-04,2.237,
2009-05,2.245,
2009-06,2.333,
2009-07,2.221,
2009-08,2.231,
2009-09,1.981,
2009-10,2.149,
2009-11,2.465,
2009-12,2.417,
2010-01,2.285,
2010-02,2.222,
2010-03,2.070,
2010-04,1.866,
2010-05,2.234,
2010-06,1.962,
2010-07,2.394,
2010-08,2.174,
2010-09,2.156,
2010-10,2.335,
2010-11,2.611,
2010-12,2.731,
2011-01,2.649,
2011-02,2.170,
2011-03,1.991,
2011-04,1.969,
2011-05,2.090,
2011-06,2.040,
2011-07,1.991,
2011-08,2.112,
2011-09,1.574,
2011-10,1.414,
2011-11,1.258,
2011-12,1.277,
2012-01,1.156,
2012-02,1.199,
2012-03,1.785,
2012-04,1.746,
2012-05,1.631,
2012-06,2.444,
2012-07,2.556,
2012-08,2.253,
2012-09,2.694,
2012-10,2.968,
2012-11,2.914,
2012-12,2.610,
2013-01,2.609,
2013-02,2.793,
2013-03,2.578,
2013-04,2.150,
2013-05,2.571,
2013-06,1.783,
2013-07,1.555,
2013-08,2.101,
2013-09,2.180,
2013-10,2.290,
2013-11,2.025,
2013-12,1.451,
2014-01,1.634,
2014-02,1.603,
2014-03,1.748,
2014-04,1.673,
2014-05,1.703,
2014-06,1.303,
2014-07,1.342,
2014-08,1.539,
2014-09,1.629,
2014-10,2.094,
2014-11,1.650,
2014-12,1.377,
