"",BBFN1.M.DE.N.1.L.W1.S1P.F0.S.NV00.Z06.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.F0.S.NV00.Z06.BGA.X001.D_FLAGS
1983-03,1.479,
1983-04,1.526,
1983-05,1.566,
1983-06,1.550,
1983-07,1.536,
1983-08,1.667,
1983-09,1.673,
1983-10,1.738,
1983-11,1.713,
1983-12,1.583,
1984-01,1.471,
1984-02,1.519,
1984-03,1.619,
1984-04,1.578,
1984-05,1.719,
1984-06,1.966,
1984-07,1.678,
1984-08,1.934,
1984-09,2.261,
1984-10,1.750,
1984-11,1.839,
1984-12,2.064,
1985-01,1.860,
1985-02,1.798,
1985-03,2.019,
1985-04,2.017,
1985-05,2.077,
1985-06,2.152,
1985-07,2.018,
1985-08,2.228,
1985-09,1.953,
1985-10,2.107,
1985-11,2.249,
1985-12,2.373,
1986-01,2.178,
1986-02,1.995,
1986-03,2.561,
1986-04,2.753,
1986-05,2.944,
1986-06,2.720,
1986-07,2.560,
1986-08,2.470,
1986-09,1.804,
1986-10,2.627,
1986-11,2.600,
1986-12,2.871,
1987-01,2.314,
1987-02,2.238,
1987-03,2.271,
1987-04,2.212,
1987-05,2.210,
1987-06,2.375,
1987-07,2.334,
1987-08,2.332,
1987-09,2.073,
1987-10,1.948,
1987-11,1.921,
1987-12,2.037,
1988-01,2.238,
1988-02,1.956,
1988-03,2.180,
1988-04,2.262,
1988-05,2.283,
1988-06,2.463,
1988-07,2.571,
1988-08,2.506,
1988-09,2.449,
1988-10,2.772,
1988-11,2.681,
1988-12,2.152,
1989-01,2.169,
1989-02,2.136,
1989-03,2.438,
1989-04,2.112,
1989-05,2.406,
1989-06,2.518,
1989-07,2.400,
1989-08,2.542,
1989-09,2.416,
1989-10,2.552,
1989-11,2.641,
1989-12,2.228,
1990-01,2.199,
1990-02,2.672,
1990-03,2.687,
1990-04,2.825,
1990-05,2.952,
1990-06,2.819,
1990-07,2.808,
1990-08,2.543,
1990-09,2.567,
1990-10,2.287,
1990-11,3.318,
1990-12,4.368,
1991-01,3.722,
1991-02,3.768,
1991-03,3.900,
1991-04,4.172,
1991-05,4.107,
1991-06,4.291,
1991-07,4.550,
1991-08,3.912,
1991-09,3.789,
1991-10,3.739,
1991-11,3.832,
1991-12,3.941,
1992-01,3.908,
1992-02,3.881,
1992-03,3.905,
1992-04,4.187,
1992-05,4.711,
1992-06,4.327,
1992-07,4.394,
1992-08,4.764,
1992-09,4.792,
1992-10,5.211,
1992-11,5.275,
1992-12,4.481,
1993-01,4.345,
1993-02,4.243,
1993-03,4.408,
1993-04,4.339,
1993-05,4.019,
1993-06,4.230,
1993-07,4.177,
1993-08,4.197,
1993-09,4.139,
1993-10,4.385,
1993-11,4.357,
1993-12,4.052,
1994-01,3.752,
1994-02,3.635,
1994-03,3.676,
1994-04,3.673,
1994-05,3.934,
1994-06,4.011,
1994-07,4.461,
1994-08,4.367,
1994-09,4.253,
1994-10,3.828,
1994-11,4.054,
1994-12,5.082,
1995-01,6.452,
1995-02,5.799,
1995-03,5.879,
1995-04,5.889,
1995-05,6.946,
1995-06,5.991,
1995-07,5.555,
1995-08,5.329,
1995-09,5.316,
1995-10,5.862,
1995-11,6.089,
1995-12,6.483,
1996-01,6.567,
1996-02,7.038,
1996-03,7.492,
1996-04,9.338,
1996-05,11.773,
1996-06,8.878,
1996-07,7.690,
1996-08,8.210,
1996-09,9.213,
1996-10,10.309,
1996-11,10.252,
1996-12,14.705,
1997-01,16.028,
1997-02,17.041,
1997-03,19.136,
1997-04,19.995,
1997-05,18.407,
1997-06,18.952,
1997-07,17.680,
1997-08,13.879,
1997-09,15.613,
1997-10,12.151,
1997-11,13.614,
1997-12,16.396,
1998-01,15.442,
1998-02,17.561,
1998-03,23.299,
1998-04,26.792,
1998-05,29.520,
1998-06,27.852,
1998-07,22.776,
1998-08,20.432,
1998-09,22.863,
1998-10,18.475,
1998-11,21.330,
1998-12,18.044,
1999-01,17.228,
1999-02,18.525,
1999-03,23.776,
1999-04,27.959,
1999-05,30.639,
1999-06,31.558,
1999-07,23.831,
1999-08,22.462,
1999-09,22.723,
1999-10,23.116,
1999-11,26.742,
1999-12,25.908,
2000-01,26.467,
2000-02,28.778,
2000-03,37.209,
2000-04,45.376,
2000-05,54.231,
2000-06,60.681,
2000-07,49.394,
2000-08,52.269,
2000-09,45.828,
2000-10,44.646,
2000-11,45.135,
2000-12,35.526,
2001-01,36.003,
2001-02,36.506,
2001-03,44.447,
2001-04,46.656,
2001-05,45.107,
2001-06,41.170,
2001-07,38.625,
2001-08,35.576,
2001-09,40.639,
2001-10,41.155,
2001-11,29.999,
2001-12,33.489,
2002-01,33.538,
2002-02,31.959,
2002-03,33.106,
2002-04,36.556,
2002-05,24.021,
2002-06,21.833,
2002-07,18.047,
2002-08,17.374,
2002-09,17.879,
2002-10,17.655,
2002-11,17.899,
2002-12,17.112,
2003-01,16.787,
2003-02,16.605,
2003-03,19.010,
2003-04,19.309,
2003-05,20.207,
2003-06,19.927,
2003-07,19.720,
2003-08,18.510,
2003-09,20.054,
2003-10,17.574,
2003-11,17.904,
2003-12,17.663,
2004-01,16.497,
2004-02,16.617,
2004-03,18.903,
2004-04,17.056,
2004-05,16.998,
2004-06,19.544,
2004-07,20.350,
2004-08,21.112,
2004-09,21.520,
2004-10,21.075,
2004-11,20.732,
2004-12,20.323,
2005-01,18.537,
2005-02,18.755,
2005-03,19.180,
2005-04,20.235,
2005-05,21.149,
2005-06,20.016,
2005-07,21.643,
2005-08,20.258,
2005-09,25.096,
2005-10,25.058,
2005-11,24.154,
2005-12,25.896,
2006-01,25.544,
2006-02,26.888,
2006-03,27.034,
2006-04,27.406,
2006-05,29.057,
2006-06,29.819,
2006-07,27.499,
2006-08,28.455,
2006-09,31.297,
2006-10,30.928,
2006-11,32.121,
2006-12,31.929,
2007-01,35.085,
2007-02,33.201,
2007-03,35.270,
2007-04,33.526,
2007-05,33.805,
2007-06,35.860,
2007-07,37.082,
2007-08,38.131,
2007-09,38.438,
2007-10,39.292,
2007-11,39.993,
2007-12,36.345,
2008-01,34.739,
2008-02,32.951,
2008-03,31.636,
2008-04,35.319,
2008-05,36.210,
2008-06,36.254,
2008-07,34.033,
2008-08,33.909,
2008-09,36.023,
2008-10,35.433,
2008-11,38.049,
2008-12,34.416,
2009-01,32.109,
2009-02,31.780,
2009-03,31.828,
2009-04,31.195,
2009-05,30.596,
2009-06,30.513,
2009-07,31.307,
2009-08,32.160,
2009-09,33.248,
2009-10,32.570,
2009-11,33.120,
2009-12,32.659,
2010-01,34.124,
2010-02,33.454,
2010-03,35.229,
2010-04,34.449,
2010-05,36.335,
2010-06,35.478,
2010-07,34.209,
2010-08,36.165,
2010-09,36.575,
2010-10,35.507,
2010-11,40.270,
2010-12,41.228,
2011-01,41.091,
2011-02,41.730,
2011-03,40.116,
2011-04,40.532,
2011-05,42.020,
2011-06,41.234,
2011-07,41.235,
2011-08,40.235,
2011-09,42.506,
2011-10,41.761,
2011-11,43.602,
2011-12,44.529,
2012-01,43.980,
2012-02,43.223,
2012-03,43.060,
2012-04,43.175,
2012-05,46.474,
2012-06,46.623,
2012-07,48.036,
2012-08,49.418,
2012-09,48.883,
2012-10,47.714,
2012-11,47.166,
2012-12,48.239,
2013-01,47.504,
2013-02,47.080,
2013-03,48.296,
2013-04,48.313,
2013-05,49.587,
2013-06,49.928,
2013-07,51.200,
2013-08,53.414,
2013-09,49.071,
2013-10,47.291,
2013-11,47.314,
2013-12,47.709,
2014-01,45.020,
2014-02,46.779,
2014-03,46.964,
2014-04,47.953,
2014-05,45.587,
2014-06,46.359,
2014-07,47.431,
2014-08,49.493,
2014-09,49.613,
2014-10,50.062,
2014-11,48.466,
2014-12,48.434,
"","General: From January 1999, excluding national currencies of the euro-area member states.",
