"",BBFB1.M.N.DE.W1.S1.S1.T.AD.FA.P.F52._Z._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.AD.FA.P.F52._Z._T.M.N_FLAGS
2004-02,14545.953,
2004-03,14987.918,
2004-04,13085.027,
2004-05,13103.893,
2004-06,15962.954,
2004-07,12015.900,
2004-08,11637.695,
2004-09,14061.300,
2004-10,14729.637,
2004-11,18847.491,
2004-12,24374.807,
2005-01,14809.075,
2005-02,14631.014,
2005-03,15751.416,
2005-04,12976.393,
2005-05,11722.575,
2005-06,17797.451,
2005-07,14819.062,
2005-08,13818.949,
2005-09,22458.815,
2005-10,18509.494,
2005-11,17287.859,
2005-12,34557.464,
2006-01,21530.562,
2006-02,25007.048,
2006-03,25263.217,
2006-04,16590.603,
2006-05,22637.136,
2006-06,26353.976,
2006-07,16145.474,
2006-08,13894.683,
2006-09,23963.931,
2006-10,14771.545,
2006-11,18801.572,
2006-12,27230.998,
2007-01,22040.355,
2007-02,19278.859,
2007-03,41908.522,
2007-04,18374.266,
2007-05,18551.630,
2007-06,45205.917,
2007-07,28871.257,
2007-08,38068.336,
2007-09,44056.823,
2007-10,27260.441,
2007-11,32969.480,
2007-12,41253.593,
2008-01,32938.009,
2008-02,22607.443,
2008-03,35493.470,
2008-04,24791.061,
2008-05,19600.658,
2008-06,26356.851,
2008-07,27215.910,
2008-08,19773.690,
2008-09,30005.407,
2008-10,54027.359,
2008-11,21106.142,
2008-12,30017.418,
2009-01,17765.174,
2009-02,19584.122,
2009-03,20848.884,
2009-04,22693.654,
2009-05,21676.221,
2009-06,20116.050,
2009-07,24086.384,
2009-08,22278.294,
2009-09,24611.412,
2009-10,24388.595,
2009-11,20973.671,
2009-12,37644.761,
2010-01,22426.068,
2010-02,24438.677,
2010-03,25854.798,
2010-04,27390.748,
2010-05,41277.649,
2010-06,26447.691,
2010-07,27597.748,
2010-08,24690.520,
2010-09,27060.609,
2010-10,25306.485,
2010-11,27931.086,
2010-12,36113.929,
2011-01,31797.769,
2011-02,31546.650,
2011-03,40003.310,
2011-04,28141.240,
2011-05,35313.004,
2011-06,32365.107,
2011-07,32650.932,
2011-08,47886.367,
2011-09,40331.172,
2011-10,31840.435,
2011-11,36235.834,
2011-12,36614.869,
2012-01,31085.964,
2012-02,28846.582,
2012-03,31482.450,
2012-04,31162.123,
2012-05,28953.175,
2012-06,32133.580,
2012-07,29616.762,
2012-08,28453.088,
2012-09,27685.058,
2012-10,27682.736,
2012-11,27203.215,
2012-12,30313.009,
2013-01,31501.257,
2013-02,26354.976,
2013-03,27163.605,
2013-04,30977.694,
2013-05,29643.707,
2013-06,36272.304,
2013-07,31981.407,
2013-08,24886.026,
2013-09,25298.483,
2013-10,29975.600,
2013-11,27664.446,
2013-12,33432.016,
2014-01,33398.409,
2014-02,29305.159,Provisional value
2014-03,29826.189,Provisional value
2014-04,30119.937,Provisional value
2014-05,28372.526,Provisional value
2014-06,23153.894,Provisional value
2014-07,30729.516,Provisional value
2014-08,28848.495,Provisional value
2014-09,29957.688,
2014-10,47568.858,
2014-11,34069.514,
2014-12,44984.182,Provisional value
