"",BBDA1.M.DE.Y.IM.S.A.W1.A.V.ABA.A,BBDA1.M.DE.Y.IM.S.A.W1.A.V.ABA.A_FLAGS
1998-12,35.46,
1999-01,34.79,
1999-02,35.22,
1999-03,35.07,
1999-04,35.68,
1999-05,37.53,
1999-06,36.38,
1999-07,37.33,
1999-08,38.71,
1999-09,37.33,
1999-10,37.40,
1999-11,38.65,
1999-12,38.07,
2000-01,41.46,
2000-02,39.69,
2000-03,43.07,
2000-04,41.62,
2000-05,45.17,
2000-06,43.59,
2000-07,45.05,
2000-08,46.68,
2000-09,45.77,
2000-10,47.96,
2000-11,48.43,
2000-12,49.23,
2001-01,47.37,
2001-02,47.16,
2001-03,44.39,
2001-04,47.34,
2001-05,45.10,
2001-06,46.70,
2001-07,45.98,
2001-08,44.78,
2001-09,44.67,
2001-10,44.36,
2001-11,43.90,
2001-12,42.94,
2002-01,40.74,
2002-02,43.42,
2002-03,42.85,
2002-04,44.29,
2002-05,40.58,
2002-06,45.37,
2002-07,41.66,
2002-08,44.46,
2002-09,44.18,
2002-10,44.08,
2002-11,44.03,
2002-12,44.61,
2003-01,45.85,
2003-02,45.00,
2003-03,45.70,
2003-04,44.22,
2003-05,43.82,
2003-06,44.67,
2003-07,43.30,
2003-08,43.97,
2003-09,43.77,
2003-10,44.18,
2003-11,46.24,
2003-12,45.17,
2004-01,45.66,
2004-02,46.43,
2004-03,45.26,
2004-04,46.56,
2004-05,47.24,
2004-06,46.96,
2004-07,49.04,
2004-08,47.87,
2004-09,49.15,
2004-10,49.15,
2004-11,51.07,
2004-12,48.20,
2005-01,49.83,
2005-02,47.74,
2005-03,48.26,
2005-04,50.61,
2005-05,52.63,
2005-06,50.88,
2005-07,52.15,
2005-08,53.31,
2005-09,53.71,
2005-10,55.05,
2005-11,54.99,
2005-12,57.11,
2006-01,57.78,
2006-02,59.08,
2006-03,59.32,
2006-04,60.10,
2006-05,59.85,
2006-06,61.05,
2006-07,61.48,
2006-08,60.68,
2006-09,63.89,
2006-10,63.55,
2006-11,63.19,
2006-12,64.52,
2007-01,62.36,
2007-02,65.34,
2007-03,63.02,
2007-04,64.16,
2007-05,62.31,
2007-06,64.86,
2007-07,63.45,
2007-08,65.95,
2007-09,64.22,
2007-10,65.21,
2007-11,64.53,
2007-12,67.06,
2008-01,67.64,
2008-02,67.25,
2008-03,66.63,
2008-04,66.98,
2008-05,66.74,
2008-06,66.58,
2008-07,70.79,
2008-08,68.90,
2008-09,69.72,
2008-10,67.42,
2008-11,64.65,
2008-12,61.95,
2009-01,58.54,
2009-02,56.51,
2009-03,56.14,
2009-04,54.05,
2009-05,51.65,
2009-06,52.89,
2009-07,54.05,
2009-08,54.76,
2009-09,58.29,
2009-10,56.00,
2009-11,54.56,
2009-12,56.85,
2010-01,58.27,
2010-02,58.22,
2010-03,64.94,
2010-04,61.91,
2010-05,67.86,
2010-06,69.51,
2010-07,68.30,
2010-08,68.13,
2010-09,68.19,
2010-10,67.91,
2010-11,71.46,
2010-12,69.97,
2011-01,71.90,
2011-02,73.69,
2011-03,74.86,
2011-04,74.65,
2011-05,75.73,
2011-06,75.72,
2011-07,76.11,
2011-08,76.06,
2011-09,76.10,
2011-10,75.59,
2011-11,75.76,
2011-12,74.43,
2012-01,73.84,
2012-02,76.34,
2012-03,76.97,
2012-04,73.92,
2012-05,77.61,
2012-06,75.50,
2012-07,75.96,
2012-08,75.91,
2012-09,75.53,
2012-10,77.21,
2012-11,74.71,
2012-12,73.86,
2013-01,75.82,
2013-02,73.59,
2013-03,73.80,
2013-04,74.69,
2013-05,76.01,
2013-06,74.91,
2013-07,75.44,
2013-08,75.57,
2013-09,74.08,
2013-10,76.00,
2013-11,75.80,
2013-12,74.89,
2014-01,77.10,
2014-02,77.09,
2014-03,75.89,
2014-04,76.14,
2014-05,74.41,
2014-06,77.27,
2014-07,75.93,
2014-08,75.18,
2014-09,78.65,
2014-10,76.56,
2014-11,77.51,
2014-12,76.97,
