"",BBEX3.M.CDF.USD.CA.AC.A01,BBEX3.M.CDF.USD.CA.AC.A01_FLAGS
2008-10,570.00000,
2008-11,588.00000,
2008-12,635.00000,
2009-01,712.10300,
2009-02,749.14220,
2009-03,820.19520,
2009-04,834.55530,
2009-05,780.72680,
2009-06,756.17050,
2009-07,787.79820,
2009-08,824.94410,comment
2009-09,860.64080,
2009-10,882.66990,
2009-11,910.86800,
2009-12,902.65720,
2010-01,919.67510,
2010-02,916.52780,
2010-03,899.46980,
2010-04,895.32860,
2010-05,898.05510,
2010-06,903.39150,
2010-07,898.04530,
2010-08,903.74200,
2010-09,904.84520,
2010-10,909.21880,
2010-11,913.66810,
2010-12,915.12950,
2011-01,920.82170,
2011-02,924.05300,
2011-03,919.14640,
2011-04,921.02690,
2011-05,926.78140,
2011-06,919.86730,
2011-07,918.99800,
2011-08,920.58610,
2011-09,922.91060,
2011-10,920.79090,
2011-11,888.18550,
2011-12,910.82090,
2012-01,916.04220,
2012-02,921.13500,
2012-03,922.19530,
2012-04,916.26690,
2012-05,924.70880,
2012-06,920.81765,
2012-07,912.97910,
2012-08,921.40395,
2012-09,916.76560,
2012-10,919.72140,
2012-11,917.61060,
2012-12,917.32175,
2013-01,913.11915,
2013-02,919.42500,
2013-03,916.30115,
2013-04,918.77400,
2013-05,918.15845,
2013-06,916.79200,
2013-07,916.40980,
2013-08,915.93470,
2013-09,921.61755,
2013-10,927.59570,
2013-11,926.51715,
2013-12,925.50325,
2014-01,925.02050,
2014-02,931.01165,
2014-03,923.94725,
2014-04,926.04770,
2014-05,922.37635,
2014-06,927.56075,
2014-07,923.94875,
2014-08,925.80865,
2014-09,925.32490,
2014-10,927.22570,
2014-11,924.57265,
2014-12,924.50900,
2015-01,924.08755,
2015-02,925.62335,
"","General: * Referred to as indicative rates until December 2008. On 30 June 1998, the Congo franc was introduced as legal tender at a rate of 100,000 new zaires (ZRN) = 1 Congo franc (CDF).",
"","Source: Since January 2009 calculated on the basis of buying and selling rates of the Banque Centrale du Congo, Kinshasa. September 2006 - December 2008 Fortis Bank, Brüssel June 1998 - August 2006 Banque Commerciale du Congo, Kinshasa, and Banque Belgolaise, Brüssel",
"","Comment on 1999-04: On 6 April 1999, the Congo franc was devalued by 36.0 %.",
"","Comment on 2000-01: On 22 January 2000, the Congo franc was devalued by 48.8%.",
"","Comment on 2000-06: On 10 June 2000, the exchange rate was changed to USD 1 = CDF 23.50; calculated devaluation: 61.7%. On 14 June 2000, the exchange rate was set at USD 1 = CDF 24.7369, but was then revised in July 2000.",
"","Comment on 2000-10: On 24 October 2000, the Congo franc was devalued by 53.0%.",
"","Comment on 2001-05: On 28 May 2001, the Congo franc was devalued sharply and the exchange rates were allowed to float freely. Calculated using the exchange rates from 25 May (USD 1 = CDF 50.00) and 28 May (USD 1 = CDF 310.00), the Congo franc was devalued by 83.9%.",
"",Comment on 2009-08: Exchange rate as of 7 September 2009.,
