"",BBFB1.M.N.DE.W1.S13.S1.T.L.FA.O.F4.S._T.N.N,BBFB1.M.N.DE.W1.S13.S1.T.L.FA.O.F4.S._T.N.N_FLAGS
2008-02,4882.449,
2008-03,-184.391,
2008-04,5392.445,
2008-05,-2856.341,
2008-06,2737.328,
2008-07,3957.933,
2008-08,-4391.334,
2008-09,1741.407,
2008-10,-5207.014,
2008-11,-3485.462,
2008-12,3968.110,
2009-01,2624.850,
2009-02,9235.390,
2009-03,-2356.035,
2009-04,6317.395,
2009-05,-7301.535,
2009-06,-1429.170,
2009-07,-1765.943,
2009-08,4556.018,
2009-09,-2231.013,
2009-10,-187.825,
2009-11,-1808.270,
2009-12,-6312.111,
2010-01,277.042,
2010-02,-42.450,
2010-03,-3272.255,
2010-04,2551.960,
2010-05,14487.814,
2010-06,-15548.660,
2010-07,5272.470,
2010-08,-424.408,
2010-09,-2426.850,
2010-10,80587.880,
2010-11,-13156.543,
2010-12,25740.743,
2011-01,-23216.870,
2011-02,7659.461,
2011-03,2653.385,
2011-04,-3882.172,
2011-05,-143.980,
2011-06,2041.113,
2011-07,2062.865,
2011-08,-1694.358,
2011-09,3287.405,
2011-10,13185.740,
2011-11,2269.697,
2011-12,10574.399,
2012-01,-5586.899,
2012-02,-18455.657,
2012-03,-15638.574,
2012-04,-765.429,
2012-05,-655.784,
2012-06,-5447.789,
2012-07,-91.140,
2012-08,-10893.416,
2012-09,-7391.211,
2012-10,66.768,
2012-11,4216.223,
2012-12,-6459.422,
2013-01,-4967.000,
2013-02,-2151.000,
2013-03,951.000,
2013-04,2795.000,
2013-05,-4082.000,
2013-06,4112.000,
2013-07,-1688.000,
2013-08,-7212.000,
2013-09,-1504.816,
2013-10,6275.810,
2013-11,-7614.000,
2013-12,3904.588,
2014-01,369.000,
2014-02,-6728.000,Provisional value
2014-03,-366.000,Provisional value
2014-04,12533.001,Provisional value
2014-05,-12438.000,Provisional value
2014-06,3810.000,Provisional value
2014-07,2941.000,Provisional value
2014-08,-8260.000,Provisional value
2014-09,1470.000,
2014-10,-5282.000,
2014-11,1280.900,
2014-12,4560.550,Provisional value
