"",BBFN1.M.DE.N.1.A.IT.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.IT.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1991-02,1.548,
1991-03,1.716,
1991-04,1.751,
1991-05,1.716,
1991-06,1.961,
1991-07,1.772,
1991-08,2.034,
1991-09,1.868,
1991-10,1.967,
1991-11,1.800,
1991-12,1.701,
1992-01,1.839,
1992-02,1.935,
1992-03,2.028,
1992-04,2.152,
1992-05,2.143,
1992-06,1.947,
1992-07,1.979,
1992-08,1.968,
1992-09,2.113,
1992-10,2.188,
1992-11,2.410,
1992-12,1.727,
1993-01,1.831,
1993-02,1.684,
1993-03,1.831,
1993-04,1.520,
1993-05,1.577,
1993-06,1.554,
1993-07,1.706,
1993-08,1.933,
1993-09,2.096,
1993-10,2.257,
1993-11,2.150,
1993-12,1.687,
1994-01,1.932,
1994-02,2.078,
1994-03,1.948,
1994-04,1.850,
1994-05,1.810,
1994-06,2.070,
1994-07,2.149,
1994-08,2.436,
1994-09,1.912,
1994-10,2.088,
1994-11,1.774,
1994-12,2.108,
1995-01,2.195,
1995-02,1.778,
1995-03,1.726,
1995-04,1.664,
1995-05,1.561,
1995-06,1.822,
1995-07,1.760,
1995-08,1.698,
1995-09,1.717,
1995-10,1.854,
1995-11,1.681,
1995-12,1.532,
1996-01,1.624,
1996-02,1.771,
1996-03,1.847,
1996-04,1.724,
1996-05,1.670,
1996-06,2.164,
1996-07,2.215,
1996-08,2.088,
1996-09,2.321,
1996-10,2.025,
1996-11,1.925,
1996-12,2.429,
1997-01,2.385,
1997-02,2.317,
1997-03,2.430,
1997-04,2.469,
1997-05,2.391,
1997-06,2.516,
1997-07,2.595,
1997-08,2.640,
1997-09,2.299,
1997-10,2.551,
1997-11,2.444,
1997-12,2.242,
1998-01,2.453,
1998-02,2.607,
1998-03,2.824,
1998-04,3.526,
1998-05,3.848,
1998-06,3.941,
1998-07,3.925,
1998-08,3.660,
1998-09,3.528,
1998-10,3.655,
1998-11,4.137,
1998-12,4.315,
1999-01,4.175,
1999-02,4.164,
1999-03,4.260,
1999-04,4.601,
1999-05,4.378,
1999-06,4.585,
1999-07,4.560,
1999-08,4.872,
1999-09,5.707,
1999-10,5.730,
1999-11,5.943,
1999-12,6.134,
2000-01,7.228,
2000-02,6.290,
2000-03,5.877,
2000-04,6.002,
2000-05,5.886,
2000-06,6.237,
2000-07,6.094,
2000-08,6.076,
2000-09,6.659,
2000-10,6.814,
2000-11,7.167,
2000-12,7.163,
2001-01,7.332,
2001-02,7.131,
2001-03,7.355,
2001-04,7.569,
2001-05,7.127,
2001-06,7.467,
2001-07,7.651,
2001-08,7.457,
2001-09,7.217,
2001-10,7.115,
2001-11,8.023,
2001-12,8.066,
2002-01,8.185,
2002-02,7.267,
2002-03,7.527,
2002-04,7.192,
2002-05,6.835,
2002-06,7.157,
2002-07,6.915,
2002-08,7.125,
2002-09,7.030,
2002-10,6.633,
2002-11,6.810,
2002-12,6.698,
2003-01,6.999,
2003-02,6.958,
2003-03,7.258,
2003-04,7.156,
2003-05,7.051,
2003-06,7.141,
2003-07,7.261,
2003-08,7.118,
2003-09,7.441,
2003-10,7.424,
2003-11,7.826,
2003-12,7.656,
2004-01,7.549,
2004-02,7.549,
2004-03,7.438,
2004-04,7.377,
2004-05,7.766,
2004-06,7.717,
2004-07,7.755,
2004-08,7.795,
2004-09,7.511,
2004-10,7.649,
2004-11,7.128,
2004-12,7.334,
2005-01,7.317,
2005-02,7.617,
2005-03,7.383,
2005-04,7.588,
2005-05,7.344,
2005-06,8.582,
2005-07,8.599,
2005-08,8.282,
2005-09,7.881,
2005-10,11.314,
2005-11,8.823,
2005-12,7.981,
2006-01,7.486,
2006-02,7.902,
2006-03,7.973,
2006-04,8.103,
2006-05,8.090,
2006-06,9.871,
2006-07,9.413,
2006-08,9.378,
2006-09,9.077,
2006-10,9.024,
2006-11,8.851,
2006-12,11.766,
2007-01,10.536,
2007-02,10.820,
2007-03,10.856,
2007-04,10.851,
2007-05,11.246,
2007-06,11.158,
2007-07,11.460,
2007-08,10.581,
2007-09,8.366,
2007-10,8.382,
2007-11,8.811,
2007-12,8.759,
2008-01,8.316,
2008-02,8.759,
2008-03,9.220,
2008-04,9.004,
2008-05,8.906,
2008-06,9.162,
2008-07,9.199,
2008-08,8.590,
2008-09,8.631,
2008-10,8.613,
2008-11,8.785,
2008-12,9.399,
2009-01,9.035,
2009-02,9.018,
2009-03,9.046,
2009-04,9.042,
2009-05,8.717,
2009-06,9.102,
2009-07,8.920,
2009-08,9.206,
2009-09,9.217,
2009-10,9.160,
2009-11,8.858,
2009-12,13.537,
2010-01,13.527,
2010-02,13.484,
2010-03,13.721,
2010-04,13.092,
2010-05,13.809,
2010-06,13.480,
2010-07,13.586,
2010-08,13.568,
2010-09,13.893,
2010-10,13.909,
2010-11,14.095,
2010-12,12.376,
2011-01,12.212,
2011-02,12.821,
2011-03,13.497,
2011-04,12.945,
2011-05,13.695,
2011-06,13.964,
2011-07,13.736,
2011-08,13.936,
2011-09,13.367,
2011-10,13.172,
2011-11,13.144,
2011-12,12.611,
2012-01,13.226,
2012-02,12.793,
2012-03,12.803,
2012-04,12.767,
2012-05,13.002,
2012-06,13.879,
2012-07,14.202,
2012-08,13.904,
2012-09,13.571,
2012-10,13.592,
2012-11,12.028,
2012-12,11.902,
2013-01,12.049,
2013-02,11.783,
2013-03,12.104,
2013-04,12.611,
2013-05,13.456,
2013-06,13.893,
2013-07,13.453,
2013-08,12.778,
2013-09,13.207,
2013-10,13.541,
2013-11,14.497,
2013-12,14.185,
2014-01,13.957,
2014-02,13.809,
2014-03,13.941,
2014-04,13.850,
2014-05,13.230,
2014-06,13.430,
2014-07,12.839,
2014-08,13.135,
2014-09,13.161,
2014-10,13.066,
2014-11,12.868,
2014-12,12.807,
