"",BBDA1.M.DE.N.IM.S.A.GB.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.GB.A.V.ABA.A_FLAGS
2004-02,2448556,
2004-03,2903658,
2004-04,2583315,
2004-05,2735237,
2004-06,2854573,
2004-07,3148815,
2004-08,2762715,
2004-09,2991499,
2004-10,3191969,
2004-11,3603433,
2004-12,2765424,
2005-01,2967557,
2005-02,3052599,
2005-03,2791422,
2005-04,3251913,
2005-05,3196211,
2005-06,3333525,
2005-07,3256408,
2005-08,3014657,
2005-09,3513823,
2005-10,3583243,
2005-11,3769293,
2005-12,3338329,
2006-01,3100132,
2006-02,3225258,
2006-03,3517523,
2006-04,3351516,
2006-05,3440408,
2006-06,3420807,
2006-07,3567082,
2006-08,3249952,
2006-09,3321310,
2006-10,3400123,
2006-11,3675894,
2006-12,3561713,
2007-01,3100152,
2007-02,3338578,
2007-03,3521779,
2007-04,3441028,
2007-05,3318354,
2007-06,3863700,
2007-07,3668539,
2007-08,3450786,
2007-09,3294198,
2007-10,3842684,
2007-11,3767844,
2007-12,3358576,
2008-01,3400171,
2008-02,3391872,
2008-03,3316200,
2008-04,3790342,
2008-05,3271175,
2008-06,3789430,
2008-07,3462323,
2008-08,3408843,
2008-09,3522636,
2008-10,3745711,
2008-11,3427092,
2008-12,3120214,
2009-01,2472128,
2009-02,2568478,
2009-03,2777497,
2009-04,2502352,
2009-05,2698811,
2009-06,2819513,
2009-07,2815637,
2009-08,2552626,
2009-09,2969534,
2009-10,3081636,
2009-11,2488463,
2009-12,2705743,
2010-01,2647541,
2010-02,2891568,
2010-03,3248146,
2010-04,2796987,
2010-05,3071912,
2010-06,3129702,
2010-07,3094984,
2010-08,3130772,
2010-09,3361051,
2010-10,3479686,
2010-11,3645303,
2010-12,3425084,
2011-01,3298303,
2011-02,3441350,
2011-03,4020551,
2011-04,3633293,
2011-05,3602639,
2011-06,3461935,
2011-07,3849076,
2011-08,3544930,
2011-09,4214723,
2011-10,4214283,
2011-11,3932414,
2011-12,3527228,
2012-01,3442947,
2012-02,3490659,
2012-03,3900176,
2012-04,3512489,
2012-05,3579011,
2012-06,3379701,
2012-07,3871162,
2012-08,3077758,
2012-09,3566228,
2012-10,3552130,
2012-11,4077960,
2012-12,3369832,
2013-01,3802738,
2013-02,3626812,
2013-03,3689099,
2013-04,3559690,
2013-05,3553053,
2013-06,3202139,
2013-07,3292634,
2013-08,3410058,
2013-09,3389186,
2013-10,3794815,
2013-11,3701976,
2013-12,3491017,
2014-01,3108199,
2014-02,3838223,
2014-03,4060526,
2014-04,3514956,
2014-05,3622607,
2014-06,3473533,
2014-07,3313537,
2014-08,3325811,
2014-09,3588245,
2014-10,3620612,
2014-11,3579336,
2014-12,3249297,
