"",BBEX3.M.SLL.USD.CA.AB.A01,BBEX3.M.SLL.USD.CA.AB.A01_FLAGS
2000-03,2283.1700,
2000-04,1945.9100,
2000-05,1947.3500,
2000-06,2025.9200,
2000-07,2150.0000,
2000-08,2152.0800,
2000-09,2119.6400,
2000-10,2056.6300,
2000-11,1862.7100,
2000-12,1676.5300,
2001-01,1720.6000,
2001-02,1837.2600,
2001-03,1922.0400,
2001-04,1928.7800,
2001-05,1926.0000,
2001-06,1986.7000,
2001-07,2085.3200,
2001-08,2066.6200,
2001-09,2111.9200,
2001-10,2155.6000,
2001-11,2294.0000,
2001-12,2182.8800,
2002-01,2085.3600,
2002-02,2157.6300,
2002-03,2186.9700,
2002-04,2163.9200,
2002-05,2029.0200,
2002-06,2055.3400,
2002-07,2089.3200,
2002-08,2093.5100,
2002-09,2114.6100,
2002-10,2144.3300,
2002-11,2180.2300,
2002-12,2213.6400,
2003-01,2241.4400,
2003-02,2226.9400,
2003-03,2279.5500,
2003-04,2237.3100,
2003-05,2343.2700,
2003-06,2342.9600,
2003-07,2367.8200,
2003-08,2410.3000,
2003-09,2481.0000,
2003-10,2529.8800,
2003-11,2533.4400,
2003-12,2587.8000,
2004-01,2628.7400,
2004-02,2655.8400,
2004-03,2697.4400,
2004-04,2695.8100,
2004-05,2749.0400,
2004-06,2711.9800,
2004-07,2724.2600,
2004-08,2769.1900,
2004-09,2779.9000,
2004-10,2805.6500,
2004-11,2859.0400,
2004-12,2889.0900,
2005-01,2894.1800,
2005-02,2917.9800,
2005-03,2893.3000,
2005-04,2903.4500,
2005-05,2870.5900,
2005-06,2912.4500,
2005-07,2918.7000,
2005-08,2933.1500,
2005-09,2939.8500,
2005-10,2963.4200,
2005-11,2946.8000,
2005-12,2961.8400,
2006-01,2956.9000,
2006-02,2974.9900,
2006-03,2978.1300,
2006-04,2967.5500,
2006-05,2984.8800,
2006-06,3006.0800,
2006-07,2998.9200,
2006-08,2997.2500,
2006-09,3015.3600,
2006-10,3016.7800,
2006-11,3015.1300,
2006-12,3003.6800,
2007-01,3014.2600,comment
2007-02,3015.3800,
2007-03,3014.6200,
2007-04,3019.1800,
2007-05,3014.0500,
2007-06,3017.1500,
2007-07,3014.5100,
2007-08,3012.5600,
2007-09,3013.4600,
2007-10,3016.6300,
2007-11,3012.6700,
2007-12,3007.3700,
2008-01,3006.8900,
2008-02,3002.8700,
2008-03,3000.6700,
2008-04,2999.5200,
2008-05,3000.4100,
2008-06,2999.5000,
2008-07,2999.6700,
2008-08,2997.2300,
2008-09,3011.0200,
2008-10,3030.7500,
2008-11,3054.4300,
2008-12,3072.6600,
2009-01,3088.8400,
2009-02,3111.1600,
2009-03,3166.3400,
2009-04,3197.8100,
2009-05,3243.3000,
2009-06,3320.8900,
2009-07,3378.5100,
2009-08,3588.4100,
2009-09,3645.5500,
2009-10,3809.0100,
2009-11,3947.3500,
2009-12,3894.2400,
2010-01,3946.0600,
2010-02,3891.2500,
2010-03,3913.8700,
2010-04,3947.7900,
2010-05,3970.9500,
2010-06,3944.8300,
2010-07,3955.5000,
2010-08,4010.9300,
2010-09,4121.9100,
2010-10,4155.6200,
2010-11,4233.4300,
2010-12,4239.9900,
2011-01,4304.1700,
2011-02,4313.6700,
2011-03,4370.3000,
2011-04,4398.0200,
2011-05,4383.5700,
2011-06,4398.0400,
2011-07,4420.5600,
2011-08,4448.8400,
2011-09,4455.0300,
2011-10,4462.6200,
2011-11,4453.1700,
2011-12,4421.4900,
2012-01,4408.7300,
2012-02,4405.0300,
2012-03,4393.4500,
2012-04,4389.7000,
2012-05,4384.2500,
2012-06,4371.5100,
2012-07,4375.4700,
2012-08,4378.0600,
2012-09,4378.5200,
2012-10,4383.4700,
2012-11,4380.1000,
2012-12,4377.4500,
2013-01,4361.5500,
2013-02,4364.6000,
2013-03,4368.8600,
2013-04,4364.3900,
2013-05,4370.0200,
2013-06,4371.8900,
2013-07,4371.0200,comment
2013-08,4373.0600,
2013-09,4379.4600,
2013-10,4385.1800,
2013-11,4405.5600,
2013-12,4385.7200,comment
2014-01,4385.5900,
2014-02,4402.1000,
2014-03,4397.5200,
2014-04,4406.0600,
2014-05,4410.5300,
2014-06,4450.6000,
2014-07,4543.2900,
2014-08,4606.9100,
2014-09,4750.3900,
2014-10,4819.1900,
2014-11,4933.5400,
2014-12,5002.8700,
2015-01,4973.7200,
2015-02,4940.7300,
"","Source: Bank of Sierra Leone, Freetown",
"",Comment on 2007-01: Exchange rate as of 1 February 2007.,
"",Comment on 2013-07: Exchange rate as of 1 August 2013.,
"",Comment on 2013-12: Exchange rate as of 2 January 2014.,
