"",BBEX3.M.COP.USD.CA.AB.A01,BBEX3.M.COP.USD.CA.AB.A01_FLAGS
2008-08,1908.41,
2008-09,2175.07,
2008-10,2374.46,
2008-11,2324.66,
2008-12,2245.72,
2009-01,2387.29,
2009-02,2555.25,
2009-03,2561.64,
2009-04,2290.21,
2009-05,2190.60,
2009-06,2159.17,
2009-07,2043.67,
2009-08,2035.24,
2009-09,1922.16,
2009-10,2004.74,
2009-11,1997.81,
2009-12,2045.55,
2010-01,1991.49,
2010-02,1942.14,
2010-03,1929.07,
2010-04,1970.12,
2010-05,1971.84,
2010-06,1916.75,
2010-07,1841.61,
2010-08,1824.49,
2010-09,1800.21,
2010-10,1840.28,
2010-11,1917.45,
2010-12,1991.80,
2011-01,1858.53,
2011-02,1895.93,
2011-03,1879.96,
2011-04,1768.10,
2011-05,1817.82,
2011-06,1780.89,
2011-07,1771.65,
2011-08,1784.03,
2011-09,1915.50,
2011-10,1863.56,
2011-11,1967.91,
2011-12,1944.12,
2012-01,1815.54,
2012-02,1768.34,
2012-03,1785.15,
2012-04,1761.73,
2012-05,1828.32,
2012-06,1805.86,
2012-07,1789.68,
2012-08,1830.94,
2012-09,1798.38,
2012-10,1830.63,
2012-11,1818.50,
2012-12,1769.36,
2013-01,1773.68,
2013-02,1816.98,
2013-03,1833.10,
2013-04,1829.23,
2013-05,1891.95,
2013-06,1923.15,
2013-07,1890.73,
2013-08,1943.44,
2013-09,1915.13,
2013-10,1884.53,
2013-11,1928.69,
2013-12,1928.10,
2014-01,2008.62,
2014-02,2055.38,
2014-03,1965.96,
2014-04,1935.90,
2014-05,1906.67,
2014-06,1881.98,
2014-07,1873.36,
2014-08,1935.58,
2014-09,2029.19,
2014-10,2051.00,
2014-11,2165.77,
2014-12,2394.48,
2015-01,2398.21,
"","Source: Since April 2003: Superintendencia Financiera de Colombia, Bogotá, D.C. (formerly: Superintendencia Bancaria de Colombia). 1994 - March 2003: Dresdner Bank Lateinamerika AG, Hamburg (formerly: Deutsch-Südamerikanische Bank AG).",
