"",BBFN1.M.DE.N.1.L.DK.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.DK.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
2006-08,0.708,
2006-09,0.840,
2006-10,0.847,
2006-11,1.045,
2006-12,2.136,
2007-01,2.028,
2007-02,1.933,
2007-03,1.778,
2007-04,1.218,
2007-05,1.103,
2007-06,0.846,
2007-07,0.982,
2007-08,1.113,
2007-09,1.388,
2007-10,1.191,
2007-11,1.310,
2007-12,1.350,
2008-01,1.468,
2008-02,1.582,
2008-03,1.440,
2008-04,1.506,
2008-05,1.469,
2008-06,1.363,
2008-07,1.591,
2008-08,1.503,
2008-09,1.472,
2008-10,1.571,
2008-11,1.494,
2008-12,1.788,
2009-01,1.814,
2009-02,2.078,
2009-03,1.976,
2009-04,2.177,
2009-05,2.081,
2009-06,2.069,
2009-07,1.944,
2009-08,2.204,
2009-09,2.292,
2009-10,2.136,
2009-11,2.213,
2009-12,2.416,
2010-01,2.745,
2010-02,2.696,
2010-03,2.103,
2010-04,2.564,
2010-05,2.676,
2010-06,3.102,
2010-07,2.984,
2010-08,3.053,
2010-09,3.415,
2010-10,3.625,
2010-11,3.692,
2010-12,3.816,
2011-01,2.986,
2011-02,2.751,
2011-03,2.493,
2011-04,2.417,
2011-05,2.601,
2011-06,2.724,
2011-07,2.831,
2011-08,2.829,
2011-09,7.163,
2011-10,5.448,
2011-11,5.343,
2011-12,4.950,
2012-01,6.266,
2012-02,2.500,
2012-03,2.138,
2012-04,2.324,
2012-05,2.257,
2012-06,2.421,
2012-07,2.817,
2012-08,3.409,
2012-09,3.631,
2012-10,3.627,
2012-11,3.011,
2012-12,2.979,
2013-01,3.874,
2013-02,4.009,
2013-03,3.535,
2013-04,3.795,
2013-05,3.714,
2013-06,3.404,
2013-07,3.492,
2013-08,3.623,
2013-09,3.543,
2013-10,3.399,
2013-11,3.499,
2013-12,3.312,
2014-01,3.603,
2014-02,3.472,
2014-03,3.136,
2014-04,3.632,
2014-05,3.595,
2014-06,3.510,
2014-07,3.176,
2014-08,3.717,
2014-09,2.340,
2014-10,2.775,
2014-11,2.380,
2014-12,2.492,
